t_wall_s,cpu_load_permille,voltage_mV,current_cA,battery_pct,drop_rate,errors_comm
2.253893,836,65535,-1,-1,0,0
2.254502,820,65535,-1,-1,0,0
2.255028,860,65535,-1,-1,0,0
2.255601,800,65535,-1,-1,0,0
2.342238,840,65535,-1,-1,0,0
2.841775,840,65535,-1,-1,0,0
3.343304,940,65535,-1,-1,0,0
3.841101,800,65535,-1,-1,0,0
4.341253,840,65535,-1,-1,0,0
4.839396,820,65535,-1,-1,0,0
5.342566,880,65535,-1,-1,0,0
5.841246,840,65535,-1,-1,0,0
6.344058,840,65535,-1,-1,0,0
6.840356,780,65535,-1,-1,0,0
7.344161,840,65535,-1,-1,0,0
7.839195,880,65535,-1,-1,0,0
8.343625,860,65535,-1,-1,0,0
8.841311,780,65535,-1,-1,0,0
9.346295,920,65535,-1,-1,0,0
9.841914,840,65535,-1,-1,0,0
10.339453,823,65535,-1,-1,0,0
10.841918,857,65535,-1,-1,0,0
11.344346,840,65535,-1,-1,0,0
11.840497,820,65535,-1,-1,0,0
12.343689,900,65535,-1,-1,0,0
12.839629,820,65535,-1,-1,0,0
13.344193,800,65535,-1,-1,0,0
13.840735,820,65535,-1,-1,0,0
14.339736,843,65535,-1,-1,0,0
14.842077,816,65535,-1,-1,0,0
15.343171,880,65535,-1,-1,0,0
15.843930,840,65535,-1,-1,0,0
16.346401,860,65535,-1,-1,0,0
16.841099,820,65535,-1,-1,0,0
17.343434,860,65535,-1,-1,0,0
17.844546,820,65535,-1,-1,0,0
18.340685,880,65535,-1,-1,0,0
18.840784,860,65535,-1,-1,0,0
19.346971,800,65535,-1,-1,0,0
19.842549,880,65535,-1,-1,0,0
20.345162,860,65535,-1,-1,0,0
20.842070,780,65535,-1,-1,0,0
21.344576,880,65535,-1,-1,0,0
21.841989,840,65535,-1,-1,0,0
22.343928,820,65535,-1,-1,0,0
22.840915,860,65535,-1,-1,0,0
23.344561,840,65535,-1,-1,0,0
23.841413,901,65535,-1,-1,0,0
24.303786,836,65535,-1,-1,0,0
24.842715,860,65535,-1,-1,0,0
25.308883,840,65535,-1,-1,0,0
25.842045,820,65535,-1,-1,0,0
26.319804,900,65535,-1,-1,0,0
26.843809,820,65535,-1,-1,0,0
27.310620,820,65535,-1,-1,0,0
27.840673,820,65535,-1,-1,0,0
28.318897,860,65535,-1,-1,0,0
28.841493,840,65535,-1,-1,0,0
29.322969,880,65535,-1,-1,0,0
29.842872,800,65535,-1,-1,0,0
30.323767,860,65535,-1,-1,0,0
30.844187,840,65535,-1,-1,0,0
31.343067,900,65535,-1,-1,0,0
31.842700,760,65535,-1,-1,0,0
32.328059,840,65535,-1,-1,0,0
32.841965,880,65535,-1,-1,0,0
33.330026,840,65535,-1,-1,0,0
33.843517,820,65535,-1,-1,0,0
34.342004,880,65535,-1,-1,0,0
34.843551,840,65535,-1,-1,0,0
35.335278,880,65535,-1,-1,0,0
35.843166,860,65535,-1,-1,0,0
36.340670,820,65535,-1,-1,0,0
36.844273,880,65535,-1,-1,0,0
37.343991,800,65535,-1,-1,0,0
37.842647,900,65535,-1,-1,0,0
38.341086,820,65535,-1,-1,0,0
38.842686,880,65535,-1,-1,0,0
39.343248,880,65535,-1,-1,0,0
39.842785,840,65535,-1,-1,0,0
40.345483,840,65535,-1,-1,0,0
40.843458,880,65535,-1,-1,0,0
41.342395,880,65535,-1,-1,0,0
41.842092,803,65535,-1,-1,0,0
42.345305,918,65535,-1,-1,0,0
42.843488,840,65535,-1,-1,0,0
43.342806,900,65535,-1,-1,0,0
43.843984,860,65535,-1,-1,0,0
44.345812,820,65535,-1,-1,0,0
44.842615,860,65535,-1,-1,0,0
45.345855,840,65535,-1,-1,0,0
45.842603,800,65535,-1,-1,0,0
46.342952,880,65535,-1,-1,0,0
46.842782,860,65535,-1,-1,0,0
47.342479,800,65535,-1,-1,0,0
47.843000,880,65535,-1,-1,0,0
48.345564,843,65535,-1,-1,0,0
48.843221,857,65535,-1,-1,0,0
49.343522,840,65535,-1,-1,0,0
49.844874,843,65535,-1,-1,0,0
50.344272,836,65535,-1,-1,0,0
50.846042,800,65535,-1,-1,0,0
51.345188,880,65535,-1,-1,0,0
51.843255,820,65535,-1,-1,0,0
52.344130,840,65535,-1,-1,0,0
52.843284,880,65535,-1,-1,0,0
53.342834,840,65535,-1,-1,0,0
53.844862,780,65535,-1,-1,0,0
54.344407,860,65535,-1,-1,0,0
54.842406,840,65535,-1,-1,0,0
55.346168,840,65535,-1,-1,0,0
55.844483,840,65535,-1,-1,0,0
56.344501,900,65535,-1,-1,0,0
56.842890,820,65535,-1,-1,0,0
57.344641,862,65535,-1,-1,0,0
57.843424,836,65535,-1,-1,0,0
58.344551,860,65535,-1,-1,0,0
58.845123,820,65535,-1,-1,0,0
59.345013,880,65535,-1,-1,0,0
59.844723,820,65535,-1,-1,0,0
60.343658,860,65535,-1,-1,0,0
60.844181,800,65535,-1,-1,0,0
61.344598,860,65535,-1,-1,0,0
61.844813,820,65535,-1,-1,0,0
62.344159,840,65535,-1,-1,0,0
62.845068,840,65535,-1,-1,0,0
63.344070,803,65535,-1,-1,0,0
63.844326,877,65535,-1,-1,0,0
64.345157,840,65535,-1,-1,0,0
64.845388,840,65535,-1,-1,0,0
65.343509,820,65535,-1,-1,0,0
65.844256,780,65535,-1,-1,0,0
66.347758,900,65535,-1,-1,0,0
66.845715,820,65535,-1,-1,0,0
