t_wall_s,t_boot_us,vel_ratio,pos_horiz_ratio,pos_vert_ratio,mag_ratio,hagl_ratio,tas_ratio,pos_horiz_accuracy_m,pos_vert_accuracy_m,flags
2.253648,35068163182,nan,nan,0.0009,nan,nan,nan,0.02,0.51,0x00A5
2.254330,35068666995,nan,nan,0.0006,nan,nan,nan,0.01,0.50,0x00A5
2.255028,35069164378,nan,nan,0.0005,nan,nan,nan,0.02,0.51,0x00A5
2.255508,35069662995,nan,nan,0.0005,nan,nan,nan,0.01,0.50,0x00A5
2.255797,35070165527,nan,nan,0.0003,nan,nan,nan,0.02,0.51,0x00A5
2.740924,35070663569,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
3.240483,35071161998,nan,nan,0.0002,nan,nan,nan,0.01,0.51,0x00A5
3.740460,35071663959,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
4.239460,35072160412,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
4.742323,35072661580,nan,nan,0.0000,nan,nan,nan,0.02,0.51,0x00A5
5.239460,35073167159,nan,nan,0.0001,nan,nan,nan,0.01,0.51,0x00A5
5.720694,35073666274,nan,nan,0.0001,nan,nan,nan,0.02,0.51,0x00A5
6.240170,35074161756,nan,nan,0.0002,nan,nan,nan,0.01,0.50,0x00A5
6.740655,35074662321,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
7.239546,35075159922,nan,nan,0.0007,nan,nan,nan,0.02,0.51,0x00A5
7.740412,35075666096,nan,nan,0.0008,nan,nan,nan,0.02,0.51,0x00A5
8.241007,35076164153,nan,nan,0.0007,nan,nan,nan,0.01,0.50,0x00A5
8.740030,35076663592,nan,nan,0.0006,nan,nan,nan,0.01,0.50,0x00A5
9.239711,35077165409,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
9.739367,35077665608,nan,nan,0.0003,nan,nan,nan,0.01,0.51,0x00A5
10.242586,35078166265,nan,nan,0.0003,nan,nan,nan,0.02,0.51,0x00A5
10.739449,35078664102,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
11.239613,35079165848,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
11.741761,35079661503,nan,nan,0.0007,nan,nan,nan,0.01,0.50,0x00A5
12.240587,35080160411,nan,nan,0.0002,nan,nan,nan,0.02,0.51,0x00A5
12.741253,35080666161,nan,nan,0.0005,nan,nan,nan,0.01,0.51,0x00A5
13.240249,35081161421,nan,nan,0.0007,nan,nan,nan,0.02,0.51,0x00A5
13.741687,35081664881,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
14.241361,35082162700,nan,nan,0.0001,nan,nan,nan,0.02,0.51,0x00A5
14.740489,35082662579,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
15.241133,35083162092,nan,nan,0.0013,nan,nan,nan,0.02,0.51,0x00A5
15.739365,35083663254,nan,nan,0.0020,nan,nan,nan,0.02,0.51,0x00A5
16.241188,35084165065,nan,nan,0.0015,nan,nan,nan,0.02,0.51,0x00A5
16.742411,35084666167,nan,nan,0.0017,nan,nan,nan,0.02,0.51,0x00A5
17.242718,35085166368,nan,nan,0.0017,nan,nan,nan,0.01,0.50,0x00A5
17.741565,35085665073,nan,nan,0.0016,nan,nan,nan,0.02,0.51,0x00A5
18.242120,35086163038,nan,nan,0.0013,nan,nan,nan,0.01,0.50,0x00A5
18.740356,35086665495,nan,nan,0.0010,nan,nan,nan,0.02,0.51,0x00A5
19.242172,35087165663,nan,nan,0.0006,nan,nan,nan,0.01,0.50,0x00A5
19.734270,35087662525,nan,nan,0.0003,nan,nan,nan,0.02,0.51,0x00A5
20.244660,35088163314,nan,nan,0.0000,nan,nan,nan,0.01,0.50,0x00A5
20.740129,35088659484,nan,nan,0.0004,nan,nan,nan,0.02,0.50,0x00A5
21.241127,35089165924,nan,nan,0.0005,nan,nan,nan,0.01,0.50,0x00A5
21.744179,35089667489,nan,nan,0.0006,nan,nan,nan,0.02,0.51,0x00A5
22.240604,35090165907,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
22.742143,35090666582,nan,nan,0.0010,nan,nan,nan,0.02,0.51,0x00A5
23.242615,35091163479,nan,nan,0.0007,nan,nan,nan,0.02,0.51,0x00A5
23.741829,35091665607,nan,nan,0.0008,nan,nan,nan,0.01,0.51,0x00A5
24.242040,35092165610,nan,nan,0.0010,nan,nan,nan,0.02,0.51,0x00A5
24.741679,35092665206,nan,nan,0.0011,nan,nan,nan,0.01,0.50,0x00A5
25.242414,35093165865,nan,nan,0.0011,nan,nan,nan,0.02,0.51,0x00A5
25.741332,35093662592,nan,nan,0.0008,nan,nan,nan,0.01,0.50,0x00A5
26.241459,35094165924,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
26.741961,35094663012,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
27.240912,35095162385,nan,nan,0.0001,nan,nan,nan,0.02,0.51,0x00A5
27.741658,35095666763,nan,nan,0.0005,nan,nan,nan,0.02,0.51,0x00A5
28.240684,35096166637,nan,nan,0.0003,nan,nan,nan,0.02,0.50,0x00A5
28.743580,35096663652,nan,nan,0.0008,nan,nan,nan,0.02,0.51,0x00A5
29.241129,35097165590,nan,nan,0.0005,nan,nan,nan,0.01,0.50,0x00A5
29.741936,35097667737,nan,nan,0.0002,nan,nan,nan,0.02,0.51,0x00A5
30.242513,35098161979,nan,nan,0.0004,nan,nan,nan,0.02,0.50,0x00A5
30.742520,35098662700,nan,nan,0.0010,nan,nan,nan,0.02,0.51,0x00A5
31.242133,35099163947,nan,nan,0.0008,nan,nan,nan,0.01,0.50,0x00A5
31.742170,35099663580,nan,nan,0.0009,nan,nan,nan,0.02,0.51,0x00A5
32.243207,35100166379,nan,nan,0.0008,nan,nan,nan,0.01,0.50,0x00A5
32.741184,35100663952,nan,nan,0.0002,nan,nan,nan,0.02,0.51,0x00A5
33.244273,35101163304,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
33.743184,35101666829,nan,nan,0.0002,nan,nan,nan,0.02,0.51,0x00A5
34.241067,35102160463,nan,nan,0.0002,nan,nan,nan,0.06,0.51,0x0025
34.740551,35102665867,nan,nan,0.0004,nan,nan,nan,0.13,0.52,0x0025
35.242614,35103163046,nan,nan,0.0004,nan,nan,nan,0.02,0.52,0x00A5
35.741364,35103665360,nan,nan,0.0002,nan,nan,nan,0.02,0.52,0x00A5
36.241843,35104162638,nan,nan,0.0005,nan,nan,nan,0.01,0.52,0x00A5
36.743292,35104663308,nan,nan,0.0006,nan,nan,nan,0.02,0.52,0x00A5
37.242470,35105162648,nan,nan,0.0007,nan,nan,nan,0.01,0.52,0x00A5
37.741243,35105663762,nan,nan,0.0011,nan,nan,nan,0.02,0.52,0x00A5
38.242904,35106162622,nan,nan,0.0008,nan,nan,nan,0.01,0.52,0x00A5
38.742785,35106664435,nan,nan,0.0008,nan,nan,nan,0.02,0.52,0x00A5
39.242135,35107159688,nan,nan,0.0005,nan,nan,nan,0.02,0.52,0x00A5
39.740904,35107666158,nan,nan,0.0006,nan,nan,nan,0.08,0.52,0x0025
40.244716,35108166992,nan,nan,0.0007,nan,nan,nan,0.14,0.53,0x0025
40.742931,35108666422,nan,nan,0.0006,nan,nan,nan,0.05,0.53,0x0025
41.242020,35109164225,nan,nan,0.0004,nan,nan,nan,0.16,0.54,0x0025
41.742079,35109664572,nan,nan,0.0003,nan,nan,nan,70.71,0.55,0x00A5
42.245198,35110163921,nan,nan,0.0001,nan,nan,nan,0.01,0.54,0x00A5
42.743337,35110663261,nan,nan,0.0001,nan,nan,nan,0.02,0.54,0x00A5
43.242542,35111164532,nan,nan,0.0001,nan,nan,nan,0.02,0.54,0x00A5
43.745087,35111665349,nan,nan,0.0003,nan,nan,nan,0.02,0.54,0x00A5
44.241450,35112165896,nan,nan,0.0003,nan,nan,nan,0.01,0.53,0x00A5
44.743230,35112665735,nan,nan,0.0003,nan,nan,nan,0.02,0.53,0x00A5
45.244417,35113166217,nan,nan,0.0005,nan,nan,nan,0.01,0.53,0x00A5
45.744162,35113661992,nan,nan,0.0006,nan,nan,nan,0.02,0.53,0x00A5
