t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
2.253189,0,0,17
2.253189,0,0,97
2.253189,0,0,15
2.253189,0,0,515
2.253189,0,0,97
2.253189,0,0,569
2.253648,0,0,89
2.253648,0,0,11
2.253648,0,0,150
2.253648,0,0,59
2.253648,0,0,17
2.253648,0,0,317
2.253893,0,0,16
2.253893,0,0,175
2.253893,0,0,113
2.253893,0,0,13
2.253893,0,0,91
2.254154,0,0,12
2.254154,0,0,58
2.254154,0,0,1578
2.254154,0,0,307
2.254154,0,0,47
2.254330,0,0,93
2.254330,0,0,12
2.254330,0,0,83
2.254330,0,0,106
2.254330,0,0,202
2.254330,0,0,12
2.254502,0,0,226
2.254502,0,0,93
2.254502,0,0,13
2.254502,0,0,59
2.254502,0,0,14
2.254502,0,0,11
2.254688,0,0,56
2.254688,0,0,82
2.254688,0,0,112
2.254688,0,0,193
2.254688,0,0,60
2.254845,0,0,12
2.254845,0,0,16
2.254845,0,0,9
2.254845,0,0,176
2.254845,0,0,70
2.254845,0,0,401
2.255028,0,0,553
2.255028,0,0,146
2.255028,0,0,258
2.255028,0,0,135
2.255028,0,0,116
2.255228,0,0,11
2.255228,0,0,312
2.255228,0,0,80
2.255228,0,0,10
2.255228,0,0,73
2.255228,0,0,116
2.255397,0,0,426
2.255397,0,0,183
2.255397,0,0,66
2.255397,0,0,84
2.255397,0,0,11
2.255397,0,0,14
2.255508,0,0,13
2.255508,0,0,157
2.255508,0,0,517
2.255508,0,0,110
2.255508,0,0,94
2.255508,0,0,9
2.255601,0,0,269
2.255601,0,0,12
2.255601,0,0,69
2.255601,0,0,12
2.255601,0,0,321
2.255601,0,0,9
2.255702,0,0,10
2.255702,0,0,12
2.255702,0,0,16
2.255702,0,0,14
2.255702,0,0,34
2.255797,0,0,36
2.255797,0,0,57
2.255797,0,0,56
2.255797,0,0,134
2.255864,0,0,130
2.255864,0,0,84
2.307451,0,0,9
2.343521,0,0,93
2.385287,0,0,74
2.419504,0,0,11
2.452624,0,0,245
2.491735,0,0,143
2.505854,0,0,12
2.543052,0,0,98
2.562859,0,0,17
2.603332,0,0,64
2.621930,0,0,92
2.652423,0,0,173
2.672940,0,0,148
2.701728,0,0,11
2.721247,0,0,88
2.751319,0,0,11
2.774591,0,0,144
2.800806,0,0,11
2.822264,0,0,10
2.853058,0,0,95
2.877774,0,0,63
2.902476,0,0,7
2.920699,0,0,72
2.943255,0,0,11
2.974684,0,0,112
3.001168,0,0,124
3.023667,0,0,13
3.051488,0,0,16
3.091925,0,0,103
3.107050,0,0,43
3.143575,0,0,115
3.185103,0,0,169
3.207188,0,0,83
3.226166,0,0,315
3.253275,0,0,9
3.260319,0,0,9
3.307794,0,0,11
3.322626,0,0,106
3.352603,0,0,18
3.378731,0,0,59
3.407507,0,0,11
3.422823,0,0,9
3.459420,0,0,126
3.480958,0,0,11
3.506716,0,0,77
3.523958,0,0,154
3.558888,0,0,95
3.579452,0,0,118
3.607457,0,0,11
3.654191,0,0,113
3.687512,0,0,6
3.718864,0,0,204
3.742866,0,0,103
3.761914,0,0,11
3.791235,0,0,13
3.807107,0,0,788
3.841101,0,0,62
3.861042,0,0,179
3.908157,0,0,95
3.921668,0,0,85
3.952135,0,0,90
3.980338,0,0,223
4.001172,0,0,238
4.021699,0,0,101
4.059133,0,0,179
4.092689,0,0,16
4.120448,0,0,14
4.144835,0,0,124
4.161162,0,0,52
4.193205,0,0,51
4.207685,0,0,10
4.241904,0,0,167
4.262888,0,0,58
4.262888,0,0,10
4.309382,0,0,11
4.343842,0,0,204
4.361835,0,0,52
4.393715,0,0,99
4.409263,0,0,56
4.441927,0,0,61
4.461502,0,0,16
4.492340,0,0,10
4.521566,0,0,15
4.542712,0,0,119
4.562072,0,0,61
4.592152,0,0,78
4.606378,0,0,11
4.643702,0,0,92
4.663135,0,0,157
4.692066,0,0,97
4.721282,0,0,13
4.743749,0,0,12
4.762786,0,0,60
4.793661,0,0,126
4.820151,0,0,51
4.847472,0,0,123
4.882433,0,0,61
4.907086,0,0,395
4.921613,0,0,241
4.953756,0,0,90
4.983257,0,0,74
5.008374,0,0,54
5.021824,0,0,10
5.058913,0,0,10
5.086404,0,0,130
5.108001,0,0,110
5.122118,0,0,56
5.161793,0,0,215
5.184828,0,0,91
5.221761,0,0,83
5.244150,0,0,184
5.262095,0,0,55
5.262095,0,0,94
5.321575,0,0,11
5.351850,0,0,88
5.386182,0,0,254
5.407526,0,0,1377
5.442528,0,0,13
5.461449,0,0,213
5.484868,0,0,13
5.507508,0,0,247
5.539753,0,0,13
5.561086,0,0,74
5.585798,0,0,111
5.607010,0,0,11
5.639194,0,0,82
5.662093,0,0,147
5.686829,0,0,464
5.708645,0,0,209
5.720694,0,0,12
5.761122,0,0,15
5.784764,0,0,9
5.807333,0,0,11
5.821406,0,0,12
5.861564,0,0,88
5.886044,0,0,10
5.919843,0,0,163
5.951888,0,0,84
5.980856,0,0,64
6.006778,0,0,120
6.043238,0,0,11
6.061307,0,0,11
6.091234,0,0,336
6.118782,0,0,78
6.142355,0,0,156
6.163659,0,0,57
6.202907,0,0,983
6.223986,0,0,11
6.252670,0,0,19
6.263927,0,0,87
6.304536,0,0,78
6.322332,0,0,40
6.352427,0,0,219
6.384730,0,0,99
6.420322,0,0,72
6.442574,0,0,10
6.462377,0,0,11
6.492251,0,0,12
6.507314,0,0,61
6.545594,0,0,115
6.576413,0,0,88
6.593378,0,0,111
6.622204,0,0,115
6.652090,0,0,14
6.686574,0,0,10
6.707135,0,0,57
6.722855,0,0,16
6.762770,0,0,16
6.802598,0,0,83
6.822301,0,0,96
6.842516,0,0,241
6.874778,0,0,84
6.903598,0,0,120
6.921774,0,0,11
6.943606,0,0,9
6.975707,0,0,63
6.998838,0,0,45
7.021650,0,0,84
7.045708,0,0,139
7.074995,0,0,230
7.103238,0,0,10
7.120868,0,0,188
7.142341,0,0,59
7.176822,0,0,43
7.207767,0,0,60
7.222501,0,0,11
7.252681,0,0,76
7.274148,0,0,10
7.274148,0,0,10
7.322494,0,0,743
7.352665,0,0,72
7.375193,0,0,13
7.401282,0,0,86
7.421679,0,0,114
7.446275,0,0,247
7.476424,0,0,12
7.502703,0,0,63
