t_wall_s,t_boot_us,vel_ratio,pos_horiz_ratio,pos_vert_ratio,mag_ratio,hagl_ratio,tas_ratio,pos_horiz_accuracy_m,pos_vert_accuracy_m,flags
2.253265,67307723067,nan,nan,0.0002,nan,nan,nan,0.02,0.55,0x00A5
2.253527,67308215358,nan,nan,0.0001,nan,nan,nan,0.01,0.55,0x00A5
2.253671,67308721848,nan,nan,0.0005,nan,nan,nan,0.02,0.55,0x00A5
2.253916,67309220479,nan,nan,0.0003,nan,nan,nan,0.01,0.55,0x00A5
2.495845,67309722300,nan,nan,0.0004,nan,nan,nan,0.02,0.55,0x00A5
2.994907,67310223321,nan,nan,0.0002,nan,nan,nan,0.01,0.54,0x00A5
3.486729,67310719065,nan,nan,0.0001,nan,nan,nan,0.01,0.54,0x00A5
3.988650,67311218715,nan,nan,0.0001,nan,nan,nan,0.01,0.54,0x00A5
4.489321,67311721271,nan,nan,0.0004,nan,nan,nan,0.01,0.54,0x00A5
4.988201,67312221572,nan,nan,0.0003,nan,nan,nan,0.01,0.54,0x00A5
5.486887,67312722979,nan,nan,0.0003,nan,nan,nan,0.01,0.54,0x00A5
5.986283,67313222319,nan,nan,0.0002,nan,nan,nan,0.02,0.54,0x00A5
6.491976,67313719389,nan,nan,0.0003,nan,nan,nan,0.01,0.54,0x00A5
6.993633,67314220689,nan,nan,0.0004,nan,nan,nan,0.02,0.54,0x00A5
7.492025,67314722466,nan,nan,0.0002,nan,nan,nan,0.01,0.53,0x00A5
7.987357,67315222849,nan,nan,0.0007,nan,nan,nan,0.01,0.53,0x00A5
8.487714,67315711629,nan,nan,0.0009,nan,nan,nan,0.01,0.53,0x00A5
8.987577,67316220498,nan,nan,0.0008,nan,nan,nan,0.01,0.53,0x00A5
9.486823,67316718804,nan,nan,0.0005,nan,nan,nan,0.01,0.53,0x00A5
9.986935,67317217316,nan,nan,0.0003,nan,nan,nan,0.01,0.53,0x00A5
10.486234,67317719933,nan,nan,0.0006,nan,nan,nan,0.01,0.53,0x00A5
10.987562,67318222798,nan,nan,0.0004,nan,nan,nan,0.01,0.53,0x00A5
11.494673,67318721060,nan,nan,0.0005,nan,nan,nan,0.02,0.53,0x00A5
11.995668,67319224464,nan,nan,0.0005,nan,nan,nan,0.01,0.53,0x00A5
12.487598,67319717043,nan,nan,0.0005,nan,nan,nan,0.02,0.53,0x00A5
12.987540,67320223827,nan,nan,0.0005,nan,nan,nan,0.01,0.52,0x00A5
13.488064,67320720647,nan,nan,0.0005,nan,nan,nan,0.02,0.52,0x00A5
13.994836,67321223409,nan,nan,0.0004,nan,nan,nan,0.01,0.52,0x00A5
14.487296,67321722656,nan,nan,0.0006,nan,nan,nan,0.02,0.52,0x00A5
14.987463,67322218889,nan,nan,0.0001,nan,nan,nan,0.01,0.52,0x00A5
