t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
2.252868,0,0,286
2.252868,0,0,88
2.252868,0,0,71
2.252868,0,0,1109
2.253118,0,0,92
2.253118,0,0,12
2.253118,0,0,11
2.253118,0,0,99
2.253198,0,0,145
2.253198,0,0,137
2.253198,0,0,12
2.253198,0,0,186
2.253198,0,0,234
2.253265,0,0,463
2.253265,0,0,158
2.253265,0,0,101
2.253265,0,0,220
2.253337,0,0,47
2.253337,0,0,15
2.253337,0,0,240
2.253337,0,0,48
2.253463,0,0,60
2.253463,0,0,15
2.253463,0,0,12
2.253463,0,0,611
2.253463,0,0,172
2.253527,0,0,17
2.253527,0,0,12
2.253527,0,0,7
2.253527,0,0,64
2.253592,0,0,331
2.253592,0,0,375
2.253592,0,0,14
2.253592,0,0,35
2.253671,0,0,89
2.253671,0,0,13
2.253671,0,0,82
2.253671,0,0,78
2.253671,0,0,17
2.253759,0,0,127
2.253759,0,0,176
2.253759,0,0,18
2.253759,0,0,236
2.253759,0,0,135
2.253835,0,0,12
2.253835,0,0,15
2.253835,0,0,105
2.253916,0,0,97
2.253916,0,0,88
2.253916,0,0,67
2.253916,0,0,124
2.253916,0,0,82
2.254004,0,0,78
2.254004,0,0,190
2.254004,0,0,13
2.254004,0,0,862
2.254004,0,0,367
2.254084,0,0,95
2.254084,0,0,12
2.254118,0,0,171
2.315341,0,0,11
2.356506,0,0,100
2.396803,0,0,483
2.423787,0,0,11
2.463470,0,0,106
2.503834,0,0,121
2.543437,0,0,13
2.569309,0,0,832
2.604876,0,0,112
2.643433,0,0,302
2.696514,0,0,64
2.736353,0,0,11
2.769932,0,0,10
2.799800,0,0,137
2.842803,0,0,99
2.894721,0,0,146
2.937869,0,0,117
2.975314,0,0,60
3.014337,0,0,109
3.043261,0,0,91
3.087738,0,0,282
3.136401,0,0,98
3.175711,0,0,193
3.219549,0,0,62
3.256091,0,0,19
3.304337,0,0,84
3.323170,0,0,16
3.376166,0,0,20
3.414431,0,0,119
3.457520,0,0,21
3.496723,0,0,13
3.535601,0,0,133
3.563660,0,0,92
3.596219,0,0,190
3.622597,0,0,114
3.662893,0,0,14
3.703095,0,0,59
3.754952,0,0,16
3.793997,0,0,215
3.825959,0,0,10
3.875260,0,0,1088
3.919265,0,0,12
3.956238,0,0,13
4.004610,0,0,15
4.056237,0,0,182
4.096850,0,0,482
4.136180,0,0,178
4.183422,0,0,207
4.223330,0,0,833
4.253862,0,0,13
4.262598,0,0,115
4.322477,0,0,11
4.362092,0,0,12
4.395828,0,0,155
4.422982,0,0,95
4.464301,0,0,51
4.504281,0,0,88
4.542197,0,0,204
4.587788,0,0,14
