t_s,t_sim_s,kind,servo_idx,value_deg
1.347863,,fb,0,-0.0556
1.385875,,fb,2,-0.1111
1.386853,,fb,1,-0.1111
1.387861,,fb,2,-0.1111
1.388834,,fb,0,-0.0556
1.389835,,fb,1,-0.0556
1.390858,,fb,3,-0.1111
1.391845,,fb,2,-0.1667
1.392894,,fb,3,-0.1111
1.430871,,fb,1,-0.1111
1.431849,,fb,3,-0.1111
1.432852,,fb,0,-0.1111
1.433841,,fb,0,-0.0556
1.434895,,fb,1,-0.1111
1.435861,,fb,3,-0.0556
1.436825,,fb,0,-0.0556
1.437835,,fb,2,-0.1111
1.475873,,fb,0,-0.1111
1.476842,,fb,2,-0.1111
1.477848,,fb,3,-0.1111
1.479906,,fb,2,-0.1111
1.480847,,fb,2,-0.1111
1.481835,,fb,3,-0.1667
1.482838,,fb,0,-0.0556
1.483845,,fb,1,-0.1111
1.520864,,fb,3,-0.1111
1.521862,,fb,1,-0.0556
1.522855,,fb,2,-0.1667
1.525871,,fb,1,-0.1111
1.526848,,fb,2,-0.1111
1.527836,,fb,0,-0.1111
1.528836,,fb,3,-0.1111
1.540862,,fb,1,-0.1111
1.541844,,fb,3,-0.1111
1.542894,,fb,1,-0.1111
1.544832,,fb,2,-0.1111
1.548863,,fb,3,-0.1111
1.551841,,fb,0,-0.0556
1.554840,,fb,1,-0.1111
1.556838,,fb,2,-0.1111
1.559853,,fb,3,-0.1111
1.563862,,fb,0,-0.0556
1.566834,,fb,1,-0.0556
1.569844,,fb,2,-0.1111
1.572836,,fb,3,-0.0556
1.586841,,fb,1,0.6111
1.587827,,fb,2,0.1667
1.588850,,fb,3,0.3889
1.590847,,fb,1,0.3889
1.593829,,fb,2,0.7222
1.596839,,fb,3,0.6667
1.599833,,fb,0,0.8889
1.601840,,fb,1,1.1111
1.605837,,fb,2,0.9444
1.608858,,fb,3,1.3333
1.611839,,fb,0,1.2222
1.613856,,fb,1,1.1111
1.617833,,fb,2,1.1667
1.667856,,fb,1,1.1111
1.668837,,fb,0,1.1111
1.669852,,fb,3,1.1667
1.670873,,fb,0,1.1111
1.671850,,fb,2,1.0556
1.672853,,fb,0,1.1111
1.673832,,fb,2,1.0556
1.720880,,fb,2,1.0556
1.721847,,fb,2,1.0556
1.722844,,fb,0,1.1111
1.724096,,fb,1,1.1111
1.724932,,fb,3,1.1111
1.726076,,fb,2,1.0556
1.726889,,fb,3,1.1111
1.737885,,fb,1,1.1111
1.738911,,fb,0,1.1111
1.739874,,fb,1,1.1111
1.740830,,fb,3,1.1111
1.741849,,fb,3,1.1111
1.743833,,fb,0,1.1111
1.745922,,fb,1,1.1111
1.748924,,fb,2,1.0556
1.752972,,fb,3,1.1111
1.756017,,fb,0,1.1111
1.757967,,fb,1,1.1111
1.760877,,fb,2,1.0556
1.764882,,fb,3,1.1111
1.767901,,fb,0,1.1111
1.769970,,fb,1,1.1111
1.784929,,fb,3,1.1111
1.785909,,fb,0,1.1667
1.786975,,fb,2,1.0556
1.788961,,fb,3,1.1111
1.791936,,fb,0,1.1111
1.794880,,fb,1,1.1111
1.796852,,fb,2,1.0556
1.800831,,fb,3,1.1667
1.803822,,fb,0,1.1111
1.806822,,fb,1,1.1111
1.808837,,fb,2,1.1111
1.812831,,fb,3,1.1667
1.815833,,fb,0,1.1111
1.865855,,fb,0,1.1111
1.867856,,fb,3,1.1111
1.868856,,fb,3,1.1111
1.870852,,fb,2,1.0556
1.872835,,fb,2,1.0556
1.921009,,fb,1,1.1111
1.921922,,fb,3,1.1111
1.922929,,fb,1,1.1111
1.923931,,fb,0,1.1111
1.925132,,fb,2,1.0556
1.925895,,fb,3,1.1111
1.926924,,fb,2,1.0556
1.927922,,fb,3,1.1667
1.964913,,fb,3,1.1111
1.966951,,fb,2,1.0556
1.969070,,fb,2,1.0556
1.969904,,fb,2,1.0556
1.970911,,fb,3,1.1111
1.971914,,fb,0,1.1667
1.984929,,fb,1,1.1111
1.985899,,fb,2,1.0000
1.986926,,fb,0,1.1111
1.987924,,fb,1,1.1111
1.990027,,fb,2,1.0556
1.992898,,fb,3,1.1111
1.995843,,fb,0,1.1667
1.997844,,fb,1,1.1111
2.000834,,fb,2,1.0556
2.003833,,fb,3,1.1111
2.007836,,fb,0,1.1111
2.009844,,fb,1,1.1111
2.013852,,fb,2,1.0556
2.016841,,fb,3,1.1111
