t_s,cmd_deg,fb_deg
0.0,0.0,-0.0556
0.009999999999999787,0.0,-0.0556
0.019999999999999574,0.0,-0.0556
0.02999999999999936,0.0,-0.0556
0.03999999999999915,0.0,-0.0556
0.049999999999998934,0.0,-0.0556
0.05999999999999872,0.0,-0.0556
0.06999999999999851,0.0,-0.0556
0.0799999999999983,0.0,-0.0556
0.08999999999999808,0.0,-0.0556
0.09999999999999787,0.0,-0.0556
0.10999999999999766,0.0,-0.04388926464391393
0.11999999999999744,0.0,-0.029245353982304555
0.12999999999999723,0.0,-0.014601443320695177
0.13999999999999702,0.0,-0.0005378252167546381
0.1499999999999968,0.0,0.0
0.1599999999999966,0.0,0.0
0.16999999999999638,0.0,0.0
0.17999999999999616,0.0,0.0
0.18999999999999595,0.0,-0.0556
0.19999999999999574,0.0,-0.0556
0.20999999999999552,0.0,-0.0556
0.2199999999999953,0.0,-0.0556
0.2299999999999951,0.0,-0.0556
0.23999999999999488,0.0,-0.0556
0.24999999999999467,0.0,-0.008117016491747325
0.25999999999999446,0.0,-0.01969456105279992
0.26999999999999424,0.0,-0.03127210561385252
0.27999999999999403,0.0,-0.042849650174905114
0.2899999999999938,0.0,-0.05442719473595771
0.2999999999999936,0.0,-0.0556
0.3099999999999934,0.0,-0.0556
0.3199999999999932,0.0,-0.0556
0.32999999999999297,0.0,-0.0556
0.33999999999999275,0.0,-0.0556
0.34999999999999254,0.0,-0.05558352501065649
0.3599999999999923,0.0,-0.04528665666611903
0.3699999999999921,0.0,-0.03498978832158156
0.3799999999999919,0.0,-0.024692919977044092
0.3899999999999917,0.0,-0.014396051632506623
0.3999999999999915,0.0,-0.004099183287969162
0.40999999999999126,0.0,-0.042678693051119786
0.41999999999999105,0.0,-3.4115661950197274e-05
0.42999999999999083,0.0,-0.007411553136416183
0.4399999999999906,0.0,-0.014829040262540023
0.4499999999999904,0.0,-0.022246527388663864
0.4599999999999902,0.0,-0.029664014514787704
0.46999999999999,0.0,-0.03708150164091154
0.47999999999998977,0.0,-0.04449898876703538
0.48999999999998956,0.0,-0.051916475893159224
0.49999999999998934,0.0,-0.0556
0.5099999999999891,0.0,-3.099155637751243e-05
0.5199999999999889,0.0,-0.011509345775085304
0.5299999999999887,0.0,-0.022987699993793093
0.5399999999999885,0.0,-0.03446605421250089
0.5499999999999883,0.0,-0.04594440843120868
0.5599999999999881,0.0,-0.021204674717839954
0.5699999999999878,0.0,-0.010446060606046002
0.5799999999999876,0.0,-0.02202577527854406
0.5899999999999874,0.0,-0.033605489951042115
0.5999999999999872,0.0,-0.04518520462354018
0.609999999999987,0.0,-0.0556
