t_s,t_sim_s,kind,servo_idx,value_deg
1.347392,,fb,0,0.0556
1.385375,,fb,2,-0.1111
1.386319,,fb,0,0.0556
1.387323,,fb,1,0.1111
1.388330,,fb,0,0.0556
1.389317,,fb,1,0.1111
1.390353,,fb,0,0.0556
1.391318,,fb,1,0.0556
1.392342,,fb,3,0.0000
1.430335,,fb,1,0.0556
1.431322,,fb,0,0.0556
1.432321,,fb,1,0.1111
1.433323,,fb,3,0.0556
1.434326,,fb,0,0.0556
1.435339,,fb,3,0.0000
1.436324,,fb,0,0.0556
1.437323,,fb,2,-0.1111
1.451335,,fb,0,0.0556
1.452384,,fb,2,-0.1111
1.454332,,fb,3,0.0000
1.457329,,fb,0,0.1111
1.460340,,fb,1,0.1111
1.463337,,fb,2,-0.1111
1.466337,,fb,3,0.0000
1.469367,,fb,0,0.0556
1.471341,,fb,1,0.0556
1.474346,,fb,2,-0.1111
1.477338,,fb,3,0.0000
1.481334,,fb,0,0.0556
1.484343,,fb,1,0.0556
1.487317,,fb,2,-0.1111
1.525363,,fb,0,0.0556
1.526335,,fb,1,0.1111
1.530323,,fb,3,0.0000
1.531325,,fb,0,0.0556
1.532358,,fb,2,-0.1111
1.533367,,fb,3,0.0556
1.572683,,fb,3,0.0000
1.578413,,fb,2,-0.1111
1.580553,,fb,3,0.0000
1.586166,,fb,3,0.0000
1.594850,,fb,0,0.0556
1.634675,,fb,2,-0.1111
1.635351,,fb,0,0.1111
1.636343,,fb,2,-0.1111
1.637321,,fb,3,0.0000
1.688407,,fb,0,0.1111
1.724295,,fb,1,0.0556
1.730425,,fb,0,0.0556
1.736344,,fb,1,0.1111
1.748487,,fb,2,-0.1111
1.797631,,fb,0,0.1111
1.850595,,fb,3,0.0556
1.854046,,fb,1,0.0556
1.860391,,fb,2,-0.1111
1.862335,,fb,3,0.0000
1.866345,,fb,0,0.0556
1.869331,,fb,1,0.0556
1.871323,,fb,2,-0.1111
1.874359,,fb,3,0.0000
1.878362,,fb,0,0.0556
1.881339,,fb,1,0.0556
1.894376,,fb,2,-0.1111
1.895331,,fb,3,0.0000
1.896331,,fb,2,-0.1111
1.899338,,fb,3,0.0556
1.902329,,fb,0,0.1111
1.905676,,fb,1,0.0556
1.908321,,fb,2,-0.1111
1.910351,,fb,3,0.0000
1.914353,,fb,0,0.0556
1.917334,,fb,1,0.0556
1.920350,,fb,2,-0.1111
1.922339,,fb,3,0.0000
1.926361,,fb,0,0.0556
1.929355,,fb,1,0.1111
1.967354,,fb,3,0.0556
1.968354,,fb,0,0.1111
1.969342,,fb,3,0.0556
1.970367,,fb,0,0.0556
1.971342,,fb,2,-0.1111
1.972349,,fb,0,0.0556
1.973334,,fb,2,-0.1111
1.974327,,fb,0,0.0556
1.987373,,fb,1,0.1111
1.988315,,fb,2,-0.1111
1.989342,,fb,0,0.1111
1.990355,,fb,1,0.1111
1.992329,,fb,2,-0.1111
1.994343,,fb,3,0.0000
1.998339,,fb,0,0.1111
2.001317,,fb,1,0.0556
2.004318,,fb,2,-0.1111
2.006327,,fb,3,0.0000
2.010359,,fb,0,0.0556
2.013334,,fb,1,0.1111
2.016365,,fb,2,-0.1111
2.018335,,fb,3,0.0000
2.022316,,fb,0,0.1111
2.060356,,fb,2,-0.1111
2.061433,,fb,0,0.0556
2.062345,,fb,1,0.1111
2.063337,,fb,3,0.0000
2.064399,,fb,1,0.1111
2.065331,,fb,0,0.0556
2.066328,,fb,1,0.1111
2.067327,,fb,3,0.0000
2.070329,,fb,0,0.1111
2.108358,,fb,2,-0.1111
2.109338,,fb,0,0.1111
2.110350,,fb,1,0.1111
2.111337,,fb,3,0.0000
2.112321,,fb,1,0.1111
2.113350,,fb,0,0.0556
2.114380,,fb,1,0.0556
2.115315,,fb,3,0.0000
2.153335,,fb,1,0.0556
2.155343,,fb,0,0.0556
2.156332,,fb,3,0.0000
2.157334,,fb,0,0.0556
2.158338,,fb,2,-0.1111
2.159356,,fb,0,0.1111
2.160334,,fb,2,-0.1111
2.199377,,fb,0,0.0556
2.201371,,fb,0,0.0556
2.296333,,fb,2,-0.1111
2.297329,,fb,3,0.0556
2.298351,,fb,0,0.1111
2.348365,,fb,3,0.0000
2.349343,,fb,3,0.0556
2.350357,,fb,0,0.0556
2.351331,,fb,3,0.0000
2.352331,,fb,0,0.0556
2.353343,,fb,2,-0.1111
2.354343,,fb,3,0.0000
2.365401,,fb,1,0.0556
2.366347,,fb,0,0.1111
2.367361,,fb,1,0.1111
2.368358,,fb,2,-0.0556
2.370359,,fb,0,0.0556
2.373354,,fb,1,0.0556
2.376346,,fb,2,-0.0556
2.378336,,fb,3,0.0000
2.382333,,fb,0,0.0556
2.385343,,fb,1,0.0556
2.388343,,fb,2,-0.1111
2.390320,,fb,3,0.0000
2.394354,,fb,0,0.1111
2.397338,,fb,1,0.1111
2.400344,,fb,2,-0.1111
2.438338,,fb,0,0.0556
2.439397,,fb,2,-0.1111
2.440364,,fb,3,0.0000
2.441346,,fb,1,0.0556
2.442356,,fb,3,0.0556
2.443354,,fb,1,0.1111
2.444331,,fb,0,0.0556
2.445357,,fb,1,0.1111
2.458381,,fb,2,-0.1111
2.459337,,fb,3,0.0000
2.460385,,fb,2,-0.1111
2.463335,,fb,3,0.0000
2.466362,,fb,0,0.0556
2.469346,,fb,1,0.1111
2.472375,,fb,2,-0.1111
2.474363,,fb,3,0.0000
2.478348,,fb,0,0.0556
2.481349,,fb,1,0.1111
2.484334,,fb,2,-0.1111
2.487326,,fb,3,0.0000
2.490334,,fb,0,0.1111
2.493344,,fb,1,0.1111
