t_s,t_sim_s,kind,servo_idx,value_deg
10.530297,0.420000,cmd,0,0.0000
10.530297,0.420000,cmd,1,0.0000
10.530297,0.420000,cmd,2,0.0000
10.530297,0.420000,cmd,3,0.0000
10.541378,0.430000,cmd,0,0.0000
10.541378,0.430000,cmd,1,0.0000
10.541378,0.430000,cmd,2,0.0000
10.541378,0.430000,cmd,3,0.0000
10.553307,0.440000,cmd,0,0.0000
10.553307,0.440000,cmd,1,0.0000
10.553307,0.440000,cmd,2,0.0000
10.553307,0.440000,cmd,3,0.0000
10.565358,0.450000,cmd,0,0.0000
10.565358,0.450000,cmd,1,0.0000
10.565358,0.450000,cmd,2,0.0000
10.565358,0.450000,cmd,3,0.0000
10.577337,0.460000,cmd,0,0.0000
10.577337,0.460000,cmd,1,0.0000
10.577337,0.460000,cmd,2,0.0000
10.577337,0.460000,cmd,3,0.0000
10.589364,0.470000,cmd,0,0.0000
10.589364,0.470000,cmd,1,0.0000
10.589364,0.470000,cmd,2,0.0000
10.589364,0.470000,cmd,3,0.0000
10.601302,0.480000,cmd,0,0.0000
10.601302,0.480000,cmd,1,0.0000
10.601302,0.480000,cmd,2,0.0000
10.601302,0.480000,cmd,3,0.0000
10.614353,0.490000,cmd,0,0.0000
10.614353,0.490000,cmd,1,0.0000
10.614353,0.490000,cmd,2,0.0000
10.614353,0.490000,cmd,3,0.0000
10.626302,0.500000,cmd,0,0.0000
10.626302,0.500000,cmd,1,0.0000
10.626302,0.500000,cmd,2,0.0000
10.626302,0.500000,cmd,3,0.0000
10.638399,0.510000,cmd,0,0.0000
10.638399,0.510000,cmd,1,0.0000
10.638399,0.510000,cmd,2,0.0000
10.638399,0.510000,cmd,3,0.0000
10.650304,0.520000,cmd,0,0.0000
10.650304,0.520000,cmd,1,0.0000
10.650304,0.520000,cmd,2,0.0000
10.650304,0.520000,cmd,3,0.0000
10.662444,0.530000,cmd,0,0.0000
10.662444,0.530000,cmd,1,0.0000
10.662444,0.530000,cmd,2,0.0000
10.662444,0.530000,cmd,3,0.0000
10.673302,0.540000,cmd,0,0.0000
10.673302,0.540000,cmd,1,0.0000
10.673302,0.540000,cmd,2,0.0000
10.673302,0.540000,cmd,3,0.0000
10.685379,0.550000,cmd,0,0.0000
10.685379,0.550000,cmd,1,0.0000
10.685379,0.550000,cmd,2,0.0000
10.685379,0.550000,cmd,3,0.0000
10.697301,0.560000,cmd,0,0.0000
10.697301,0.560000,cmd,1,0.0000
10.697301,0.560000,cmd,2,0.0000
10.697301,0.560000,cmd,3,0.0000
10.709396,0.570000,cmd,0,0.0000
10.709396,0.570000,cmd,1,0.0000
10.709396,0.570000,cmd,2,0.0000
10.709396,0.570000,cmd,3,0.0000
10.721330,0.580000,cmd,0,0.0000
10.721330,0.580000,cmd,1,0.0000
10.721330,0.580000,cmd,2,0.0000
10.721330,0.580000,cmd,3,0.0000
10.733354,0.590000,cmd,0,0.0000
10.733354,0.590000,cmd,1,0.0000
10.733354,0.590000,cmd,2,0.0000
10.733354,0.590000,cmd,3,0.0000
10.745310,0.600000,cmd,0,0.0000
10.745310,0.600000,cmd,1,0.0000
10.745310,0.600000,cmd,2,0.0000
10.745310,0.600000,cmd,3,0.0000
10.757456,0.610000,cmd,0,0.0000
10.757456,0.610000,cmd,1,0.0000
10.757456,0.610000,cmd,2,0.0000
10.757456,0.610000,cmd,3,0.0000
10.769345,0.620000,cmd,0,0.0000
10.769345,0.620000,cmd,1,0.0000
10.769345,0.620000,cmd,2,0.0000
10.769345,0.620000,cmd,3,0.0000
10.781341,0.630000,cmd,0,0.0000
10.781341,0.630000,cmd,1,0.0000
10.781341,0.630000,cmd,2,0.0000
10.781341,0.630000,cmd,3,0.0000
10.793258,0.640000,cmd,0,0.0000
10.793258,0.640000,cmd,1,0.0000
10.793258,0.640000,cmd,2,0.0000
10.793258,0.640000,cmd,3,0.0000
10.804360,0.650000,cmd,0,0.0000
10.804360,0.650000,cmd,1,0.0000
10.804360,0.650000,cmd,2,0.0000
10.804360,0.650000,cmd,3,0.0000
10.816326,0.660000,cmd,0,0.0000
10.816326,0.660000,cmd,1,0.0000
10.816326,0.660000,cmd,2,0.0000
10.816326,0.660000,cmd,3,0.0000
10.826437,0.670000,cmd,0,0.0000
10.826437,0.670000,cmd,1,0.0000
10.826437,0.670000,cmd,2,0.0000
10.826437,0.670000,cmd,3,0.0000
10.838356,0.680000,cmd,0,0.0000
10.838356,0.680000,cmd,1,0.0000
10.838356,0.680000,cmd,2,0.0000
10.838356,0.680000,cmd,3,0.0000
10.850331,0.690000,cmd,0,0.0000
10.850331,0.690000,cmd,1,0.0000
10.850331,0.690000,cmd,2,0.0000
10.850331,0.690000,cmd,3,0.0000
10.860341,0.700000,cmd,0,0.0000
10.860341,0.700000,cmd,1,0.0000
10.860341,0.700000,cmd,2,0.0000
10.860341,0.700000,cmd,3,0.0000
10.872363,0.710000,cmd,0,0.0000
10.872363,0.710000,cmd,1,0.0000
10.872363,0.710000,cmd,2,0.0000
10.872363,0.710000,cmd,3,0.0000
10.887588,0.730000,cmd,0,0.0000
10.887588,0.730000,cmd,1,0.0000
10.887588,0.730000,cmd,2,0.0000
10.887588,0.730000,cmd,3,0.0000
10.899298,0.740000,cmd,0,0.0000
10.899298,0.740000,cmd,1,0.0000
10.899298,0.740000,cmd,2,0.0000
10.899298,0.740000,cmd,3,0.0000
10.911275,0.750000,cmd,0,0.0000
10.911275,0.750000,cmd,1,0.0000
10.911275,0.750000,cmd,2,0.0000
10.911275,0.750000,cmd,3,0.0000
10.922304,0.760000,cmd,0,0.0000
10.922304,0.760000,cmd,1,0.0000
10.922304,0.760000,cmd,2,0.0000
10.922304,0.760000,cmd,3,0.0000
10.934296,0.770000,cmd,0,0.0000
10.934296,0.770000,cmd,1,0.0000
10.934296,0.770000,cmd,2,0.0000
10.934296,0.770000,cmd,3,0.0000
10.945425,0.780000,cmd,0,0.0000
10.945425,0.780000,cmd,1,0.0000
10.945425,0.780000,cmd,2,0.0000
10.945425,0.780000,cmd,3,0.0000
10.957323,0.790000,cmd,0,0.0000
10.957323,0.790000,cmd,1,0.0000
10.957323,0.790000,cmd,2,0.0000
10.957323,0.790000,cmd,3,0.0000
10.969285,0.800000,cmd,0,0.0000
10.969285,0.800000,cmd,1,0.0000
10.969285,0.800000,cmd,2,0.0000
10.969285,0.800000,cmd,3,0.0000
10.979451,0.810000,cmd,0,0.0000
10.979451,0.810000,cmd,1,0.0000
10.979451,0.810000,cmd,2,0.0000
10.979451,0.810000,cmd,3,0.0000
10.991271,0.820000,cmd,0,0.0000
10.991271,0.820000,cmd,1,0.0000
10.991271,0.820000,cmd,2,0.0000
10.991271,0.820000,cmd,3,0.0000
11.002373,0.830000,cmd,0,0.0000
11.002373,0.830000,cmd,1,0.0000
11.002373,0.830000,cmd,2,0.0000
11.002373,0.830000,cmd,3,0.0000
11.014345,0.840000,cmd,0,0.0000
11.014345,0.840000,cmd,1,0.0000
11.014345,0.840000,cmd,2,0.0000
11.014345,0.840000,cmd,3,0.0000
11.026394,0.850000,cmd,0,0.0000
11.026394,0.850000,cmd,1,0.0000
11.026394,0.850000,cmd,2,0.0000
11.026394,0.850000,cmd,3,0.0000
11.038362,0.860000,cmd,0,0.0000
11.038362,0.860000,cmd,1,0.0000
11.038362,0.860000,cmd,2,0.0000
11.038362,0.860000,cmd,3,0.0000
11.050387,0.870000,cmd,0,0.0000
11.050387,0.870000,cmd,1,0.0000
11.050387,0.870000,cmd,2,0.0000
11.050387,0.870000,cmd,3,0.0000
11.062292,0.880000,cmd,0,0.0000
11.062292,0.880000,cmd,1,0.0000
11.062292,0.880000,cmd,2,0.0000
11.062292,0.880000,cmd,3,0.0000
11.072389,0.890000,cmd,0,0.0000
11.072389,0.890000,cmd,1,0.0000
11.072389,0.890000,cmd,2,0.0000
11.072389,0.890000,cmd,3,0.0000
11.084281,0.900000,cmd,0,0.0000
11.084281,0.900000,cmd,1,0.0000
11.084281,0.900000,cmd,2,0.0000
11.084281,0.900000,cmd,3,0.0000
11.094375,0.910000,cmd,0,0.0000
11.094375,0.910000,cmd,1,0.0000
11.094375,0.910000,cmd,2,0.0000
11.094375,0.910000,cmd,3,0.0000
11.106328,0.920000,cmd,0,0.0000
11.106328,0.920000,cmd,1,0.0000
11.106328,0.920000,cmd,2,0.0000
11.106328,0.920000,cmd,3,0.0000
11.118355,0.930000,cmd,0,0.0000
11.118355,0.930000,cmd,1,0.0000
11.118355,0.930000,cmd,2,0.0000
11.118355,0.930000,cmd,3,0.0000
11.130323,0.940000,cmd,0,0.0000
11.130323,0.940000,cmd,1,0.0000
11.130323,0.940000,cmd,2,0.0000
11.130323,0.940000,cmd,3,0.0000
11.142375,0.950000,cmd,0,0.0000
11.142375,0.950000,cmd,1,0.0000
11.142375,0.950000,cmd,2,0.0000
11.142375,0.950000,cmd,3,0.0000
11.153432,0.960000,cmd,0,0.0000
11.153432,0.960000,cmd,1,0.0000
11.153432,0.960000,cmd,2,0.0000
11.153432,0.960000,cmd,3,0.0000
11.165357,0.970000,cmd,0,0.0000
11.165357,0.970000,cmd,1,0.0000
11.165357,0.970000,cmd,2,0.0000
11.165357,0.970000,cmd,3,0.0000
11.177397,0.980000,cmd,0,0.0000
11.177397,0.980000,cmd,1,0.0000
11.177397,0.980000,cmd,2,0.0000
11.177397,0.980000,cmd,3,0.0000
11.189419,0.990000,cmd,0,0.0000
11.189419,0.990000,cmd,1,0.0000
11.189419,0.990000,cmd,2,0.0000
11.189419,0.990000,cmd,3,0.0000
11.201324,1.000000,cmd,0,0.0000
11.201324,1.000000,cmd,1,0.0000
11.201324,1.000000,cmd,2,0.0000
11.201324,1.000000,cmd,3,0.0000
11.214460,1.010000,cmd,0,0.0000
11.214460,1.010000,cmd,1,0.0000
11.214460,1.010000,cmd,2,0.0000
11.214460,1.010000,cmd,3,0.0000
11.226309,1.020000,cmd,0,0.0000
11.226309,1.020000,cmd,1,0.0000
11.226309,1.020000,cmd,2,0.0000
11.226309,1.020000,cmd,3,0.0000
11.238467,1.030000,cmd,0,0.0000
11.238467,1.030000,cmd,1,0.0000
11.238467,1.030000,cmd,2,0.0000
11.238467,1.030000,cmd,3,0.0000
11.250262,1.040000,cmd,0,0.0000
11.250262,1.040000,cmd,1,0.0000
11.250262,1.040000,cmd,2,0.0000
11.250262,1.040000,cmd,3,0.0000
11.261304,1.050000,cmd,0,0.0000
11.261304,1.050000,cmd,1,0.0000
11.261304,1.050000,cmd,2,0.0000
11.261304,1.050000,cmd,3,0.0000
11.273335,1.060000,cmd,0,0.0000
