time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q0,q1,q2,q3,omega_x,omega_y,omega_z,mass,altitude,ground_range,alpha,beta,mach,fin_cmd_1,fin_cmd_2,fin_cmd_3,fin_cmd_4,fin_act_1,fin_act_2,fin_act_3,fin_act_4,force_x,force_y,force_z,accel_x,accel_y,accel_z,lat,lon,alt_msl
0.120000,4393519.012604,4259900.776596,1795675.322098,-0.926428,-0.898236,6.144896,0.99142706,0.00594428,0.13052373,-0.00078247,0.09999425,-0.00002627,0.00000032,12.7032,0.0186,0.2902,0.18381829,0.00201081,0.016572,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,787.1381,-0.0002,-0.0153,64.502004,-0.113598,-9.473024,16.45747462,44.11536100,1200.0186
0.130000,4393519.002948,4259900.767234,1795675.386428,-1.004787,-0.974210,6.721044,0.99142399,0.00643960,0.13052314,-0.00084767,0.09999029,-0.00004783,0.00000063,12.6998,0.0233,0.3499,0.18153487,0.00216667,0.018303,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,767.2355,-0.0003,-0.0226,62.951522,-0.123070,-9.473477,16.45747516,44.11536100,1200.0233
0.140000,4393518.992508,4259900.757112,1795675.456520,-1.083145,-1.050181,7.297353,0.99142069,0.00693489,0.13052239,-0.00091286,0.09998538,-0.00007790,0.00000110,12.6963,0.0287,0.4154,0.17984408,0.00232561,0.020012,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,767.2333,-0.0004,-0.0320,62.967634,-0.132544,-9.474093,16.45747575,44.11536100,1200.0287
0.150000,4393518.981285,4259900.746230,1795675.532402,-1.161640,-1.126286,7.881661,0.99141716,0.00743015,0.13052144,-0.00097805,0.09997939,-0.00011886,0.00000180,12.6929,0.0346,0.4867,0.17841365,0.00248480,0.021721,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,767.2305,-0.0006,-0.0441,62.983896,-0.142023,-9.474913,16.45747640,44.11536100,1200.0346
0.160000,4393518.969275,4259900.734586,1795675.614180,-1.240321,-1.202570,8.476588,0.99141342,0.00792538,0.13052021,-0.00104323,0.09997221,-0.00017362,0.00000280,12.6894,0.0411,0.5639,0.17701446,0.00264163,0.023454,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,787.1331,-0.0009,-0.0595,64.569097,-0.151507,-9.475986,16.45747710,44.11536100,1200.0411
0.170000,4393518.956478,4259900.722178,1795675.701960,-1.319113,-1.278962,9.078214,0.99140948,0.00842057,0.13051864,-0.00110841,0.09996375,-0.00024565,0.00000420,12.6858,0.0482,0.6470,0.17559046,0.00279530,0.025217,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,807.0272,-0.0012,-0.0790,66.154599,-0.160997,-9.477370,16.45747785,44.11536100,1200.0482
0.180000,4393518.942893,4259900.709007,1795675.795745,-1.397870,-1.355319,9.678705,0.99140534,0.00891571,0.13051664,-0.00117357,0.09995393,-0.00033873,0.00000613,12.6823,0.0560,0.7363,0.17422404,0.00294711,0.026999,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,797.0683,-0.0017,-0.1030,65.387082,-0.170495,-9.479111,16.45747865,44.11536100,1200.0560
0.190000,4393518.928520,4259900.695072,1795675.895535,-1.476614,-1.431664,10.279372,0.99140102,0.00941080,0.13051407,-0.00123872,0.09994269,-0.00045713,0.00000874,12.6787,0.0644,0.8315,0.17304318,0.00309951,0.028778,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,797.0699,-0.0023,-0.1321,65.404908,-0.180003,-9.481243,16.45747951,44.11536100,1200.0644
0.200000,4393518.913360,4259900.680373,1795676.001359,-1.555462,-1.508109,10.886754,0.99139654,0.00990583,0.13051082,-0.00130385,0.09993002,-0.00060583,0.00001219,12.6751,0.0735,0.9329,0.17199291,0.00325201,0.030558,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,797.0623,-0.0031,-0.1670,65.422026,-0.189522,-9.483825,16.45748043,44.11536100,1200.0735
0.210000,4393518.897411,4259900.664909,1795676.113297,-1.634456,-1.584696,11.503463,0.99139193,0.01040079,0.13050670,-0.00136896,0.09991587,-0.00079065,0.00001670,12.6715,0.0832,1.0403,0.17095059,0.00340259,0.032357,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,807.0159,-0.0041,-0.2087,66.225499,-0.199056,-9.486943,16.45748140,44.11536100,1200.0832
