native_pss,native_priv_dirty,native_heap_size,native_heap_alloc,native_heap_free,dalvik_pss,dalvik_priv_dirty,dalvik_heap_size,dalvik_heap_alloc,dalvik_heap_free,stack_pss,gfx_pss,egl_pss,total_pss,total_priv_dirty,views,viewrootimpl,appcontexts,activities,local_binders,proxy_binders,parcel_count,t_sec
22918,22896,34796,27778,7017,7233,6608,10051,3907,6144,224,2956,28572,113679,100084,8,1,7,1,14,45,21,0.0
22802,22780,34648,27537,7110,5357,4732,9996,3852,6144,224,2968,28572,111707,98112,8,1,7,1,14,45,21,10.0
22490,22468,33976,27518,6457,5085,4460,10049,3905,6144,224,2968,28572,111127,97532,8,1,7,1,14,45,21,20.0
22462,22440,33944,27524,6419,5097,4472,9987,3843,6144,224,2968,28572,111115,97520,8,1,7,1,14,45,21,30.0
23590,23568,35668,28287,7380,5053,4428,9982,3838,6144,224,2992,28572,112253,98640,8,1,7,1,14,45,21,40.0
23590,23568,35668,28247,7420,5069,4444,9985,3841,6144,224,2992,28572,112265,98652,8,1,7,1,14,45,21,50.0
22738,22716,30564,28155,2408,4989,4364,9981,3837,6144,224,2992,28572,111361,97728,8,1,7,1,14,45,21,60.0
22658,22636,30460,27978,2481,4993,4368,9982,3838,6144,224,2992,28572,111289,97656,8,1,7,1,14,45,21,70.0
22658,22636,30460,27570,2889,4989,4364,10013,3869,6144,224,2992,28572,111281,97648,8,1,7,1,14,45,21,80.0
22546,22524,30320,27557,2762,4989,4364,9981,3837,6144,224,2992,28572,111173,97540,8,1,7,1,14,45,21,90.0
22546,22524,30320,27534,2785,5021,4396,10031,3887,6144,224,2992,28572,111205,97568,8,1,7,1,14,45,21,100.0
22546,22524,30320,27419,2900,5017,4392,9983,3839,6144,224,2992,28572,111205,97568,8,1,7,1,14,45,21,110.0
22154,22132,29732,27355,2376,5021,4396,9983,3839,6144,224,2992,28572,110813,97176,8,1,7,1,14,45,21,120.0
22110,22088,29616,27307,2308,5089,4464,10034,3890,6144,224,2992,28572,110841,97204,8,1,7,1,14,45,21,130.0
22110,22088,29616,27288,2327,5001,4376,9982,3838,6144,224,2992,28572,110753,97116,8,1,7,1,14,45,21,140.0
22110,22088,29616,27293,2322,5033,4408,9984,3840,6144,224,2992,28572,110781,97144,8,1,7,1,14,45,21,150.0
22110,22088,29616,27285,2330,5009,4384,9982,3838,6144,224,2992,28572,110761,97124,8,1,7,1,14,45,21,160.0
22110,22088,29616,27289,2326,5017,4392,9983,3839,6144,224,2992,28572,110765,97128,8,1,7,1,14,45,21,170.0
22115,22088,29616,27269,2346,4965,4340,9981,3837,6144,224,2992,28572,110835,97080,8,1,7,1,14,45,21,180.0
22111,22084,29612,27271,2340,5013,4388,10030,3886,6144,224,2992,28572,110875,97120,8,1,7,1,14,45,21,190.0
22111,22084,29612,27269,2342,5010,4384,10030,3886,6144,224,2992,28572,110977,97120,8,1,7,1,14,45,21,200.0
22103,22076,29604,27229,2374,4966,4340,9980,3836,6144,224,2992,28572,110917,97060,8,1,7,1,14,45,21,210.0
22079,22052,29580,27234,2345,4998,4372,9982,3838,6144,224,2992,28572,110929,97072,8,1,7,1,14,45,21,220.0
22183,22156,29688,27248,2439,5054,4428,10033,3889,6144,224,2992,28572,111105,97236,8,1,7,1,14,45,21,230.0
22183,22156,29688,27258,2429,5094,4468,9986,3858,6128,224,2992,28572,111145,97276,8,1,7,1,14,45,21,240.0
22183,22156,29688,27250,2437,5042,4416,9984,3840,6144,224,2992,28572,111089,97220,8,1,7,1,14,45,21,250.0
22183,22156,29688,27241,2446,5010,4384,9983,3839,6144,224,2992,28572,111061,97192,8,1,7,1,14,45,21,260.0
22183,22156,29688,27246,2441,5030,4404,9983,3839,6144,224,2992,28572,111077,97208,8,1,7,1,14,45,21,270.0
22183,22156,29688,27262,2425,5086,4460,10019,3875,6144,224,2992,28572,111137,97268,8,1,7,1,14,45,21,280.0
22187,22160,29700,27264,2435,5106,4480,9987,3843,6144,224,2992,28572,111161,97292,8,1,7,1,14,45,21,290.0
