t_s,servo_idx,node_id,cmd_deg,fb_deg
2.268258,1,0x02,0.0000,0.0556
2.268258,2,0x03,0.0000,0.1111
2.268258,3,0x04,0.0000,0.0556
2.269327,0,0x01,0.0000,-0.1111
2.269327,1,0x02,0.0000,0.0556
2.269327,2,0x03,0.0000,0.1111
2.269327,3,0x04,0.0000,0.0556
2.270384,0,0x01,0.0000,-0.1111
2.270384,1,0x02,0.0000,0.0556
2.270384,2,0x03,0.0000,0.1111
2.270384,3,0x04,0.0000,0.0556
2.276159,0,0x01,0.0000,-0.1111
2.276159,1,0x02,0.0000,0.0556
2.276159,2,0x03,0.0000,0.1111
2.276159,3,0x04,0.0000,0.0556
2.277226,0,0x01,0.0000,-0.1111
2.277226,1,0x02,0.0000,0.0556
2.277226,2,0x03,0.0000,0.1111
2.277226,3,0x04,0.0000,0.0556
2.278291,0,0x01,0.0000,-0.1111
2.278291,1,0x02,0.0000,0.0556
2.278291,2,0x03,0.0000,0.1111
2.278291,3,0x04,0.0000,0.0556
2.279384,0,0x01,0.0000,-0.1111
2.279384,1,0x02,0.0000,0.0556
2.279384,2,0x03,0.0000,0.1111
2.279384,3,0x04,0.0000,0.0556
2.280460,0,0x01,0.0000,-0.1111
2.280460,1,0x02,0.0000,0.0556
2.280460,2,0x03,0.0000,0.1111
2.280460,3,0x04,0.0000,0.0556
2.288241,0,0x01,0.0000,-0.1111
2.288241,1,0x02,0.0000,0.0556
2.288241,2,0x03,0.0000,0.1111
2.288241,3,0x04,0.0000,0.0556
2.289311,0,0x01,0.0000,-0.1111
2.289311,1,0x02,0.0000,0.0556
2.289311,2,0x03,0.0000,0.1111
2.289311,3,0x04,0.0000,0.0556
2.290430,0,0x01,0.0000,-0.0556
2.290430,1,0x02,0.0000,0.0556
2.290430,2,0x03,0.0000,0.0556
2.290430,3,0x04,0.0000,0.0556
2.297280,0,0x01,0.0000,-0.0556
2.297280,1,0x02,0.0000,0.0556
2.297280,2,0x03,0.0000,0.1111
2.297280,3,0x04,0.0000,0.0556
2.298356,0,0x01,0.0000,-0.0556
2.298356,1,0x02,0.0000,0.0556
2.298356,2,0x03,0.0000,0.1111
2.298356,3,0x04,0.0000,0.0556
2.299443,0,0x01,0.0000,-0.0556
2.299443,1,0x02,0.0000,0.0556
2.299443,2,0x03,0.0000,0.1111
2.299443,3,0x04,0.0000,0.0556
2.300574,0,0x01,0.0000,-0.0556
2.300574,1,0x02,0.0000,0.0556
2.300574,2,0x03,0.0000,0.1111
2.300574,3,0x04,0.0000,0.0556
2.312223,0,0x01,0.0000,-0.0556
2.312223,1,0x02,0.0000,0.0556
2.312223,2,0x03,0.0000,0.1111
2.312223,3,0x04,0.0000,0.0556
2.318223,0,0x01,0.0000,-0.0556
2.318223,1,0x02,0.0000,0.0556
2.318223,2,0x03,0.0000,0.1111
2.318223,3,0x04,0.0000,0.0556
2.319288,0,0x01,0.0000,-0.0556
2.319288,1,0x02,0.0000,0.0556
2.319288,2,0x03,0.0000,0.1111
2.319288,3,0x04,0.0000,0.0556
2.320355,0,0x01,0.0000,-0.0556
2.320355,1,0x02,0.0000,0.0556
2.320355,2,0x03,0.0000,0.1111
2.320355,3,0x04,0.0000,0.0556
2.327152,0,0x01,0.0000,-0.0556
2.327152,1,0x02,0.0000,0.0556
2.327152,2,0x03,0.0000,0.1111
2.327152,3,0x04,0.0000,0.0556
2.328227,0,0x01,0.0000,-0.0556
2.328227,1,0x02,0.0000,0.0556
2.328227,2,0x03,0.0000,0.1111
2.328227,3,0x04,0.0000,0.0556
2.329304,0,0x01,0.0000,-0.0556
2.329304,1,0x02,0.0000,0.0556
2.329304,2,0x03,0.0000,0.1111
2.329304,3,0x04,0.0000,0.0556
2.330377,0,0x01,0.0000,-0.0556
2.330377,1,0x02,0.0000,0.0556
2.330377,2,0x03,0.0000,0.1111
2.330377,3,0x04,0.0000,0.0556
2.337183,0,0x01,0.0000,-0.0556
2.337183,1,0x02,0.0000,0.0556
2.337183,2,0x03,0.0000,0.1111
2.337183,3,0x04,0.0000,0.0556
2.338257,0,0x01,0.0000,-0.0556
2.338257,1,0x02,0.0000,0.0556
2.338257,2,0x03,0.0000,0.1111
2.338257,3,0x04,0.0000,0.0556
2.339322,0,0x01,0.0000,-0.0556
2.339322,1,0x02,0.0000,0.0556
2.339322,2,0x03,0.0000,0.1111
2.339322,3,0x04,0.0000,0.0556
2.340384,0,0x01,0.0000,-0.0556
2.340384,1,0x02,0.0000,0.0556
2.340384,2,0x03,0.0000,0.1111
2.340384,3,0x04,0.0000,0.0556
2.346173,0,0x01,0.0000,-0.0556
2.346173,1,0x02,0.0000,0.0556
2.346173,2,0x03,0.0000,0.1111
2.346173,3,0x04,0.0000,0.0556
2.347254,0,0x01,0.0000,-0.0556
2.347254,1,0x02,0.0000,0.0556
2.347254,2,0x03,0.0000,0.1111
2.347254,3,0x04,0.0000,0.0556
2.348334,0,0x01,0.0000,-0.0556
2.348334,1,0x02,0.0000,0.0556
2.348334,2,0x03,0.0000,0.1111
2.348334,3,0x04,0.0000,0.0556
2.349476,0,0x01,0.0000,-0.0556
2.349476,1,0x02,0.0000,0.0556
2.349476,2,0x03,0.0000,0.1111
2.349476,3,0x04,0.0000,0.0556
2.350605,0,0x01,0.0000,-0.0556
2.350605,1,0x02,0.0000,0.0556
2.350605,2,0x03,0.0000,0.0556
2.350605,3,0x04,0.0000,0.0556
2.358224,0,0x01,0.0000,-0.0556
2.358224,1,0x02,0.0000,0.0556
2.358224,2,0x03,0.0000,0.0556
2.358224,3,0x04,0.0000,0.0556
2.359285,0,0x01,0.0000,-0.0556
2.359285,1,0x02,0.0000,0.0556
2.359285,2,0x03,0.0000,0.0556
2.359285,3,0x04,0.0000,0.0556
2.360350,0,0x01,0.0000,-0.0556
2.360350,1,0x02,0.0000,0.0556
2.360350,2,0x03,0.0000,0.1111
2.360350,3,0x04,0.0000,0.0556
2.368208,0,0x01,0.0000,-0.0556
2.368208,1,0x02,0.0000,0.0556
2.368208,2,0x03,0.0000,0.1111
2.368208,3,0x04,0.0000,0.0556
2.369265,0,0x01,0.0000,-0.0556
2.369265,1,0x02,0.0000,0.0556
2.369265,2,0x03,0.0000,0.1111
2.369265,3,0x04,0.0000,0.0556
2.370320,0,0x01,0.0000,-0.0556
