t_s,servo_idx,node_id,cmd_deg,fb_deg
2.088364,0,0x01,0.0000,0.0556
2.088364,1,0x02,0.0000,0.0000
2.088364,2,0x03,0.0000,0.0556
2.088364,3,0x04,0.0000,0.1111
2.090088,0,0x01,0.0000,0.0556
2.090088,1,0x02,0.0000,0.0000
2.090088,2,0x03,0.0000,0.0556
2.090088,3,0x04,0.0000,0.1111
2.095317,0,0x01,0.0000,0.0556
2.095317,1,0x02,0.0000,0.0000
2.095317,2,0x03,0.0000,0.0556
2.095317,3,0x04,0.0000,0.1111
2.096358,0,0x01,0.0000,0.0556
2.096358,1,0x02,0.0000,0.0000
2.096358,2,0x03,0.0000,0.0556
2.096358,3,0x04,0.0000,0.1111
2.097433,0,0x01,0.0000,0.0556
2.097433,1,0x02,0.0000,0.0000
2.097433,2,0x03,0.0000,0.0556
2.097433,3,0x04,0.0000,0.1111
2.098518,0,0x01,0.0000,0.0556
2.098518,1,0x02,0.0000,0.0000
2.098518,2,0x03,0.0000,0.0556
2.098518,3,0x04,0.0000,0.1111
2.099690,0,0x01,0.0000,0.0556
2.099690,1,0x02,0.0000,0.0000
2.099690,2,0x03,0.0000,0.0556
2.099690,3,0x04,0.0000,0.1111
2.100781,0,0x01,0.0000,0.0556
2.100781,1,0x02,0.0000,0.0000
2.100781,2,0x03,0.0000,0.0556
2.100781,3,0x04,0.0000,0.1111
2.107448,0,0x01,0.0000,0.0556
2.107448,1,0x02,0.0000,0.0000
2.107448,2,0x03,0.0000,0.0556
2.107448,3,0x04,0.0000,0.0556
2.108598,0,0x01,0.0000,0.1111
2.108598,1,0x02,0.0000,0.0000
2.108598,2,0x03,0.0000,0.0556
2.108598,3,0x04,0.0000,0.0556
2.109810,0,0x01,0.0000,0.0556
2.109810,1,0x02,0.0000,0.0000
2.109810,2,0x03,0.0000,0.0556
2.109810,3,0x04,0.0000,0.0556
2.116365,0,0x01,0.0000,0.0556
2.116365,1,0x02,0.0000,0.0000
2.116365,2,0x03,0.0000,0.0556
2.116365,3,0x04,0.0000,0.0556
2.117631,0,0x01,0.0000,0.0556
2.117631,1,0x02,0.0000,0.0000
2.117631,2,0x03,0.0000,0.0556
2.117631,3,0x04,0.0000,0.0556
2.118812,0,0x01,0.0000,0.0556
2.118812,1,0x02,0.0000,0.0000
2.118812,2,0x03,0.0000,0.0556
2.118812,3,0x04,0.0000,0.0556
2.119937,0,0x01,0.0000,0.0556
2.119937,1,0x02,0.0000,0.0000
2.119937,2,0x03,0.0000,0.0556
2.119937,3,0x04,0.0000,0.0556
2.130315,0,0x01,0.0000,0.0556
2.130315,1,0x02,0.0000,0.0000
2.130315,2,0x03,0.0000,0.0556
2.130315,3,0x04,0.0000,0.0556
2.136324,0,0x01,0.0000,0.0556
2.136324,1,0x02,0.0000,0.0000
2.136324,2,0x03,0.0000,0.0556
2.136324,3,0x04,0.0000,0.0556
2.137425,0,0x01,0.0000,0.0556
2.137425,1,0x02,0.0000,0.0000
2.137425,2,0x03,0.0000,0.0556
2.137425,3,0x04,0.0000,0.0556
2.138516,0,0x01,0.0000,0.0556
2.138516,1,0x02,0.0000,0.0000
2.138516,2,0x03,0.0000,0.0556
2.138516,3,0x04,0.0000,0.0556
2.139603,0,0x01,0.0000,0.0556
2.139603,1,0x02,0.0000,0.0000
2.139603,2,0x03,0.0000,0.0556
2.139603,3,0x04,0.0000,0.0556
2.140683,0,0x01,0.0000,0.0556
2.140683,1,0x02,0.0000,0.0000
2.140683,2,0x03,0.0000,0.0556
2.140683,3,0x04,0.0000,0.0556
2.148302,0,0x01,0.0000,0.0556
2.148302,1,0x02,0.0000,0.0000
2.148302,2,0x03,0.0000,0.0556
2.148302,3,0x04,0.0000,0.0556
2.149365,0,0x01,0.0000,0.0556
2.149365,1,0x02,0.0000,0.0000
2.149365,2,0x03,0.0000,0.0556
2.149365,3,0x04,0.0000,0.0556
2.150452,0,0x01,0.0000,0.0556
2.150452,1,0x02,0.0000,0.0000
2.150452,2,0x03,0.0000,0.0556
2.150452,3,0x04,0.0000,0.0556
2.157279,0,0x01,0.0000,0.0556
2.157279,1,0x02,0.0000,0.0000
2.157279,2,0x03,0.0000,0.0556
2.157279,3,0x04,0.0000,0.0556
2.158363,0,0x01,0.0000,0.0556
2.158363,1,0x02,0.0000,0.0000
2.158363,2,0x03,0.0000,0.0556
2.158363,3,0x04,0.0000,0.0556
2.159447,0,0x01,0.0000,0.0556
2.159447,1,0x02,0.0000,0.0000
2.159447,2,0x03,0.0000,0.0556
2.159447,3,0x04,0.0000,0.0556
2.160527,0,0x01,0.0000,0.0556
2.160527,1,0x02,0.0000,0.0556
2.160527,2,0x03,0.0000,0.0556
2.160527,3,0x04,0.0000,0.0556
2.168310,0,0x01,0.0000,0.0556
2.168310,1,0x02,0.0000,0.0556
2.168310,2,0x03,0.0000,0.0556
2.168310,3,0x04,0.0000,0.0556
2.169431,0,0x01,0.0000,0.0556
