servo_idx,pos_limit_deg,pos_cmd_at_limit,neg_limit_deg,neg_cmd_at_limit,total_travel_deg,midpoint_deg,asymmetry_deg
0,14.168434375,15.0,-54.85524736842105,-55.0,69.02368174342105,-20.34340649671052,-40.68681299342104
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
