edge_idx,cycle_idx,direction,delay_ms,tau_ms,overshoot_pct,settling_ms,final_err_deg,samples
0,0,up,21.1000,66.0180,2.2470,,0.1111,330
1,0,down,73.1680,,1.0988,136.1650,-0.0556,333
2,1,up,31.1870,37.0020,1.1049,133.2070,0.1111,338
3,1,down,70.2160,,1.0988,125.2500,-0.0556,333
4,2,up,91.2520,,1.6578,143.2770,0.1111,332
5,2,down,74.3550,,0.5499,131.2930,-0.0556,344
6,3,up,118.3340,,1.1049,163.3700,0.1111,517
7,3,down,655.4380,,0.5560,655.4380,0.0000,766
9,4,down,979.6900,,1.1110,979.6900,-0.1111,934
12,6,up,838.6250,,1.1110,838.6250,0.1111,364
13,6,down,956.6930,,0.5499,956.6930,-0.0556,17
14,7,up,45.6880,74.0680,1.1049,127.6700,0.1111,542
15,7,down,734.7610,,1.1110,,5.1111,256
