servo_idx,cmd_target_deg,mean_fb_deg,err_deg,drift_deg_per_s,drift_mdeg_per_s,std_deg,n_samples,verdict
0,-10.0,-10.065806040268455,-0.06580604026845549,-0.0003254109777581418,-0.3254109777581418,0.021514955501704323,745,OK
0,-5.0,-4.893581513647642,0.10641848635235807,-0.000185875320393489,-0.185875320393489,0.017085590694589564,806,OK
0,0.0,0.09510265486725665,0.09510265486725665,-0.0001524838343972308,-0.15248383439723082,0.025309221925253755,791,OK
0,5.0,5.11476507713885,0.1147650771388502,-1.7520400890093066e-05,-0.017520400890093067,0.013806260814195767,713,OK
0,10.0,10.073628107344632,0.0736281073446321,-0.0007545726225433112,-0.7545726225433111,0.028108462654365573,708,OK
1,-10.0,-10.108853846153844,-0.10885384615384375,3.0067801020648994e-06,0.0030067801020648996,0.013033152194809125,741,OK
1,-5.0,-4.9450374522293,0.054962547770699643,0.00010256133929073592,0.10256133929073592,0.00592289518547611,785,OK
1,0.0,0.0532578947368421,0.0532578947368421,0.00026812966779886404,0.26812966779886405,0.01378010311785943,760,OK
1,5.0,5.105628611111111,0.10562861111111133,-0.0003088403586056666,-0.3088403586056666,0.01919925063048197,720,OK
1,10.0,9.993627507163325,-0.006372492836675292,0.0003992086650949363,0.3992086650949363,0.017724333874096297,698,OK
2,-10.0,-10.072272068511198,-0.07227206851119838,0.0024115637072244516,2.4115637072244516,0.0256192356371893,759,OK
2,-5.0,-4.940001886792453,0.059998113207546666,-9.51261918244856e-05,-0.0951261918244856,0.015001164823362868,795,OK
2,0.0,0.09874283854166666,0.09874283854166666,-0.0013849536910598224,-1.3849536910598224,0.023450488790784308,768,OK
2,5.0,5.093700870827286,0.09370087082728595,0.0004443881261412584,0.4443881261412584,0.025765976063335527,689,OK
2,10.0,10.078861029411765,0.07886102941176532,-0.0002979643249050187,-0.2979643249050187,0.02740467256632486,680,OK
3,-10.0,-10.14636444121916,-0.14636444121915915,-0.0003183447223516538,-0.3183447223516538,0.026798590372341977,689,OK
3,-5.0,-4.9267798601398605,0.07322013986013953,-0.00015907658439257428,-0.15907658439257427,0.026019890850431614,715,OK
3,0.0,0.05773058321479373,0.05773058321479373,1.1288322691190434e-05,0.011288322691190433,0.01324634188393534,703,OK
3,5.0,5.110446097201768,0.11044609720176801,4.6333529400567104e-05,0.046333529400567106,0.00599307210133311,679,OK
3,10.0,9.778885090361445,-0.22111490963855474,-0.00011781500944336175,-0.11781500944336175,0.0123411500887147,664,OK
