edge_idx,cycle_idx,direction,delay_ms,tau_ms,overshoot_pct,settling_ms,final_err_deg,samples
0,0,up,75.2590,,0.0000,129.2550,-0.0556,57
1,0,down,86.2570,,1.1164,148.2490,0.0000,56
2,1,up,25.3140,47.9980,1.6689,108.2630,0.1111,52
3,1,down,74.3240,,1.1005,115.2730,0.0000,56
4,2,up,54.2870,6.0010,1.1131,105.3480,-0.0556,51
5,2,down,22.2890,53.0180,-0.0000,133.2940,0.0000,53
6,3,up,84.3160,10.0330,1.1122,135.3660,-0.0556,50
7,3,down,76.3040,9.0050,0.5575,125.2920,0.0556,62
8,4,up,64.3150,20.0080,-0.5583,155.3160,-0.1111,51
9,4,down,53.3260,9.9800,0.5604,122.3230,0.0556,54
10,5,up,53.3700,9.9770,-0.5575,104.3840,-0.0556,52
11,5,down,96.3250,,-0.0000,160.3340,0.0556,50
12,6,up,29.3150,44.0390,2.7846,163.3600,0.0556,61
13,6,down,54.3480,59.0920,0.5514,113.4400,0.0000,52
14,7,up,55.3430,58.0230,0.5560,113.3660,-0.0556,55
15,7,down,83.3510,,0.5607,134.3550,0.0000,51
16,8,up,53.3670,51.9970,-0.5575,171.3410,-0.0556,51
17,8,down,95.3740,,1.1185,157.3750,-0.1111,63
18,9,up,75.3950,,3.3094,193.3750,0.1111,57
19,9,down,94.3950,,-0.0000,155.3940,0.0000,51
20,10,up,114.3870,,1.1131,154.3850,-0.0556,51
21,10,down,41.3800,43.0190,0.5591,128.5480,0.0000,56
22,11,up,66.4060,,0.0000,119.3790,-0.0556,50
23,11,down,109.3920,,0.5591,155.4280,0.0000,49
24,12,up,73.4200,3.0000,0.5569,134.4290,0.0000,47
25,12,down,86.6620,,1.1095,130.4110,0.0000,50
26,13,up,55.4370,2.9710,1.1066,106.8750,0.1111,57
27,13,down,48.4110,9.0730,0.5499,146.4380,-0.0556,53
28,14,up,99.4400,,0.5529,150.4380,-0.0556,44
29,14,down,40.4360,45.0180,0.5591,134.4630,0.0556,50
30,15,up,106.4590,,-0.5579,163.4530,-0.1111,49
31,15,down,65.4960,8.9750,1.1214,113.4900,0.0000,51
32,16,up,98.4700,,1.6689,143.4840,0.0556,54
33,16,down,49.4710,26.0100,2.2036,151.4940,-0.0556,57
34,17,up,35.4980,60.9630,1.1076,164.4910,0.1111,50
35,17,down,35.4950,68.0030,1.1012,126.5200,0.0000,58
36,18,up,31.4950,67.9990,2.7802,137.5140,0.1111,55
37,18,down,22.5320,42.0060,-0.0000,126.5010,0.0556,51
38,19,up,75.5230,23.9820,0.5575,149.5200,-0.0556,50
39,19,down,29.5720,55.9550,-0.0000,136.5220,0.0556,55
40,20,up,35.5380,59.9900,0.5575,157.5150,-0.0556,51
41,20,down,68.5290,6.0040,1.1197,120.5120,-0.0556,51
42,21,up,17.6690,44.8830,1.1033,106.6080,0.0556,53
43,21,down,77.5420,7.0030,1.1059,131.5450,0.0000,55
44,22,up,76.5670,61.9960,0.0000,138.5630,0.0000,45
45,22,down,65.5590,46.9980,1.1110,142.5630,-0.0556,46
46,23,up,16.5750,52.0540,0.0000,122.5770,-0.0556,55
47,23,down,65.5870,67.0100,1.1172,142.5800,-0.0556,62
48,24,up,46.7370,47.8810,1.6578,154.5880,0.1111,49
49,24,down,46.5970,56.0050,0.5494,107.6000,0.0000,52
50,25,up,20.5960,45.9990,0.5566,111.5840,-0.0556,54
51,25,down,93.5990,10.0010,1.1199,148.5790,0.0000,54
52,26,up,59.6020,,2.7780,142.6320,0.0556,58
53,26,down,24.6120,71.0110,1.1028,115.6150,0.0000,57
54,27,up,39.6200,36.1090,-0.5565,138.6430,-0.0556,55
55,27,down,63.6350,4.7860,1.1183,111.6360,0.0556,51
56,28,up,65.6430,,0.0000,122.6480,-0.0556,54
57,28,down,54.6410,66.0100,-0.0000,127.6360,0.0000,49
58,29,up,31.6450,63.0120,0.5568,117.6930,-0.0556,54
59,29,down,82.6710,,0.5591,146.6650,0.0000,48
60,30,up,73.6850,18.9950,1.6670,134.6640,0.0556,50
61,30,down,21.7170,52.9790,1.1028,122.7000,-0.1111,53
62,31,up,23.6730,62.2860,2.7535,151.6630,0.0556,56
63,31,down,83.7270,,1.1022,134.7290,0.0556,45
64,32,up,35.7000,45.9800,-0.5581,150.7290,-0.0556,57
65,32,down,23.7030,53.3930,-0.0000,124.7220,0.0000,51
66,33,up,54.7160,64.9740,0.5579,119.6900,-0.0556,48
67,33,down,114.7230,,0.5591,162.7210,0.0556,50
68,34,up,29.7140,44.0070,2.7873,187.0420,0.1111,45
69,34,down,65.7850,50.9380,1.1008,133.7420,0.0000,52
70,35,up,42.7320,48.0090,0.0000,148.7310,-0.0556,48
71,35,down,31.7310,43.0490,-0.0000,125.7420,0.0000,52
72,36,up,23.7840,54.4370,1.6693,138.7290,0.1111,46
73,36,down,65.7600,51.0390,0.5499,135.7560,0.0000,48
74,37,up,44.7690,68.0110,0.0000,175.7690,-0.0556,50
75,37,down,34.7870,55.9550,-0.0000,155.7740,0.0000,46
76,38,up,35.7720,68.0320,0.5568,151.7760,0.0000,46
77,38,down,21.7780,45.0360,0.5565,124.7790,0.0000,45
78,39,up,58.8050,7.0020,3.3330,144.7950,0.1111,49
