servo_idx,amp_deg,peak_slew_mean_dps,peak_slew_std_dps,n_edges
0,2.0,50.045797101611754,21.20444011114128,4
0,5.0,120.76323356656113,26.588983717041717,4
0,10.0,250.59910291731805,145.09744270939905,4
0,15.0,261.86031881224073,73.1449315004201,4
0,18.0,378.20392742379016,228.35044378057398,4
1,2.0,59.644633298041775,16.441190884164016,4
1,5.0,108.09689683305764,17.56497452875357,4
1,10.0,456.5750599401916,554.2088267010777,4
1,15.0,245.78095132185555,68.94345809278457,4
1,18.0,389.12791749464,190.27123441124309,4
2,2.0,89.8027990498154,24.2086540878216,4
2,5.0,119.42383024860335,48.955266639771054,4
2,10.0,249.38162355499128,138.09024000473903,4
2,15.0,447.2556862965286,367.962285019691,4
2,18.0,257.8547051465956,67.21993806798429,4
3,2.0,80.38487030038834,65.80444720071284,4
3,5.0,128.80054508730106,78.59092296789204,4
3,10.0,280.1983766566408,187.03928487704445,4
3,15.0,359.9003818234911,277.9911718474601,4
3,18.0,341.26349257635326,208.87060393141763,4
