edge_idx,cycle_idx,direction,delay_ms,tau_ms,overshoot_pct,settling_ms,final_err_deg,samples
0,0,up,52.1150,,3.4049,,0.1111,45
1,0,down,94.0590,,1.0988,138.0690,-0.1111,53
2,1,up,49.0800,45.9980,1.6487,162.0970,0.1111,51
3,1,down,46.0810,49.0030,2.7475,186.0800,-0.1111,57
4,2,up,77.1090,6.0020,2.1976,205.1020,0.1111,45
5,2,down,66.1050,47.9980,2.7475,184.1060,-0.1111,59
6,3,up,77.0850,,1.6502,135.1440,0.1111,48
7,3,down,22.1500,52.9700,1.6487,122.1460,-0.1111,62
8,4,up,25.1150,71.0030,2.1976,143.1240,0.1111,53
9,4,down,58.1100,7.0360,1.0968,112.1480,-0.1111,53
10,5,up,55.1460,3.9650,1.6487,158.1210,0.1111,51
11,5,down,54.1450,53.9850,1.0988,115.1570,-0.1111,61
12,6,up,24.1590,52.9760,1.6502,138.2580,0.1111,45
13,6,down,74.1560,25.1190,1.0988,145.2260,-0.1111,57
14,7,up,62.1850,28.9760,1.6487,156.1700,0.1111,51
15,7,down,52.2070,62.9960,1.0973,115.2030,-0.1111,54
16,8,up,64.2120,79.7400,1.6487,186.1840,0.1111,50
17,8,down,84.1950,5.9760,1.6487,175.1990,-0.1111,52
18,9,up,18.1870,48.0130,1.6487,124.1950,0.1111,56
19,9,down,86.2090,,1.0988,144.2130,-0.1111,58
20,10,up,54.2220,4.0670,1.6498,158.1910,0.1111,45
21,10,down,57.2080,30.0200,1.6469,134.2260,-0.1111,60
22,11,up,64.2400,6.0230,1.6509,154.2250,0.1667,54
23,11,down,78.3240,5.9130,1.6464,139.2350,-0.1111,53
24,12,up,20.2230,54.0350,1.6487,135.2430,0.1111,49
25,12,down,53.2430,51.0410,1.0988,159.2640,-0.1111,59
26,13,up,31.2390,37.0010,1.6487,128.2700,0.1111,52
27,13,down,19.2520,44.0400,1.6433,115.2800,-0.1111,55
28,14,up,64.2710,71.0180,1.6487,185.2750,0.1111,51
29,14,down,95.2800,,1.0988,143.2770,-0.1111,54
30,15,up,54.2930,3.9810,1.6505,115.2920,0.1111,46
31,15,down,57.2940,56.0990,1.0988,123.3960,-0.1111,53
32,16,up,53.3090,16.9760,1.6487,145.3050,0.1111,46
33,16,down,18.2890,56.0160,2.7475,147.2920,-0.1111,57
34,17,up,87.3130,,1.6487,184.3150,0.1111,58
35,17,down,36.3490,37.9670,1.6474,132.3450,-0.1111,57
36,18,up,56.3390,,1.6487,124.3530,0.1111,49
37,18,down,39.3230,44.0240,3.2941,201.3430,-0.1111,58
38,19,up,97.7270,,1.6502,158.3390,0.1111,45
39,19,down,82.3730,,1.0978,139.3450,-0.1111,58
40,20,up,28.3410,47.0330,1.6487,122.4000,0.1111,61
41,20,down,39.3660,58.0390,1.6487,106.4070,-0.1111,52
42,21,up,86.3660,,2.1946,205.3830,0.1111,51
43,21,down,69.4150,68.9530,1.0976,144.3790,-0.1111,51
44,22,up,76.3910,,2.1976,143.4050,0.1111,48
45,22,down,75.3990,7.0020,3.2928,173.3940,-0.1111,55
46,23,up,29.4050,29.9810,2.1976,131.3980,0.1111,49
47,23,down,27.3910,67.0380,1.0988,146.4470,-0.1111,56
48,24,up,20.4310,74.9920,1.6487,149.4140,0.1111,52
49,24,down,52.4460,63.0100,-0.0000,134.4280,0.0556,53
50,25,up,22.4270,45.0170,1.6763,110.4130,0.1111,50
51,25,down,73.4530,,1.0988,125.4390,-0.1111,56
52,26,up,102.4620,,1.6502,159.4260,0.1667,44
53,26,down,65.4550,16.9970,2.7437,163.4550,-0.1111,53
54,27,up,19.4440,47.0370,1.6487,117.4450,0.1111,52
55,27,down,74.4490,5.9920,1.0988,136.4720,-0.1111,54
56,28,up,24.4560,44.0010,1.6487,133.4800,0.1111,51
57,28,down,62.4740,40.0030,1.0988,144.4780,-0.1111,57
58,29,up,63.5100,,1.6487,126.5140,0.1111,50
59,29,down,35.4790,44.0070,1.6487,118.6030,-0.1111,58
60,30,up,69.6170,63.8810,1.6474,188.5300,0.1111,45
61,30,down,54.4990,48.0220,2.7445,153.5010,-0.1111,57
62,31,up,44.5410,49.9870,1.6487,101.5160,0.1111,52
63,31,down,76.5460,,1.0988,123.5300,-0.1111,53
64,32,up,96.5270,,1.6487,206.5380,0.1111,46
65,32,down,35.5460,71.0000,2.7475,157.6460,-0.1111,56
66,33,up,52.5480,71.9960,1.6487,143.5470,0.1111,50
67,33,down,43.5460,62.0140,1.0973,105.5600,-0.0556,55
68,34,up,47.0050,19.5560,1.6498,136.5410,0.1111,45
69,34,down,106.5490,,1.0988,154.5540,-0.1111,49
70,35,up,73.5740,52.0020,1.6487,134.5720,0.1111,45
71,35,down,45.6140,47.9820,3.2964,163.6200,-0.1111,61
72,36,up,95.5990,,2.1976,162.6460,0.1111,54
73,36,down,97.5760,,1.0976,156.5890,-0.1111,48
74,37,up,30.5710,44.0440,1.6487,125.6100,0.1111,47
75,37,down,55.6300,47.9830,2.7475,161.6280,-0.1111,59
76,38,up,48.6000,6.0540,1.6487,115.6050,0.1111,43
77,38,down,32.6470,54.9710,2.1952,160.5990,-0.1111,53
78,39,up,19.6170,43.0350,1.6487,124.6740,0.1111,48
79,39,down,53.6590,57.9830,1.0988,111.6420,-0.1111,52
80,40,up,53.6500,73.3390,1.6487,145.6720,0.1111,44
81,40,down,74.6600,67.9860,3.2919,183.6530,-0.1111,48
82,41,up,45.8520,60.8070,1.6487,148.6490,0.1111,42
83,41,down,55.6960,9.9850,3.8357,149.7360,-0.1111,46
84,42,up,56.6720,47.0240,1.6487,164.7060,0.1111,40
85,42,down,53.6780,50.9990,2.7475,192.6880,-0.1111,52
86,43,up,53.6850,22.0380,1.6487,143.6870,0.1111,40
87,43,down,81.7040,,1.0988,132.6970,-0.1111,45
88,44,up,52.6980,64.0070,1.6487,167.6940,0.1111,49
89,44,down,104.7220,,1.6457,161.7080,-0.1111,44
90,45,up,78.6960,24.0640,1.6487,172.7340,0.1111,47
91,45,down,44.7250,57.0050,1.0978,166.7230,-0.1111,47
92,46,up,107.7700,,1.6487,149.3410,0.1111,41
93,46,down,46.7340,23.0190,2.1976,147.7190,-0.1111,49
94,47,up,94.7610,,1.6487,159.9540,0.1667,49
95,47,down,62.7510,71.9950,1.0973,138.6950,-0.1111,49
96,48,up,76.8030,,1.6487,134.7630,0.1111,47
97,48,down,29.8080,54.9530,1.6487,145.7660,-0.1111,51
98,49,up,45.7760,17.0250,1.6487,158.7670,0.1667,39
99,49,down,47.7780,66.9980,1.0968,,5.0556,76
