cell_id,amp_deg,offset_deg,direction,repeat_idx,delay_ms,tau_ms,overshoot_pct,settling_ms,final_err_deg,samples
0,1.0000,0.0000,up,0,19.2360,12.0090,18.0763,,0.1111,28
1,1.0000,0.0000,up,1,58.2860,2.9810,25.9754,,0.1111,31
2,1.0000,0.0000,up,2,75.2500,,20.7381,,0.1667,31
3,1.0000,0.0000,down,0,73.2490,,37.4958,,-0.0556,32
4,1.0000,0.0000,down,1,17.2630,20.9690,10.1000,,-0.1111,31
5,1.0000,0.0000,down,2,67.2500,,30.6535,,-0.0556,30
6,3.0000,0.0000,up,0,116.2620,,7.6705,538.2340,0.0556,32
7,3.0000,0.0000,up,1,15.3010,25.9850,1.8056,61.2620,0.0556,33
8,3.0000,0.0000,up,2,55.2420,,3.5711,109.2350,0.0556,31
9,3.0000,0.0000,down,0,74.2580,,7.5823,,-0.1667,33
10,3.0000,0.0000,down,1,74.2900,,7.2719,,-0.1667,31
11,3.0000,0.0000,down,2,56.2340,,7.2390,,-0.1667,36
12,5.0000,0.0000,up,0,57.2230,,3.3969,,0.1111,35
13,5.0000,0.0000,up,1,25.2360,72.9900,4.3855,,0.1111,32
14,5.0000,0.0000,up,2,44.2480,55.0000,3.2913,,0.1111,32
15,5.0000,0.0000,down,0,38.2130,44.0500,2.2651,,-0.1111,31
16,5.0000,0.0000,down,1,63.2730,,3.2734,,-0.1111,32
17,5.0000,0.0000,down,2,52.2290,29.0600,6.5567,,-0.1111,32
18,8.0000,0.0000,up,0,95.2330,,1.4027,153.2320,0.1111,29
19,8.0000,0.0000,up,1,37.2190,46.0220,1.3721,134.2250,0.1111,36
20,8.0000,0.0000,up,2,56.2330,37.9960,2.0623,151.2150,0.1111,32
21,8.0000,0.0000,down,0,88.2230,,2.1004,598.2360,-0.1111,35
22,8.0000,0.0000,down,1,33.2200,43.0570,2.0580,,-0.1667,39
23,8.0000,0.0000,down,2,83.2300,,2.0580,588.2180,-0.1111,36
24,10.0000,0.0000,up,0,86.2050,,2.2407,153.2130,0.0556,33
25,10.0000,0.0000,up,1,29.2250,53.0010,2.2097,140.2020,0.0556,35
26,10.0000,0.0000,up,2,23.2670,35.9410,2.2045,128.2000,0.0556,32
27,10.0000,0.0000,down,0,44.2020,52.0140,0.5622,156.2370,0.0000,33
28,10.0000,0.0000,down,1,57.2160,11.9910,1.0988,118.2280,-0.1111,31
29,10.0000,0.0000,down,2,84.2060,,1.0988,146.2090,-0.1111,31
30,1.0000,5.0000,up,0,84.2190,,24.9972,,0.1111,33
31,1.0000,5.0000,up,1,45.1990,,14.2882,,0.1667,28
32,1.0000,5.0000,up,2,74.1870,,28.5678,,0.1111,28
33,1.0000,5.0000,down,0,18.5210,47.6860,13.5125,,-0.0556,30
34,1.0000,5.0000,down,1,6.2010,57.0190,15.0032,,-0.0556,30
35,1.0000,5.0000,down,2,54.1930,42.3570,24.7545,,-0.0556,27
36,3.0000,5.0000,up,0,54.1990,,5.7927,,0.1111,29
37,3.0000,5.0000,up,1,41.1810,47.9980,5.2642,,0.1111,41
38,3.0000,5.0000,up,2,53.2070,37.9790,5.2874,,0.1111,28
39,3.0000,5.0000,down,0,56.1900,,5.8836,,-0.1667,26
40,3.0000,5.0000,down,1,55.1750,,5.3582,,-0.1667,26
41,3.0000,5.0000,down,2,96.1760,,5.3582,,-0.1111,31
42,5.0000,5.0000,up,0,59.1490,,5.6952,154.1670,0.0000,33
43,5.0000,5.0000,up,1,79.1870,2.9840,3.2195,,0.1111,27
44,5.0000,5.0000,up,2,73.1830,,2.1503,,0.1111,32
45,5.0000,5.0000,down,0,70.1710,,4.5973,,-0.1111,29
46,5.0000,5.0000,down,1,68.1510,,2.1690,594.1650,-0.0556,27
47,5.0000,5.0000,down,2,43.1900,31.0010,4.3286,,-0.1111,28
48,8.0000,5.0000,up,0,44.1610,54.1930,-35.2529,,-2.9444,26
49,8.0000,5.0000,up,1,18.2910,107.8750,-35.3261,,-2.8889,22
50,8.0000,5.0000,up,2,46.1530,51.0020,-33.3654,,-2.8889,28
51,8.0000,5.0000,down,0,71.1610,8.9760,2.8366,,-0.1667,26
52,8.0000,5.0000,down,1,94.1600,,2.7332,,-0.1667,25
53,8.0000,5.0000,down,2,38.5370,54.6110,2.7395,,-0.1667,29
54,10.0000,5.0000,up,0,57.1440,,-48.3148,,-4.9444,27
55,10.0000,5.0000,up,1,75.1510,,-47.6273,,-4.9444,27
56,10.0000,5.0000,up,2,65.1450,,-48.0874,,-4.9444,31
57,10.0000,5.0000,down,0,93.1560,,3.3831,178.1320,-0.1111,27
58,10.0000,5.0000,down,1,47.5300,48.6190,1.0988,148.1540,-0.1111,20
59,10.0000,5.0000,down,2,74.1530,,1.0988,136.1480,-0.1111,27
60,1.0000,-5.0000,up,0,85.1390,,19.9982,,0.1111,25
61,1.0000,-5.0000,up,1,21.1290,64.0320,19.9982,,0.1111,28
62,1.0000,-5.0000,up,2,55.1450,37.9870,15.0032,,0.1111,31
63,1.0000,-5.0000,down,0,21.1240,43.0160,24.9972,,-0.1667,27
