t_s,servo_idx,node_id,cmd_deg,fb_deg
2.069008,0,0x01,0.0000,0.0556
2.069008,1,0x02,0.0000,0.0000
2.069008,2,0x03,0.0000,0.0556
2.069008,3,0x04,0.0000,0.1111
2.077830,0,0x01,0.0000,0.0556
2.077830,1,0x02,0.0000,0.0000
2.077830,2,0x03,0.0000,0.0556
2.077830,3,0x04,0.0000,0.1111
2.078924,0,0x01,0.0000,0.0556
2.078924,1,0x02,0.0000,0.0000
2.078924,2,0x03,0.0000,0.0556
2.078924,3,0x04,0.0000,0.1111
2.080010,0,0x01,0.0000,0.0556
2.080010,1,0x02,0.0000,0.0556
2.080010,2,0x03,0.0000,0.0556
2.080010,3,0x04,0.0000,0.0556
2.086896,0,0x01,0.0000,0.0556
2.086896,1,0x02,0.0000,0.0556
2.086896,2,0x03,0.0000,0.0556
2.086896,3,0x04,0.0000,0.0556
2.087956,0,0x01,0.0000,0.0556
2.087956,1,0x02,0.0000,0.0556
2.087956,2,0x03,0.0000,0.0556
2.087956,3,0x04,0.0000,0.0556
2.089031,0,0x01,0.0000,0.0556
2.089031,1,0x02,0.0000,0.0556
2.089031,2,0x03,0.0000,0.0556
2.089031,3,0x04,0.0000,0.0556
2.095904,0,0x01,0.0000,0.0556
2.095904,1,0x02,0.0000,0.0556
2.095904,2,0x03,0.0000,0.0556
2.095904,3,0x04,0.0000,0.0556
2.096957,0,0x01,0.0000,0.0556
2.096957,1,0x02,0.0000,0.0556
2.096957,2,0x03,0.0000,0.0556
2.096957,3,0x04,0.0000,0.0556
2.098037,0,0x01,0.0000,0.0556
2.098037,1,0x02,0.0000,0.0000
2.098037,2,0x03,0.0000,0.0556
2.098037,3,0x04,0.0000,0.0556
2.099136,0,0x01,0.0000,0.0556
2.099136,1,0x02,0.0000,0.0000
2.099136,2,0x03,0.0000,0.1111
2.099136,3,0x04,0.0000,0.0556
2.107893,0,0x01,0.0000,0.0556
2.107893,1,0x02,0.0000,0.0000
2.107893,2,0x03,0.0000,0.1111
2.107893,3,0x04,0.0000,0.0556
2.108950,0,0x01,0.0000,0.0556
2.108950,1,0x02,0.0000,0.0000
2.108950,2,0x03,0.0000,0.1111
2.108950,3,0x04,0.0000,0.0556
2.110013,0,0x01,0.0000,0.0556
2.110013,1,0x02,0.0000,0.0000
2.110013,2,0x03,0.0000,0.1111
2.110013,3,0x04,0.0000,0.0556
