servo_idx,phase,direction,step_idx,cmd_target,fb_post
0,pos_climb,pos,0,5.0,5.057229411764705
0,pos_climb,pos,1,10.0,10.117110810810814
0,pos_climb,pos,2,15.0,14.168087500000002
0,pos_climb,pos,3,20.0,14.1667
0,pos_climb,pos,4,25.0,14.1667
0,pos_climb,pos,5,30.0,14.166699999999999
0,pos_climb,pos,6,35.0,14.1667
0,pos_climb,pos,7,40.0,14.166699999999999
0,pos_climb,pos,8,45.0,14.166699999999999
0,pos_climb,pos,9,50.0,14.1667
0,pos_climb,pos,10,55.0,14.1667
0,pos_climb,pos,11,60.0,14.1667
0,pos_return,pos,0,55.0,14.1667
0,pos_return,pos,1,50.0,14.1667
0,pos_return,pos,2,45.0,14.1667
0,pos_return,pos,3,40.0,14.1667
0,pos_return,pos,4,35.0,14.1667
0,pos_return,pos,5,30.0,14.1667
0,pos_return,pos,6,25.0,14.1667
0,pos_return,pos,7,20.0,14.168285714285714
0,pos_return,pos,8,15.0,14.166699999999999
0,pos_return,pos,9,10.0,9.83504375
0,pos_return,pos,10,5.0,4.879407317073171
0,pos_return,pos,11,0.0,-0.11375000000000002
0,neg_climb,neg,0,-5.0,-5.064233333333333
0,neg_climb,neg,1,-10.0,-10.163843589743589
0,neg_climb,neg,2,-15.0,-15.056987500000002
0,neg_climb,neg,3,-20.0,-19.942902702702703
0,neg_climb,neg,4,-25.0,-24.84793157894737
0,neg_climb,neg,5,-30.0,-29.895668292682924
0,neg_climb,neg,6,-35.0,-34.96880975609756
0,neg_climb,neg,7,-40.0,-39.86821162790697
0,neg_climb,neg,8,-45.0,-44.779341666666674
0,neg_climb,neg,9,-50.0,-49.8385125
0,neg_climb,neg,10,-55.0,-54.83330294117647
0,neg_climb,neg,11,-60.0,-54.83078181818182
0,neg_return,neg,0,-55.0,-54.83161818181818
0,neg_return,neg,1,-50.0,-49.87142571428571
0,neg_return,neg,2,-45.0,-44.85077428571429
0,neg_return,neg,3,-40.0,-40.17621428571429
0,neg_return,neg,4,-35.0,-35.02993846153846
0,neg_return,neg,5,-30.0,-30.1852
0,neg_return,neg,6,-25.0,-25.181590243902438
0,neg_return,neg,7,-20.0,-19.890360526315792
0,neg_return,neg,8,-15.0,-14.997148717948717
0,neg_return,neg,9,-10.0,-9.952745000000002
0,neg_return,neg,10,-5.0,-4.8889000000000005
0,neg_return,neg,11,-0.0,0.10792857142857144
1,pos_climb,pos,0,5.0,5.042121212121213
1,pos_climb,pos,1,10.0,10.064009090909092
1,pos_climb,pos,2,15.0,15.003587096774195
1,pos_climb,pos,3,20.0,20.016474074074072
1,pos_climb,pos,4,25.0,25.098041176470588
1,pos_climb,pos,5,30.0,30.0601
1,pos_climb,pos,6,35.0,35.05559722222222
1,pos_climb,pos,7,40.0,39.7725875
1,pos_climb,pos,8,45.0,44.05559999999999
1,pos_climb,pos,9,50.0,46.74735238095237
1,pos_climb,pos,10,55.0,45.857348648648646
1,pos_climb,pos,11,60.0,42.64494347826086
1,pos_return,pos,0,55.0,42.64816666666666
1,pos_return,pos,1,50.0,46.615407692307684
1,pos_return,pos,2,45.0,44.28116363636364
1,pos_return,pos,3,40.0,40.05391515151514
1,pos_return,pos,4,35.0,35.0054243902439
1,pos_return,pos,5,30.0,29.884134285714286
1,pos_return,pos,6,25.0,24.8871625
1,pos_return,pos,7,20.0,20.05868333333333
1,pos_return,pos,8,15.0,15.0556
1,pos_return,pos,9,10.0,9.957878787878789
1,pos_return,pos,10,5.0,4.9444
1,pos_return,pos,11,0.0,-0.05559444444444445
1,neg_climb,neg,0,-5.0,-5.107227906976744
1,neg_climb,neg,1,-10.0,-10.061442105263161
1,neg_climb,neg,2,-15.0,-15.0
1,neg_climb,neg,3,-20.0,-20.112525641025634
1,neg_climb,neg,4,-25.0,-25.06271282051282
1,neg_climb,neg,5,-30.0,-30.148667567567568
1,neg_climb,neg,6,-35.0,-35.05017560975609
1,neg_climb,neg,7,-40.0,-40.11711081081082
1,neg_climb,neg,8,-45.0,-44.8333
1,neg_climb,neg,9,-50.0,-49.73422162162161
1,neg_climb,neg,10,-55.0,-54.8003
1,neg_climb,neg,11,-60.0,-54.791675
1,neg_return,neg,0,-55.0,-54.79682857142857
1,neg_return,neg,1,-50.0,-49.944400000000016
1,neg_return,neg,2,-45.0,-44.874602857142854
1,neg_return,neg,3,-40.0,-39.88889999999999
1,neg_return,neg,4,-35.0,-34.95969
