servo_idx,pos_limit_deg,pos_cmd_at_limit,neg_limit_deg,neg_cmd_at_limit,total_travel_deg,midpoint_deg,asymmetry_deg
0,14.168332352941176,15.0,-54.853071111111085,-55.0,69.02140346405226,-20.342369379084953,-40.68473875816991
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
