servo_idx,phase,direction,step_idx,cmd_target,fb_post
0,pos_climb,pos,0,5.0,5.042766666666667
0,pos_climb,pos,1,10.0,10.109715
0,pos_climb,pos,2,15.0,14.168434375
0,pos_climb,pos,3,20.0,14.1667
0,pos_climb,pos,4,25.0,14.166699999999999
0,pos_climb,pos,5,30.0,14.1667
0,pos_climb,pos,6,35.0,14.168381818181818
0,pos_climb,pos,7,40.0,14.1667
0,pos_climb,pos,8,45.0,14.1667
0,pos_climb,pos,9,50.0,14.1667
0,pos_climb,pos,10,55.0,14.16928139534884
0,pos_climb,pos,11,60.0,14.1667
0,pos_return,pos,0,55.0,14.168087500000002
0,pos_return,pos,1,50.0,14.1667
0,pos_return,pos,2,45.0,14.1667
0,pos_return,pos,3,40.0,14.168087500000002
0,pos_return,pos,4,35.0,14.166699999999999
0,pos_return,pos,5,30.0,14.166699999999999
0,pos_return,pos,6,25.0,14.166699999999999
0,pos_return,pos,7,20.0,14.166699999999999
0,pos_return,pos,8,15.0,14.166699999999999
0,pos_return,pos,9,10.0,9.836394444444446
0,pos_return,pos,10,5.0,4.855540000000001
0,pos_return,pos,11,0.0,-0.12036666666666668
0,neg_climb,neg,0,-5.0,-5.116524390243902
0,neg_climb,neg,1,-10.0,-10.095242857142859
0,neg_climb,neg,2,-15.0,-15.02471111111111
0,neg_climb,neg,3,-20.0,-19.935861538461538
0,neg_climb,neg,4,-25.0,-24.84686097560976
0,neg_climb,neg,5,-30.0,-29.8889
0,neg_climb,neg,6,-35.0,-34.98455555555555
0,neg_climb,neg,7,-40.0,-39.898375609756094
0,neg_climb,neg,8,-45.0,-44.817234210526316
0,neg_climb,neg,9,-50.0,-49.847861904761906
0,neg_climb,neg,10,-55.0,-54.85524736842105
0,neg_climb,neg,11,-60.0,-54.8472
0,neg_return,neg,0,-55.0,-54.861851351351355
0,neg_return,neg,1,-50.0,-49.87361
0,neg_return,neg,2,-45.0,-44.871792307692296
0,neg_return,neg,3,-40.0,-40.193609090909085
0,neg_return,neg,4,-35.0,-35.051429999999996
0,neg_return,neg,5,-30.0,-30.329939393939398
0,neg_return,neg,6,-25.0,-25.277799999999992
0,neg_return,neg,7,-20.0,-20.24444
0,neg_return,neg,8,-15.0,-15.222200000000004
0,neg_return,neg,9,-10.0,-10.25695
0,neg_return,neg,10,-5.0,-5.220742105263156
0,neg_return,neg,11,-0.0,-0.1681605263157894
1,pos_climb,pos,0,5.0,0.1111
1,pos_climb,pos,1,10.0,0.05751034482758623
1,pos_climb,pos,2,15.0,0.04765714285714286
1,pos_climb,pos,3,20.0,0.050040000000000015
1,pos_climb,pos,4,25.0,0.04324444444444445
1,pos_climb,pos,5,30.0,0.044152941176470596
1,pos_climb,pos,6,35.0,0.03521333333333334
1,pos_climb,pos,7,40.0,0.0434375
1,pos_climb,pos,8,45.0,0.04015555555555556
1,pos_climb,pos,9,50.0,0.0399625
1,pos_climb,pos,10,55.0,0.038611111111111124
1,pos_climb,pos,11,60.0,0.049184615384615396
1,pos_return,pos,0,55.0,0.048086486486486495
1,pos_return,pos,1,50.0,0.04170000000000001
1,pos_return,pos,2,45.0,0.04886060606060606
1,pos_return,pos,3,40.0,0.04125161290322583
1,pos_return,pos,4,35.0,0.04170000000000001
1,pos_return,pos,5,30.0,0.03521333333333333
1,pos_return,pos,6,25.0,0.0330125
1,pos_return,pos,7,20.0,0.037066666666666664
1,pos_return,pos,8,15.0,0.03892000000000002
1,pos_return,pos,9,10.0,0.05242285714285714
1,pos_return,pos,10,5.0,0.04351304347826088
1,pos_return,pos,11,0.0,0.03032727272727273
1,neg_climb,neg,0,-5.0,0.02641
1,neg_climb,neg,1,-10.0,0.038919999999999996
1,neg_climb,neg,2,-15.0,0.04717575757575757
1,neg_climb,neg,3,-20.0,0.03761176470588235
1,neg_climb,neg,4,-25.0,0.029435294117647056
1,neg_climb,neg,5,-30.0,0.0260625
1,neg_climb,neg,6,-35.0,0.0278
1,neg_climb,neg,7,-40.0,0.0327897435897436
1,neg_climb,neg,8,-45.0,0.030675862068965516
1,neg_climb,neg,9,-50.0,0.02048421052631579
1,neg_climb,neg,10,-55.0,0.0295375
1,neg_climb,neg,11,-60.0,0.0225875
1,neg_return,neg,0,-55.0,0.03766451612903227
1,neg_return,neg,1,-50.0,0.024325
1,neg_return,neg,2,-45.0,0.03421538461538463
1,neg_return,neg,3,-40.0,0.040882352941176474
1,neg_return,neg,4,-35.0,0.03142608695652174
1,neg_return,neg,5,-30.0,0.03706666666666668
1,neg_return,neg,6,-25.0,0.039125925925925925
1,neg_return,neg,7,-20.0,0.033359999999999994
1,neg_return,neg,8,-15.0,0.045175
1,neg_return,neg,9,-10.0,0.03407741935483871
1,neg_return,neg,10,-5.0,0.02085
1,neg_return,neg,11,-0.0,0.031070588235294117
2,pos_climb,pos,0,5.0,-0.16669999999999996
2,pos_climb,pos,1,10.0,-0.16669999999999993
2,pos_climb,pos,2,15.0,-0.16669999999999993
2,pos_climb,pos,3,20.0,-0.16669999999999993
2,pos_climb,pos,4,25.0,-0.16669999999999996
2,pos_climb,pos,5,30.0,-0.16669999999999996
2,pos_climb,pos,6,35.0,-0.16669999999999993
2,pos_climb,pos,7,40.0,-0.1667
2,pos_climb,pos,8,45.0,-0.16669999999999993
2,pos_climb,pos,9,50.0,-0.16669999999999996
2,pos_climb,pos,10,55.0,-0.16669999999999993
2,pos_climb,pos,11,60.0,-0.1666999999999999
2,pos_return,pos,0,55.0,-0.16669999999999996
2,pos_return,pos,1,50.0,-0.16669999999999993
2,pos_return,pos,2,45.0,-0.16669999999999993
2,pos_return,pos,3,40.0,-0.16669999999999996
2,pos_return,pos,4,35.0,-0.16669999999999996
2,pos_return,pos,5,30.0,-0.1667
2,pos_return,pos,6,25.0,-0.16669999999999993
2,pos_return,pos,7,20.0,-0.16669999999999993
2,pos_return,pos,8,15.0,-0.1666999999999999
2,pos_return,pos,9,10.0,-0.16669999999999993
2,pos_return,pos,10,5.0,-0.16669999999999993
2,pos_return,pos,11,0.0,-0.16669999999999996
2,neg_climb,neg,0,-5.0,-0.16669999999999993
2,neg_climb,neg,1,-10.0,-0.1667
2,neg_climb,neg,2,-15.0,-0.16669999999999996
2,neg_climb,neg,3,-20.0,-0.16669999999999993
2,neg_climb,neg,4,-25.0,-0.16669999999999996
2,neg_climb,neg,5,-30.0,-0.1667
2,neg_climb,neg,6,-35.0,-0.161490625
2,neg_climb,neg,7,-40.0,-0.16669999999999993
2,neg_climb,neg,8,-45.0,-0.16669999999999996
2,neg_climb,neg,9,-50.0,-0.16669999999999993
2,neg_climb,neg,10,-55.0,-0.16669999999999993
2,neg_climb,neg,11,-60.0,-0.16669999999999993
2,neg_return,neg,0,-55.0,-0.16669999999999996
2,neg_return,neg,1,-50.0,-0.16669999999999993
2,neg_return,neg,2,-45.0,-0.1667
2,neg_return,neg,3,-40.0,-0.16669999999999996
2,neg_return,neg,4,-35.0,-0.16669999999999996
2,neg_return,neg,5,-30.0,-0.16669999999999996
2,neg_return,neg,6,-25.0,-0.1666999999999999
2,neg_return,neg,7,-20.0,-0.16669999999999996
2,neg_return,neg,8,-15.0,-0.16669999999999996
2,neg_return,neg,9,-10.0,-0.16669999999999996
2,neg_return,neg,10,-5.0,-0.16669999999999993
2,neg_return,neg,11,-0.0,-0.16669999999999996
3,pos_climb,pos,0,5.0,0.0525945945945946
3,pos_climb,pos,1,10.0,0.0430451612903226
3,pos_climb,pos,2,15.0,0.02859428571428571
3,pos_climb,pos,3,20.0,0.026336842105263155
3,pos_climb,pos,4,25.0,0.026841379310344828
3,pos_climb,pos,5,30.0,0.03772857142857144
3,pos_climb,pos,6,35.0,0.024463999999999996
3,pos_climb,pos,7,40.0,0.0330125
3,pos_climb,pos,8,45.0,0.038751515151515155
3,pos_climb,pos,9,50.0,0.022240000000000003
3,pos_climb,pos,10,55.0,0.029263157894736845
3,pos_climb,pos,11,60.0,0.018533333333333336
3,pos_return,pos,0,55.0,0.03407741935483871
3,pos_return,pos,1,50.0,0.027800000000000002
3,pos_return,pos,2,45.0,0.0278
3,pos_return,pos,3,40.0,0.03587096774193549
3,pos_return,pos,4,35.0,0.03761176470588235
3,pos_return,pos,5,30.0,0.026903225806451613
3,pos_return,pos,6,25.0,0.02690322580645161
3,pos_return,pos,7,20.0,0.02152258064516129
3,pos_return,pos,8,15.0,0.028696774193548387
3,pos_return,pos,9,10.0,0.026841379310344828
3,pos_return,pos,10,5.0,0.026903225806451613
3,pos_return,pos,11,0.0,0.02510967741935484
3,neg_climb,neg,0,-5.0,0.015163636363636362
3,neg_climb,neg,1,-10.0,0.03494857142857144
3,neg_climb,neg,2,-15.0,0.037066666666666664
3,neg_climb,neg,3,-20.0,0.03991794871794873
3,neg_climb,neg,4,-25.0,0.015163636363636362
3,neg_climb,neg,5,-30.0,0.008176470588235295
3,neg_climb,neg,6,-35.0,0.015885714285714284
3,neg_climb,neg,7,-40.0,0.009016216216216216
3,neg_climb,neg,8,-45.0,0.024235897435897436
3,neg_climb,neg,9,-50.0,0.01010909090909091
3,neg_climb,neg,10,-55.0,0.008424242424242423
3,neg_climb,neg,11,-60.0,0.003475
3,neg_return,neg,0,-55.0,0.004276923076923077
3,neg_return,neg,1,-50.0,0.0278
3,neg_return,neg,2,-45.0,0.02616470588235294
3,neg_return,neg,3,-40.0,0.039714285714285716
3,neg_return,neg,4,-35.0,0.02864242424242424
3,neg_return,neg,5,-30.0,0.05132307692307693
3,neg_return,neg,6,-25.0,0.05727575757575758
3,neg_return,neg,7,-20.0,0.059068749999999996
3,neg_return,neg,8,-15.0,0.055600000000000024
3,neg_return,neg,9,-10.0,0.053862499999999994
3,neg_return,neg,10,-5.0,0.045671428571428585
3,neg_return,neg,11,-0.0,0.0523264705882353
