servo_idx,slope,intercept_deg,r2,max_dev_deg,n_points,verdict
0,1.0007677658132195,-0.009608693817502014,0.9998841040487754,0.1675439643146941,74,OK
1,1.0012266709686561,-0.03553813890471544,0.9999599393688894,0.1420096492253613,74,OK
2,1.0004835096318838,-0.005352111995267422,0.9999198257669667,0.16956755174675564,74,OK
3,0.9996321387402874,-0.021483109483216287,0.9998844870078446,0.20014541665994479,74,OK
