servo_idx,amp_deg,peak_slew_mean_dps,peak_slew_std_dps,n_edges
0,2.0,5.895320788514829,8.33724261365772,2
0,5.0,16.340381144520602,15.514707170848698,3
0,10.0,9.271368379236566,10.39849219949665,4
0,15.0,3.1303680432009453,6.260736086401891,4
0,18.0,9.323055797805605,10.765382764949155,4
1,2.0,12.329644365606342,17.436750281077504,2
1,5.0,49.28534218347689,79.45860078091273,3
1,10.0,5.846566882641939,6.827279689360766,4
1,15.0,6.922982159940763,6.201172740340214,4
1,18.0,12.71225612837645,8.57507029269637,4
2,2.0,4.15554490586527,5.876827964925091,2
2,5.0,51.33530891870989,68.35019585218515,3
2,10.0,0.0,0.0,4
2,15.0,9.26678034141625,7.112860123677577,4
2,18.0,11.570641530517705,7.810227520598953,4
3,2.0,14.785907463240207,10.72871762429111,2
3,5.0,13.13810782643818,18.989739027224925,3
3,10.0,11.617309238582752,8.486857249353449,4
3,15.0,5.08396992579773,5.913552349478548,4
3,18.0,11.37350416886538,8.607569884787367,4
