t_s,servo_idx,node_id,cmd_deg,fb_deg
2.337907,2,0x03,0.0000,0.0556
2.337907,3,0x04,0.0000,0.0000
2.339010,0,0x01,0.0000,-0.1111
2.339010,1,0x02,0.0000,0.0556
2.339010,2,0x03,0.0000,0.0556
2.339010,3,0x04,0.0000,0.0000
2.346734,0,0x01,0.0000,-0.1111
2.346734,1,0x02,0.0000,0.0556
2.346734,2,0x03,0.0000,0.0556
2.346734,3,0x04,0.0000,0.0000
2.347804,0,0x01,0.0000,-0.1111
2.347804,1,0x02,0.0000,0.0556
2.347804,2,0x03,0.0000,0.0556
2.347804,3,0x04,0.0000,0.0000
2.348886,0,0x01,0.0000,-0.1111
2.348886,1,0x02,0.0000,0.0556
2.348886,2,0x03,0.0000,0.0556
2.348886,3,0x04,0.0000,0.0000
2.355714,0,0x01,0.0000,-0.1111
2.355714,1,0x02,0.0000,0.0556
2.355714,2,0x03,0.0000,0.0556
2.355714,3,0x04,0.0000,0.0000
2.356785,0,0x01,0.0000,-0.1111
2.356785,1,0x02,0.0000,0.0556
2.356785,2,0x03,0.0000,0.0556
2.356785,3,0x04,0.0000,0.0000
2.357850,0,0x01,0.0000,-0.1111
2.357850,1,0x02,0.0000,0.0556
2.357850,2,0x03,0.0000,0.0556
2.357850,3,0x04,0.0000,0.0000
2.358919,0,0x01,0.0000,-0.1111
2.358919,1,0x02,0.0000,0.0556
2.358919,2,0x03,0.0000,0.0556
2.358919,3,0x04,0.0000,0.0000
2.364706,0,0x01,0.0000,-0.1111
2.364706,1,0x02,0.0000,0.0556
2.364706,2,0x03,0.0000,0.0556
2.364706,3,0x04,0.0000,0.0000
2.365770,0,0x01,0.0000,-0.1111
2.365770,1,0x02,0.0000,0.0556
2.365770,2,0x03,0.0000,0.0556
2.365770,3,0x04,0.0000,0.0000
2.366841,0,0x01,0.0000,-0.1111
2.366841,1,0x02,0.0000,0.0556
2.366841,2,0x03,0.0000,0.0556
2.366841,3,0x04,0.0000,0.0000
2.367917,0,0x01,0.0000,-0.1111
2.367917,1,0x02,0.0000,0.0556
2.367917,2,0x03,0.0000,0.0556
2.367917,3,0x04,0.0000,0.0000
2.368997,0,0x01,0.0000,-0.1111
2.368997,1,0x02,0.0000,0.0556
2.368997,2,0x03,0.0000,0.0556
2.368997,3,0x04,0.0000,0.0000
2.376714,0,0x01,0.0000,-0.1111
2.376714,1,0x02,0.0000,0.0556
2.376714,2,0x03,0.0000,0.0556
2.376714,3,0x04,0.0000,0.0000
2.377785,0,0x01,0.0000,-0.1111
2.377785,1,0x02,0.0000,0.0556
2.377785,2,0x03,0.0000,0.0556
2.377785,3,0x04,0.0000,0.0000
2.378847,0,0x01,0.0000,-0.0556
2.378847,1,0x02,0.0000,0.0556
2.378847,2,0x03,0.0000,0.0556
2.378847,3,0x04,0.0000,0.0000
2.385770,0,0x01,0.0000,-0.0556
2.385770,1,0x02,0.0000,0.0556
2.385770,2,0x03,0.0000,0.0556
2.385770,3,0x04,0.0000,0.0000
2.386863,0,0x01,0.0000,-0.0556
2.386863,1,0x02,0.0000,0.0556
2.386863,2,0x03,0.0000,0.0556
2.386863,3,0x04,0.0000,0.0000
2.387959,0,0x01,0.0000,-0.0556
2.387959,1,0x02,0.0000,0.0556
2.387959,2,0x03,0.0000,0.0556
2.387959,3,0x04,0.0000,0.0000
2.389037,0,0x01,0.0000,-0.0556
2.389037,1,0x02,0.0000,0.0556
2.389037,2,0x03,0.0000,0.1111
2.389037,3,0x04,0.0000,0.0000
2.398800,0,0x01,0.0000,-0.0556
2.398800,1,0x02,0.0000,0.0556
2.398800,2,0x03,0.0000,0.1111
2.398800,3,0x04,0.0000,0.0000
2.404718,0,0x01,0.0000,-0.0556
2.404718,1,0x02,0.0000,0.0556
2.404718,2,0x03,0.0000,0.1111
2.404718,3,0x04,0.0000,0.0000
2.405782,0,0x01,0.0000,-0.0556
2.405782,1,0x02,0.0000,0.0556
2.405782,2,0x03,0.0000,0.1111
2.405782,3,0x04,0.0000,0.0000
2.406877,0,0x01,0.0000,-0.0556
2.406877,1,0x02,0.0000,0.0556
2.406877,2,0x03,0.0000,0.1111
2.406877,3,0x04,0.0000,0.0000
2.407952,0,0x01,0.0000,-0.0556
2.407952,1,0x02,0.0000,0.0556
2.407952,2,0x03,0.0000,0.1111
2.407952,3,0x04,0.0000,0.0000
2.409014,0,0x01,0.0000,-0.0556
2.409014,1,0x02,0.0000,0.0556
2.409014,2,0x03,0.0000,0.1111
2.409014,3,0x04,0.0000,0.0000
2.416728,0,0x01,0.0000,-0.0556
2.416728,1,0x02,0.0000,0.0556
2.416728,2,0x03,0.0000,0.1111
2.416728,3,0x04,0.0000,0.0000
2.417806,0,0x01,0.0000,-0.0556
2.417806,1,0x02,0.0000,0.0556
2.417806,2,0x03,0.0000,0.1111
2.417806,3,0x04,0.0000,0.0000
2.418884,0,0x01,0.0000,-0.0556
2.418884,1,0x02,0.0000,0.0556
2.418884,2,0x03,0.0000,0.1111
2.418884,3,0x04,0.0000,0.0000
2.425727,0,0x01,0.0000,-0.0556
2.425727,1,0x02,0.0000,0.0556
2.425727,2,0x03,0.0000,0.1111
2.425727,3,0x04,0.0000,0.0000
2.426814,0,0x01,0.0000,-0.0556
2.426814,1,0x02,0.0000,0.0556
2.426814,2,0x03,0.0000,0.1111
2.426814,3,0x04,0.0000,0.0000
2.427886,0,0x01,0.0000,-0.0556
2.427886,1,0x02,0.0000,0.0556
2.427886,2,0x03,0.0000,0.1111
2.427886,3,0x04,0.0000,0.0000
2.428958,0,0x01,0.0000,-0.0556
2.428958,1,0x02,0.0000,0.0556
2.428958,2,0x03,0.0000,0.1111
2.428958,3,0x04,0.0000,0.0000
2.434685,0,0x01,0.0000,-0.0556
2.434685,1,0x02,0.0000,0.0556
2.434685,2,0x03,0.0000,0.1111
