edge_idx,cycle_idx,direction,delay_ms,tau_ms,overshoot_pct,settling_ms,final_err_deg,samples
0,0,up,54.6340,,2.2470,,0.1111,50
1,0,down,85.6290,,0.5499,146.6110,-0.0556,42
2,1,up,82.6990,49.9440,1.1089,183.6630,0.1111,45
3,1,down,60.6330,22.0140,0.5499,167.6210,0.0000,53
4,2,up,30.6350,30.0010,1.1100,117.6610,0.1111,47
5,2,down,74.6530,16.9980,0.5499,135.6510,-0.0556,51
6,3,up,64.6900,6.9720,1.6608,131.6580,0.1111,41
7,3,down,87.6760,2.9830,1.0988,144.6700,-0.1111,43
8,4,up,74.6630,,1.6532,134.6940,0.1111,43
9,4,down,88.6710,,1.0988,155.6880,-0.0556,47
10,5,up,58.6680,47.0270,1.1061,194.6820,0.1111,45
11,5,down,65.7200,6.9770,0.5499,119.6630,0.0000,42
12,6,up,87.6790,,1.6633,150.6740,0.1111,42
13,6,down,77.6960,45.0070,0.5499,145.6900,-0.0556,44
14,7,up,84.7190,,1.6624,155.7120,0.1111,46
15,7,down,21.7090,42.0240,1.0988,124.7860,-0.0556,47
16,8,up,35.7430,71.9690,1.6593,155.7260,0.1111,40
17,8,down,72.7340,19.0270,1.0988,133.7410,-0.0556,39
18,9,up,64.7470,,1.6578,112.7380,0.1111,48
19,9,down,33.7460,75.9890,1.0988,157.8360,-0.0556,39
20,10,up,61.7710,8.9720,1.6532,121.7540,0.1111,41
21,10,down,19.7680,77.9720,0.5499,138.7510,-0.0556,53
22,11,up,65.7600,,1.1064,122.8030,0.1111,45
23,11,down,134.7780,,1.0988,137.7810,-0.0556,35
24,12,up,94.8800,5.8900,1.6578,152.7820,0.1111,41
25,12,down,104.7780,,1.0988,164.7870,-0.0556,44
26,13,up,75.8260,23.9630,1.6578,147.0420,0.1111,44
27,13,down,74.8150,,1.0988,124.7940,-0.0556,39
28,14,up,32.8230,51.9930,1.1049,145.8140,0.1111,47
29,14,down,54.8350,66.9960,1.0988,121.8310,-0.1111,43
30,15,up,104.8240,,1.6555,146.8310,0.1111,42
