t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
2.253759,0,0,259
2.253759,0,0,10
2.254212,0,0,13
2.254212,0,0,14
2.254212,0,0,102
2.254351,0,0,8
2.254351,0,0,19
2.254351,0,0,192
2.254351,0,0,7
2.254465,0,0,7
2.254465,0,0,100
2.254465,0,0,9
2.254465,0,0,114
2.254465,0,0,101
2.254552,0,0,239
2.254552,0,0,110
2.254552,0,0,7
2.254552,0,0,154
2.254640,0,0,11
2.254640,0,0,81
2.254640,0,0,204
2.254732,0,0,68
2.254732,0,0,165
2.254732,0,0,13
2.254732,0,0,59
2.254816,0,0,16
2.254816,0,0,7
2.254816,0,0,8
2.254816,0,0,8
2.254905,0,0,7
2.254905,0,0,6
2.254905,0,0,69
2.254905,0,0,9
2.254989,0,0,1086
2.254989,0,0,16
2.254989,0,0,7
2.254989,0,0,691
2.255069,0,0,7
2.255069,0,0,7
2.255069,0,0,11
2.255069,0,0,8
2.255151,0,0,9
2.255151,0,0,8
2.255151,0,0,215
2.255151,0,0,264
2.255240,0,0,41
2.255240,0,0,244
2.255240,0,0,9
2.255240,0,0,59
2.255306,0,0,8
2.257916,0,0,6
2.320607,0,0,128
2.351679,0,0,8
2.396169,0,0,213
2.428485,0,0,1341
2.480489,0,0,7
2.527146,0,0,35
2.595944,0,0,8
2.640890,0,0,25
2.687656,0,0,7
2.727518,0,0,8
2.769030,0,0,231
2.821018,0,0,626
2.854265,0,0,7
2.901868,0,0,10
2.941565,0,0,71
2.981604,0,0,8
3.020822,0,0,8
3.062640,0,0,915
3.101854,0,0,8
3.147727,0,0,276
3.167325,0,0,209
3.228385,0,0,116
3.265886,0,0,662
3.307022,0,0,6
3.362659,0,0,90
3.401729,0,0,7
3.440870,0,0,8
3.487385,0,0,66
3.527490,0,0,125
3.566990,0,0,79
3.607067,0,0,6
3.650122,0,0,7
3.721245,0,0,13
3.767497,0,0,7
3.820439,0,0,7
3.863453,0,0,634
3.902588,0,0,11
3.947092,0,0,660
3.986461,0,0,108
4.028452,0,0,9
4.065946,0,0,9
4.130997,0,0,13
4.179929,0,0,39
4.228630,0,0,225
4.263430,0,0,7
4.329251,0,0,47
4.367585,0,0,193
4.407090,0,0,6
