t_wall_s,t_boot_us,vel_ratio,pos_horiz_ratio,pos_vert_ratio,mag_ratio,hagl_ratio,tas_ratio,pos_horiz_accuracy_m,pos_vert_accuracy_m,flags
2.254351,66916295087,nan,nan,0.0013,nan,nan,nan,1400.58,1.46,0x0025
2.254640,66916796088,nan,nan,0.0014,nan,nan,nan,1372.70,1.46,0x0025
2.254905,66917292059,nan,nan,0.0013,nan,nan,nan,1377.91,1.45,0x0025
2.255151,66917795749,nan,nan,0.0012,nan,nan,nan,1382.99,1.46,0x0025
2.500720,66918293136,nan,nan,0.0011,nan,nan,nan,1388.28,1.46,0x0025
3.000652,66918791401,nan,nan,0.0010,nan,nan,nan,1359.85,1.46,0x0025
3.499884,66919296682,nan,nan,0.0008,nan,nan,nan,1365.04,1.45,0x0025
3.996953,66919792829,nan,nan,0.0006,nan,nan,nan,1369.91,1.45,0x0025
4.500442,66920295240,nan,nan,0.0006,nan,nan,nan,1375.18,1.46,0x0025
4.998965,66920794423,nan,nan,0.0008,nan,nan,nan,1380.29,1.46,0x0025
5.499110,66921295406,nan,nan,0.0011,nan,nan,nan,1385.42,1.44,0x0025
5.999809,66921795992,nan,nan,0.0012,nan,nan,nan,1390.59,1.44,0x0025
6.495433,66922295002,nan,nan,0.0015,nan,nan,nan,1395.62,1.44,0x0025
6.995232,66922793231,nan,nan,0.0018,nan,nan,nan,1400.83,1.44,0x0025
7.500626,66923296428,nan,nan,0.0016,nan,nan,nan,1373.03,1.42,0x0025
7.996571,66923795231,nan,nan,0.0019,nan,nan,nan,1378.08,1.42,0x0025
8.495957,66924293193,nan,nan,0.0017,nan,nan,nan,1383.13,1.42,0x0025
8.999358,66924790688,nan,nan,0.0017,nan,nan,nan,1388.30,1.40,0x0025
9.494794,66925292515,nan,nan,0.0017,nan,nan,nan,1393.30,1.40,0x0025
9.995851,66925795146,nan,nan,0.0015,nan,nan,nan,1365.44,1.40,0x0025
10.499038,66926291625,nan,nan,0.0015,nan,nan,nan,1370.36,1.40,0x0025
11.000188,66926797086,nan,nan,0.0010,nan,nan,nan,1375.46,1.39,0x0025
11.499335,66927296687,nan,nan,0.0007,nan,nan,nan,1380.60,1.39,0x0025
11.994371,66927793351,nan,nan,0.0006,nan,nan,nan,1385.58,1.40,0x0025
12.501164,66928288400,nan,nan,0.0003,nan,nan,nan,1390.38,1.39,0x0025
12.995366,66928796158,nan,nan,0.0004,nan,nan,nan,1395.53,1.39,0x0025
13.494096,66929289906,nan,nan,0.0008,nan,nan,nan,1367.02,1.39,0x0025
13.996645,66929794364,nan,nan,0.0010,nan,nan,nan,1371.90,1.39,0x0025
14.500661,66930295984,nan,nan,0.0013,nan,nan,nan,1376.72,1.40,0x0025
15.000691,66930797450,nan,nan,0.0015,nan,nan,nan,1381.40,1.39,0x0025
15.494022,66931292566,nan,nan,0.0022,nan,nan,nan,1386.19,1.39,0x0025
15.994855,66931793845,nan,nan,0.0024,nan,nan,nan,1390.92,1.40,0x0025
16.497180,66932294301,nan,nan,0.0027,nan,nan,nan,1395.53,1.40,0x0025
16.995848,66932796210,nan,nan,0.0029,nan,nan,nan,1367.10,1.41,0x0025
17.500014,66933295299,nan,nan,0.0032,nan,nan,nan,1371.58,1.40,0x0025
17.994621,66933796314,nan,nan,0.0036,nan,nan,nan,1376.04,1.41,0x0025
18.500373,66934297536,nan,nan,0.0036,nan,nan,nan,1380.64,1.41,0x0025
19.002399,66934796380,nan,nan,0.0041,nan,nan,nan,1385.08,1.40,0x0025
19.501069,66935295438,nan,nan,0.0040,nan,nan,nan,1389.63,1.41,0x0025
19.999367,66935791593,nan,nan,0.0041,nan,nan,nan,1394.01,1.41,0x0025
20.499883,66936295680,nan,nan,0.0047,nan,nan,nan,1365.32,1.42,0x0025
