t_rel_ns,kind,slot,value_deg
276164307,CMD,1,0.0000
276164307,CMD,2,0.0000
276164307,CMD,3,0.0000
283179361,CMD,0,0.0000
283179361,CMD,1,0.0000
283179361,CMD,2,0.0000
283179361,CMD,3,0.0000
287166908,CMD,0,0.0000
287166908,CMD,1,0.0000
287166908,CMD,2,0.0000
287166908,CMD,3,0.0000
292168984,CMD,0,0.0000
292168984,CMD,1,0.0000
292168984,CMD,2,0.0000
292168984,CMD,3,0.0000
297171408,CMD,0,0.0000
297171408,CMD,1,0.0000
297171408,CMD,2,0.0000
297171408,CMD,3,0.0000
302175595,CMD,0,0.0000
302175595,CMD,1,0.0000
302175595,CMD,2,0.0000
302175595,CMD,3,0.0000
308169788,CMD,0,0.0000
308169788,CMD,1,0.0000
308169788,CMD,2,0.0000
308169788,CMD,3,0.0000
314184966,CMD,0,0.0000
314184966,CMD,1,0.0000
314184966,CMD,2,0.0000
314184966,CMD,3,0.0000
320171169,CMD,0,0.0000
320171169,CMD,1,0.0000
320171169,CMD,2,0.0000
320171169,CMD,3,0.0000
326167888,CMD,0,0.0000
326167888,CMD,1,0.0000
326167888,CMD,2,0.0000
326167888,CMD,3,0.0000
332189875,CMD,0,0.0000
332189875,CMD,1,0.0000
332189875,CMD,2,0.0000
332189875,CMD,3,0.0000
337177498,CMD,0,0.0000
337177498,CMD,1,0.0000
337177498,CMD,2,0.0000
337177498,CMD,3,0.0000
341174762,CMD,0,0.0000
341174762,CMD,1,0.0000
341174762,CMD,2,0.0000
341174762,CMD,3,0.0000
345181995,CMD,0,0.0000
345181995,CMD,1,0.0000
345181995,CMD,2,0.0000
345181995,CMD,3,0.0000
349195399,CMD,0,-15.0000
349195399,CMD,1,0.0000
349195399,CMD,2,0.0000
349195399,CMD,3,0.0000
355165584,CMD,0,-15.0000
355165584,CMD,1,0.0000
355165584,CMD,2,0.0000
355165584,CMD,3,0.0000
361197701,CMD,0,-15.0000
361197701,CMD,1,0.0000
361197701,CMD,2,0.0000
361197701,CMD,3,0.0000
367183758,CMD,0,-15.0000
367183758,CMD,1,0.0000
367183758,CMD,2,0.0000
367183758,CMD,3,0.0000
373162399,CMD,0,-15.0000
373162399,CMD,1,0.0000
373162399,CMD,2,0.0000
373162399,CMD,3,0.0000
379168019,CMD,0,-15.0000
379168019,CMD,1,0.0000
379168019,CMD,2,0.0000
379168019,CMD,3,0.0000
385162921,CMD,0,-15.0000
385162921,CMD,1,0.0000
385162921,CMD,2,0.0000
385162921,CMD,3,0.0000
391163429,CMD,0,-15.0000
391163429,CMD,1,0.0000
391163429,CMD,2,0.0000
391163429,CMD,3,0.0000
397401559,CMD,0,-15.0000
397401559,CMD,1,0.0000
397401559,CMD,2,0.0000
397401559,CMD,3,0.0000
403179355,CMD,0,-15.0000
403179355,CMD,1,0.0000
403179355,CMD,2,0.0000
403179355,CMD,3,0.0000
409163550,CMD,0,-15.0000
409163550,CMD,1,0.0000
409163550,CMD,2,0.0000
409163550,CMD,3,0.0000
415178012,CMD,0,-15.0000
415178012,CMD,1,0.0000
415178012,CMD,2,0.0000
415178012,CMD,3,0.0000
421164180,CMD,0,-15.0000
421164180,CMD,1,0.0000
421164180,CMD,2,0.0000
421164180,CMD,3,0.0000
427160419,CMD,0,-15.0000
427160419,CMD,1,0.0000
427160419,CMD,2,0.0000
427160419,CMD,3,0.0000
433172242,CMD,0,-15.0000
433172242,CMD,1,0.0000
433172242,CMD,2,0.0000
433172242,CMD,3,0.0000
439165791,CMD,0,-15.0000
439165791,CMD,1,0.0000
439165791,CMD,2,0.0000
439165791,CMD,3,0.0000
448186028,CMD,0,-15.0000
448186028,CMD,1,0.0000
448186028,CMD,2,0.0000
448186028,CMD,3,0.0000
454173517,CMD,0,-15.0000
454173517,CMD,1,0.0000
454173517,CMD,2,0.0000
454173517,CMD,3,0.0000
460171951,CMD,0,-15.0000
460171951,CMD,1,0.0000
460171951,CMD,2,0.0000
460171951,CMD,3,0.0000
467272960,CMD,0,-15.0000
467272960,CMD,1,0.0000
467272960,CMD,2,0.0000
467272960,CMD,3,0.0000
473167231,CMD,0,-15.0000
473167231,CMD,1,0.0000
473167231,CMD,2,0.0000
473167231,CMD,3,0.0000
479168565,CMD,0,-15.0000
479168565,CMD,1,0.0000
479168565,CMD,2,0.0000
479168565,CMD,3,0.0000
485166756,CMD,0,-15.0000
485166756,CMD,1,0.0000
485166756,CMD,2,0.0000
485166756,CMD,3,0.0000
491173362,CMD,0,-15.0000
491173362,CMD,1,0.0000
491173362,CMD,2,0.0000
491173362,CMD,3,0.0000
497124164,CMD,0,-15.0000
497124164,CMD,1,0.0000
497124164,CMD,2,0.0000
497124164,CMD,3,0.0000
503183883,CMD,0,-15.0000
503183883,CMD,1,0.0000
503183883,CMD,2,0.0000
503183883,CMD,3,0.0000
509166421,CMD,0,-15.0000
509166421,CMD,1,0.0000
509166421,CMD,2,0.0000
509166421,CMD,3,0.0000
515179984,CMD,0,-15.0000
515179984,CMD,1,0.0000
515179984,CMD,2,0.0000
515179984,CMD,3,0.0000
521179726,CMD,0,-15.0000
521179726,CMD,1,0.0000
521179726,CMD,2,0.0000
521179726,CMD,3,0.0000
527168883,CMD,0,-15.0000
527168883,CMD,1,0.0000
527168883,CMD,2,0.0000
527168883,CMD,3,0.0000
533172684,CMD,0,-15.0000
533172684,CMD,1,0.0000
533172684,CMD,2,0.0000
533172684,CMD,3,0.0000
539180734,CMD,0,-15.0000
539180734,CMD,1,0.0000
539180734,CMD,2,0.0000
539180734,CMD,3,0.0000
545177354,CMD,0,-15.0000
545177354,CMD,1,0.0000
545177354,CMD,2,0.0000
545177354,CMD,3,0.0000
551181582,CMD,0,-15.0000
551181582,CMD,1,0.0000
551181582,CMD,2,0.0000
551181582,CMD,3,0.0000
557178069,CMD,0,-15.0000
557178069,CMD,1,0.0000
557178069,CMD,2,0.0000
557178069,CMD,3,0.0000
564280749,CMD,0,-15.0000
564280749,CMD,1,0.0000
564280749,CMD,2,0.0000
564280749,CMD,3,0.0000
571268921,CMD,0,-15.0000
571268921,CMD,1,0.0000
571268921,CMD,2,0.0000
571268921,CMD,3,0.0000
578539611,CMD,0,-15.0000
578539611,CMD,1,0.0000
578539611,CMD,2,0.0000
578539611,CMD,3,0.0000
585190177,CMD,0,-15.0000
585190177,CMD,1,0.0000
585190177,CMD,2,0.0000
585190177,CMD,3,0.0000
591173091,CMD,0,-15.0000
591173091,CMD,1,0.0000
591173091,CMD,2,0.0000
591173091,CMD,3,0.0000
597183511,CMD,0,-15.0000
597183511,CMD,1,0.0000
597183511,CMD,2,0.0000
597183511,CMD,3,0.0000
603175886,CMD,0,-15.0000
603175886,CMD,1,0.0000
603175886,CMD,2,0.0000
603175886,CMD,3,0.0000
609168467,CMD,0,-15.0000
609168467,CMD,1,0.0000
609168467,CMD,2,0.0000
609168467,CMD,3,0.0000
615164790,CMD,0,-15.0000
615164790,CMD,1,0.0000
615164790,CMD,2,0.0000
615164790,CMD,3,0.0000
621163726,CMD,0,-15.0000
621163726,CMD,1,0.0000
621163726,CMD,2,0.0000
621163726,CMD,3,0.0000
626168260,CMD,0,-15.0000
626168260,CMD,1,0.0000
626168260,CMD,2,0.0000
626168260,CMD,3,0.0000
630180319,CMD,0,-15.0000
630180319,CMD,1,0.0000
630180319,CMD,2,0.0000
630180319,CMD,3,0.0000
634169776,CMD,0,-15.0000
634169776,CMD,1,0.0000
634169776,CMD,2,0.0000
634169776,CMD,3,0.0000
639162483,CMD,0,-15.0000
639162483,CMD,1,0.0000
639162483,CMD,2,0.0000
639162483,CMD,3,0.0000
644167392,CMD,0,-15.0000
644167392,CMD,1,0.0000
644167392,CMD,2,0.0000
644167392,CMD,3,0.0000
650180293,CMD,0,-15.0000
650180293,CMD,1,0.0000
650180293,CMD,2,0.0000
650180293,CMD,3,0.0000
656176079,CMD,0,-15.0000
656176079,CMD,1,0.0000
656176079,CMD,2,0.0000
656176079,CMD,3,0.0000
663181373,CMD,0,-15.0000
663181373,CMD,1,0.0000
663181373,CMD,2,0.0000
663181373,CMD,3,0.0000
669178921,CMD,0,-15.0000
669178921,CMD,1,0.0000
669178921,CMD,2,0.0000
669178921,CMD,3,0.0000
675156053,CMD,0,-15.0000
675156053,CMD,1,0.0000
675156053,CMD,2,0.0000
675156053,CMD,3,0.0000
680188289,CMD,0,-15.0000
680188289,CMD,1,0.0000
680188289,CMD,2,0.0000
680188289,CMD,3,0.0000
686181012,CMD,0,-15.0000
686181012,CMD,1,0.0000
686181012,CMD,2,0.0000
686181012,CMD,3,0.0000
692162045,CMD,0,-15.0000
692162045,CMD,1,0.0000
692162045,CMD,2,0.0000
692162045,CMD,3,0.0000
698172440,CMD,0,-15.0000
698172440,CMD,1,0.0000
698172440,CMD,2,0.0000
698172440,CMD,3,0.0000
704186134,CMD,0,-15.0000
704186134,CMD,1,0.0000
704186134,CMD,2,0.0000
704186134,CMD,3,0.0000
710168778,CMD,0,-15.0000
710168778,CMD,1,0.0000
710168778,CMD,2,0.0000
710168778,CMD,3,0.0000
716164459,CMD,0,-15.0000
716164459,CMD,1,0.0000
716164459,CMD,2,0.0000
716164459,CMD,3,0.0000
722184043,CMD,0,-15.0000
722184043,CMD,1,0.0000
722184043,CMD,2,0.0000
722184043,CMD,3,0.0000
727168181,CMD,0,-15.0000
727168181,CMD,1,0.0000
727168181,CMD,2,0.0000
727168181,CMD,3,0.0000
732186238,CMD,0,-15.0000
732186238,CMD,1,0.0000
732186238,CMD,2,0.0000
732186238,CMD,3,0.0000
738168378,CMD,0,-15.0000
738168378,CMD,1,0.0000
738168378,CMD,2,0.0000
738168378,CMD,3,0.0000
744175466,CMD,0,-15.0000
744175466,CMD,1,0.0000
744175466,CMD,2,0.0000
744175466,CMD,3,0.0000
750168020,CMD,0,-15.0000
750168020,CMD,1,0.0000
750168020,CMD,2,0.0000
750168020,CMD,3,0.0000
756163565,CMD,0,-15.0000
756163565,CMD,1,0.0000
756163565,CMD,2,0.0000
756163565,CMD,3,0.0000
765182255,CMD,0,-15.0000
765182255,CMD,1,0.0000
765182255,CMD,2,0.0000
765182255,CMD,3,0.0000
771179754,CMD,0,-15.0000
771179754,CMD,1,0.0000
771179754,CMD,2,0.0000
771179754,CMD,3,0.0000
777159696,CMD,0,-15.0000
777159696,CMD,1,0.0000
777159696,CMD,2,0.0000
777159696,CMD,3,0.0000
783171098,CMD,0,-15.0000
783171098,CMD,1,0.0000
783171098,CMD,2,0.0000
783171098,CMD,3,0.0000
789176802,CMD,0,-15.0000
789176802,CMD,1,0.0000
789176802,CMD,2,0.0000
789176802,CMD,3,0.0000
795186780,CMD,0,-15.0000
795186780,CMD,1,0.0000
795186780,CMD,2,0.0000
795186780,CMD,3,0.0000
801166204,CMD,0,-15.0000
801166204,CMD,1,0.0000
801166204,CMD,2,0.0000
801166204,CMD,3,0.0000
807160438,CMD,0,-15.0000
807160438,CMD,1,0.0000
807160438,CMD,2,0.0000
807160438,CMD,3,0.0000
812169146,CMD,0,-15.0000
812169146,CMD,1,0.0000
812169146,CMD,2,0.0000
812169146,CMD,3,0.0000
818183711,CMD,0,-15.0000
818183711,CMD,1,0.0000
818183711,CMD,2,0.0000
818183711,CMD,3,0.0000
824161833,CMD,0,-15.0000
824161833,CMD,1,0.0000
824161833,CMD,2,0.0000
824161833,CMD,3,0.0000
832172084,CMD,0,-15.0000
832172084,CMD,1,0.0000
832172084,CMD,2,0.0000
832172084,CMD,3,0.0000
838159537,CMD,0,-15.0000
838159537,CMD,1,0.0000
838159537,CMD,2,0.0000
838159537,CMD,3,0.0000
844160636,CMD,0,-15.0000
844160636,CMD,1,0.0000
844160636,CMD,2,0.0000
844160636,CMD,3,0.0000
850181802,CMD,0,-15.0000
850181802,CMD,1,0.0000
850181802,CMD,2,0.0000
850181802,CMD,3,0.0000
856179208,CMD,0,-15.0000
856179208,CMD,1,0.0000
856179208,CMD,2,0.0000
856179208,CMD,3,0.0000
862178274,CMD,0,-15.0000
862178274,CMD,1,0.0000
862178274,CMD,2,0.0000
862178274,CMD,3,0.0000
868172893,CMD,0,-15.0000
868172893,CMD,1,0.0000
868172893,CMD,2,0.0000
868172893,CMD,3,0.0000
874186275,CMD,0,-15.0000
874186275,CMD,1,0.0000
874186275,CMD,2,0.0000
874186275,CMD,3,0.0000
880197316,CMD,0,-15.0000
880197316,CMD,1,0.0000
880197316,CMD,2,0.0000
880197316,CMD,3,0.0000
886191418,CMD,0,-15.0000
886191418,CMD,1,0.0000
886191418,CMD,2,0.0000
886191418,CMD,3,0.0000
892167717,CMD,0,-15.0000
892167717,CMD,1,0.0000
892167717,CMD,2,0.0000
892167717,CMD,3,0.0000
899168585,CMD,0,-15.0000
899168585,CMD,1,0.0000
899168585,CMD,2,0.0000
899168585,CMD,3,0.0000
905169055,CMD,0,-15.0000
905169055,CMD,1,0.0000
905169055,CMD,2,0.0000
905169055,CMD,3,0.0000
910170205,CMD,0,-15.0000
910170205,CMD,1,0.0000
910170205,CMD,2,0.0000
910170205,CMD,3,0.0000
916164227,CMD,0,-15.0000
916164227,CMD,1,0.0000
916164227,CMD,2,0.0000
916164227,CMD,3,0.0000
922167428,CMD,0,-15.0000
922167428,CMD,1,0.0000
922167428,CMD,2,0.0000
922167428,CMD,3,0.0000
928172011,CMD,0,-15.0000
928172011,CMD,1,0.0000
928172011,CMD,2,0.0000
928172011,CMD,3,0.0000
934169703,CMD,0,-15.0000
934169703,CMD,1,0.0000
934169703,CMD,2,0.0000
934169703,CMD,3,0.0000
940181197,CMD,0,-15.0000
940181197,CMD,1,0.0000
940181197,CMD,2,0.0000
940181197,CMD,3,0.0000
