t_wall_s,cpu_silver_max_C,cpu_gold_max_C,gpu_max_C,ddr_max_C,modem_max_C,dcvs_max_C,hal_cpu_C,hal_skin_C,hal_usb_C,hal_pa_C,thermal_status,battery_C,battery_level_pct,battery_voltage_mV,battery_status,throttle_ratio_gold,throttle_ratio_silver,cpu0_cur_khz,cpu0_scmax_khz,cpu0_hwmax_khz,cpu1_cur_khz,cpu1_scmax_khz,cpu1_hwmax_khz,cpu2_cur_khz,cpu2_scmax_khz,cpu2_hwmax_khz,cpu3_cur_khz,cpu3_scmax_khz,cpu3_hwmax_khz,cpu4_cur_khz,cpu4_scmax_khz,cpu4_hwmax_khz,cpu5_cur_khz,cpu5_scmax_khz,cpu5_hwmax_khz,cpu6_cur_khz,cpu6_scmax_khz,cpu6_hwmax_khz,cpu7_cur_khz,cpu7_scmax_khz,cpu7_hwmax_khz
1777821911.567,43.30,45.00,40.00,40.50,40.50,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,825600,1766400,1766400,825600,1766400,1766400,825600,1766400,1766400,825600,1766400,1766400,2803200,2803200,2803200,2803200,2803200,2803200,2803200,2803200,2803200,2803200,2803200,2803200
1777821912.568,43.30,42.30,40.00,40.50,40.90,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200
1777821913.568,43.30,41.70,40.40,40.50,40.90,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200
1777821914.568,43.00,42.00,40.40,40.50,40.90,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,1689600,1766400,1766400,1689600,1766400,1766400,1689600,1766400,1766400,1689600,1766400,1766400,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200
1777821915.568,44.00,42.30,40.40,40.90,41.20,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,1612800,1766400,1766400,1612800,1766400,1766400,1612800,1766400,1766400,1612800,1766400,1766400,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200
1777821916.568,43.30,42.00,40.00,40.50,40.50,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,1689600,1766400,1766400,1689600,1766400,1766400,1689600,1766400,1766400,1689600,1766400,1766400,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200
1777821917.568,43.30,42.00,40.40,40.50,40.50,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200
1777821918.568,43.60,43.00,40.40,40.50,40.50,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200
1777821919.568,43.60,42.00,40.40,40.90,40.50,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200
1777821920.568,43.00,42.00,40.40,40.50,40.90,75.00,37.70,34.00,35.50,37.20,0,34.6,100,4221,5,1.0000,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200,825600,2803200,2803200
