t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
2.254349,0,0,216
2.254349,0,0,10
2.254349,0,0,63
2.254349,0,0,12
2.255398,0,0,15
2.255398,0,0,14
2.255398,0,0,13
2.255398,0,0,14
2.255742,0,0,339
2.255742,0,0,33
2.255742,0,0,127
2.256064,0,0,186
2.256064,0,0,80
2.256064,0,0,92
2.256064,0,0,71
2.256064,0,0,14
2.256350,0,0,120
2.256350,0,0,315
2.256350,0,0,557
2.256350,0,0,71
2.256657,0,0,15
2.256657,0,0,98
2.256657,0,0,13
2.256657,0,0,131
2.256880,0,0,63
2.256880,0,0,153
2.256880,0,0,147
2.256880,0,0,96
2.257070,0,0,60
2.257070,0,0,171
2.257070,0,0,17
2.257070,0,0,15
2.257272,0,0,97
2.257272,0,0,14
2.257272,0,0,100
2.257272,0,0,396
2.257487,0,0,15
2.257487,0,0,13
2.257487,0,0,76
2.257487,0,0,18
2.257487,0,0,78
2.257682,0,0,91
2.257682,0,0,1311
2.257682,0,0,599
2.257905,0,0,99
2.257905,0,0,54
2.257905,0,0,14
2.257905,0,0,71
2.257905,0,0,89
2.258054,0,0,27
2.258054,0,0,20
2.258054,0,0,267
2.258054,0,0,44
2.258221,0,0,400
2.300492,0,0,15
2.338758,0,0,15
2.388313,0,0,164
2.418951,0,0,17
2.456624,0,0,11
2.498919,0,0,117
2.537781,0,0,221
2.577208,0,0,109
2.618887,0,0,200
2.663935,0,0,15
2.699999,0,0,16
2.747726,0,0,15
2.788507,0,0,331
2.837725,0,0,12
2.876844,0,0,331
2.928927,0,0,139
2.968542,0,0,148
3.009006,0,0,111
3.048648,0,0,13
3.090486,0,0,84
3.130107,0,0,13
3.148540,0,0,8
3.196770,0,0,12
3.236617,0,0,125
3.258735,0,0,58
3.318565,0,0,85
3.356027,0,0,63
3.399356,0,0,36
3.440380,0,0,163
3.477198,0,0,18
3.516832,0,0,56
3.537933,0,0,116
3.567627,0,0,43
3.609162,0,0,16
3.648701,0,0,62
3.689042,0,0,14
3.740840,0,0,436
3.777380,0,0,47
3.817701,0,0,13
3.867683,0,0,18
3.910721,0,0,13
3.937983,0,0,57
3.977409,0,0,19
4.009467,0,0,12
4.037674,0,0,80
4.077009,0,0,314
4.128887,0,0,11
4.169115,0,0,51
4.209660,0,0,142
4.249530,0,0,93
4.258801,0,0,60
4.337960,0,0,117
4.388219,0,0,61
4.431310,0,0,230
4.469096,0,0,61
4.517598,0,0,39
4.557056,0,0,15
4.598494,0,0,192
4.649304,0,0,80
4.697387,0,0,60
4.731000,0,0,91
4.768206,0,0,138
4.808064,0,0,12
4.848497,0,0,108
4.888198,0,0,218
4.938310,0,0,97
4.979005,0,0,94
5.019587,0,0,113
5.063261,0,0,47
5.101293,0,0,12
5.138039,0,0,72
5.178675,0,0,10
5.217383,0,0,14
5.247212,0,0,98
5.259336,0,0,437
5.335975,0,0,99
5.377833,0,0,383
5.419755,0,0,11
