t_wall_s,t_boot_us,vel_ratio,pos_horiz_ratio,pos_vert_ratio,mag_ratio,hagl_ratio,tas_ratio,pos_horiz_accuracy_m,pos_vert_accuracy_m,flags
2.255742,67061757713,nan,nan,0.0024,nan,nan,nan,71.04,1.50,0x0025
2.256657,67062257107,nan,nan,0.0025,nan,nan,nan,71.17,1.56,0x0025
2.257272,67062760759,nan,nan,0.0028,nan,nan,nan,71.31,1.62,0x0025
2.257905,67063257375,nan,nan,0.0026,nan,nan,nan,71.50,1.67,0x0025
2.431097,67063757177,nan,nan,0.0024,nan,nan,nan,71.71,1.73,0x0025
2.932604,67064252521,nan,nan,0.0023,nan,nan,nan,71.97,1.75,0x0025
3.438392,67064760443,nan,nan,0.0024,nan,nan,nan,72.28,1.78,0x0025
3.933955,67065243936,nan,nan,0.0027,nan,nan,nan,72.60,1.80,0x0025
4.432654,67065757353,nan,nan,0.0029,nan,nan,nan,72.99,1.83,0x0025
4.931730,67066256937,nan,nan,0.0031,nan,nan,nan,73.43,1.81,0x0025
5.437283,67066759315,nan,nan,0.0029,nan,nan,nan,73.95,1.83,0x0025
5.937562,67067253154,nan,nan,0.0029,nan,nan,nan,74.49,1.83,0x0025
6.431098,67067757498,nan,nan,0.0028,nan,nan,nan,75.13,1.81,0x0025
6.930018,67068256761,nan,nan,0.0029,nan,nan,nan,75.81,1.82,0x0025
7.432439,67068754538,nan,nan,0.0029,nan,nan,nan,76.53,1.82,0x0025
7.930217,67069255181,nan,nan,0.0030,nan,nan,nan,77.35,1.82,0x0025
8.431094,67069756610,nan,nan,0.0034,nan,nan,nan,78.18,1.82,0x0025
8.936068,67070252907,nan,nan,0.0027,nan,nan,nan,79.13,1.79,0x0025
9.438041,67070760613,nan,nan,0.0024,nan,nan,nan,80.18,1.80,0x0025
9.937425,67071255190,nan,nan,0.0026,nan,nan,nan,81.17,1.79,0x0025
10.436769,67071754936,nan,nan,0.0025,nan,nan,nan,82.43,1.78,0x0025
10.936248,67072257175,nan,nan,0.0022,nan,nan,nan,83.66,1.78,0x0025
11.437996,67072759888,nan,nan,0.0021,nan,nan,nan,84.94,1.78,0x0025
11.933167,67073259245,nan,nan,0.0024,nan,nan,nan,86.29,1.79,0x0025
12.438931,67073758275,nan,nan,0.0023,nan,nan,nan,87.83,1.77,0x0025
12.932398,67074255473,nan,nan,0.0021,nan,nan,nan,89.34,1.78,0x0025
13.431160,67074758261,nan,nan,0.0018,nan,nan,nan,90.98,1.79,0x0025
13.937988,67075260230,nan,nan,0.0014,nan,nan,nan,92.63,1.80,0x0025
14.430125,67075754543,nan,nan,0.0012,nan,nan,nan,94.35,1.80,0x0025
14.934431,67076256543,nan,nan,0.0014,nan,nan,nan,96.26,1.78,0x0025
15.431403,67076760995,nan,nan,0.0017,nan,nan,nan,98.19,1.79,0x0025
15.933238,67077260874,nan,nan,0.0024,nan,nan,nan,100.20,1.80,0x0025
16.430732,67077755785,nan,nan,0.0022,nan,nan,nan,102.83,1.78,0x0025
16.931861,67078256761,nan,nan,0.0020,nan,nan,nan,105.41,1.80,0x0025
17.436889,67078756357,nan,nan,0.0020,nan,nan,nan,107.60,1.80,0x0025
17.936241,67079257836,nan,nan,0.0020,nan,nan,nan,110.00,1.77,0x0025
18.436674,67079756161,nan,nan,0.0023,nan,nan,nan,113.03,1.78,0x0025
18.930696,67080252776,nan,nan,0.0026,nan,nan,nan,116.13,1.78,0x0025
