t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
2.253856,0,0,63
2.253856,0,0,280
2.253856,0,0,13
2.254295,0,0,18
2.254295,0,0,12
2.254295,0,0,61
2.254295,0,0,49
2.254397,0,0,78
2.254397,0,0,363
2.254397,0,0,120
2.254397,0,0,11
2.254397,0,0,98
2.254484,0,0,378
2.254484,0,0,12
2.254484,0,0,173
2.254484,0,0,113
2.254562,0,0,106
2.254562,0,0,62
2.254562,0,0,52
2.254562,0,0,86
2.254642,0,0,104
2.254642,0,0,448
2.254642,0,0,18
2.254642,0,0,59
2.254642,0,0,399
2.254742,0,0,11
2.254742,0,0,173
2.254742,0,0,17
2.254742,0,0,63
2.254834,0,0,11
2.254834,0,0,96
2.254834,0,0,99
2.254834,0,0,203
2.254915,0,0,91
2.254915,0,0,205
2.254915,0,0,463
2.254915,0,0,144
2.254915,0,0,13
2.254993,0,0,13
2.254993,0,0,13
2.254993,0,0,61
2.254993,0,0,80
2.255068,0,0,107
2.255068,0,0,127
2.255068,0,0,185
2.255068,0,0,423
2.255068,0,0,11
2.255150,0,0,453
2.255150,0,0,9
2.255150,0,0,16
2.255150,0,0,17
2.255150,0,0,110
2.255225,0,0,82
2.255225,0,0,122
2.255225,0,0,202
2.255225,0,0,16
2.255298,0,0,329
2.255298,0,0,88
2.256477,0,0,17
2.312809,0,0,127
2.332216,0,0,12
2.376615,0,0,90
2.406394,0,0,17
2.432048,0,0,106
2.477202,0,0,12
2.512329,0,0,116
2.547075,0,0,178
2.588039,0,0,64
2.632233,0,0,134
2.672394,0,0,16
2.712230,0,0,11
2.754782,0,0,13
2.792095,0,0,21
2.845365,0,0,13
2.888550,0,0,103
2.924925,0,0,101
2.964459,0,0,974
3.005578,0,0,59
3.044468,0,0,110
3.092240,0,0,17
3.132409,0,0,120
3.172069,0,0,295
3.192463,0,0,202
3.232666,0,0,59
3.265885,0,0,20
3.265885,0,0,14
3.332213,0,0,215
3.371686,0,0,62
3.412259,0,0,114
3.455856,0,0,119
3.492585,0,0,93
3.546542,0,0,988
3.577697,0,0,141
3.623053,0,0,12
3.651994,0,0,12
3.691097,0,0,15
3.731703,0,0,101
3.772158,0,0,102
3.792679,0,0,18
3.831314,0,0,291
3.877635,0,0,14
3.911831,0,0,111
3.965193,0,0,13
3.992276,0,0,261
4.027028,0,0,86
4.077029,0,0,342
4.112475,0,0,139
4.158835,0,0,136
4.192672,0,0,89
4.231328,0,0,279
4.271076,0,0,59
4.322481,0,0,468
4.376096,0,0,98
4.413072,0,0,113
4.446102,0,0,78
4.477308,0,0,17
4.526470,0,0,18
4.566254,0,0,1079
4.612277,0,0,20
4.656631,0,0,92
4.692270,0,0,258
4.711119,0,0,86
4.756282,0,0,82
4.792911,0,0,234
4.831695,0,0,69
4.876550,0,0,267
4.922209,0,0,61
4.955046,0,0,12
5.006986,0,0,158
5.031644,0,0,8
5.066489,0,0,81
5.093157,0,0,99
5.131872,0,0,472
5.157009,0,0,93
5.188813,0,0,59
5.227948,0,0,286
5.257128,0,0,138
5.272180,0,0,20
5.332061,0,0,15
5.386047,0,0,102
5.425830,0,0,127
5.456537,0,0,12
5.508042,0,0,306
5.547270,0,0,93
5.592767,0,0,154
5.632613,0,0,166
5.685063,0,0,155
5.728506,0,0,12
5.776796,0,0,20
5.811630,0,0,108
5.867001,0,0,124
5.911872,0,0,14
5.952235,0,0,100
5.992933,0,0,58
6.031566,0,0,62
6.075856,0,0,97
6.113575,0,0,119
6.157263,0,0,95
6.192110,0,0,6
6.246130,0,0,20
6.276464,0,0,129
6.276464,0,0,15
6.353049,0,0,110
6.392159,0,0,97
6.431104,0,0,234
6.472868,0,0,111
6.511866,0,0,14
6.555369,0,0,18
6.592530,0,0,112
6.627013,0,0,102
6.655781,0,0,426
6.691082,0,0,98
6.722473,0,0,11
6.765319,0,0,96
6.805579,0,0,138
6.844700,0,0,14
6.889440,0,0,59
6.929243,0,0,64
6.976637,0,0,354
7.022546,0,0,349
7.058829,0,0,12
7.091795,0,0,91
7.136608,0,0,295
7.177550,0,0,58
7.222274,0,0,12
7.256690,0,0,112
7.285571,0,0,84
7.346019,0,0,20
7.386897,0,0,14
7.411929,0,0,94
7.455069,0,0,109
7.491176,0,0,65
7.533608,0,0,103
7.573556,0,0,238
7.605742,0,0,397
7.653115,0,0,200
7.693164,0,0,234
7.732758,0,0,16
7.776966,0,0,19
7.812722,0,0,17
7.858557,0,0,98
7.891828,0,0,12
7.946545,0,0,62
7.975857,0,0,14
8.016609,0,0,56
8.057816,0,0,115
8.097806,0,0,61
8.146278,0,0,127
8.189111,0,0,124
8.226937,0,0,162
8.254916,0,0,14
