t_wall_s,t_boot_us,vel_ratio,pos_horiz_ratio,pos_vert_ratio,mag_ratio,hagl_ratio,tas_ratio,pos_horiz_accuracy_m,pos_vert_accuracy_m,flags
2.254397,66642293724,nan,nan,0.0040,nan,nan,nan,278.16,1.50,0x0025
2.254642,66642795157,nan,nan,0.0046,nan,nan,nan,281.79,1.51,0x0025
2.254915,66643295927,nan,nan,0.0051,nan,nan,nan,285.21,1.49,0x0025
2.255150,66643795403,nan,nan,0.0050,nan,nan,nan,288.91,1.50,0x0025
2.423763,66644296031,nan,nan,0.0049,nan,nan,nan,292.38,1.50,0x0025
2.923008,66644789820,nan,nan,0.0048,nan,nan,nan,295.86,1.50,0x0025
3.425662,66645295967,nan,nan,0.0047,nan,nan,nan,299.70,1.50,0x0025
3.923444,66645792921,nan,nan,0.0046,nan,nan,nan,303.33,1.50,0x0025
4.421845,66646289148,nan,nan,0.0044,nan,nan,nan,306.89,1.50,0x0025
4.924203,66646795963,nan,nan,0.0042,nan,nan,nan,310.62,1.51,0x0025
5.421650,66647297712,nan,nan,0.0036,nan,nan,nan,314.38,1.50,0x0025
5.923208,66647795060,nan,nan,0.0037,nan,nan,nan,318.02,1.50,0x0025
6.422094,66648296806,nan,nan,0.0035,nan,nan,nan,321.75,1.50,0x0025
6.926288,66648796948,nan,nan,0.0034,nan,nan,nan,325.56,1.51,0x0025
7.423736,66649297134,nan,nan,0.0037,nan,nan,nan,329.22,1.51,0x0025
7.922844,66649795370,nan,nan,0.0037,nan,nan,nan,333.09,1.50,0x0025
8.423946,66650296346,nan,nan,0.0036,nan,nan,nan,336.99,1.50,0x0025
8.921800,66650796546,nan,nan,0.0037,nan,nan,nan,340.85,1.51,0x0025
9.421983,66651296301,nan,nan,0.0037,nan,nan,nan,344.80,1.50,0x0025
9.921995,66651798436,nan,nan,0.0034,nan,nan,nan,348.39,1.50,0x0025
10.423056,66652292290,nan,nan,0.0034,nan,nan,nan,352.55,1.49,0x0025
10.924785,66652796517,nan,nan,0.0033,nan,nan,nan,356.51,1.50,0x0025
11.423722,66653295330,nan,nan,0.0034,nan,nan,nan,360.38,1.50,0x0025
11.923881,66653796342,nan,nan,0.0033,nan,nan,nan,364.32,1.50,0x0025
12.422757,66654294681,nan,nan,0.0038,nan,nan,nan,368.33,1.49,0x0025
12.923503,66654796004,nan,nan,0.0043,nan,nan,nan,372.33,1.50,0x0025
13.423562,66655294670,nan,nan,0.0046,nan,nan,nan,376.53,1.50,0x0025
13.923870,66655795278,nan,nan,0.0045,nan,nan,nan,380.55,1.51,0x0025
14.423096,66656295283,nan,nan,0.0047,nan,nan,nan,384.64,1.49,0x0025
14.925194,66656798002,nan,nan,0.0050,nan,nan,nan,388.93,1.50,0x0025
15.424957,66657295751,nan,nan,0.0054,nan,nan,nan,393.01,1.51,0x0025
15.922069,66657796731,nan,nan,0.0056,nan,nan,nan,397.21,1.49,0x0025
16.423300,66658298211,nan,nan,0.0059,nan,nan,nan,401.35,1.50,0x0025
16.923158,66658793872,nan,nan,0.0059,nan,nan,nan,405.59,1.50,0x0025
17.422164,66659293481,nan,nan,0.0060,nan,nan,nan,409.79,1.49,0x0025
17.925561,66659796580,nan,nan,0.0061,nan,nan,nan,414.10,1.49,0x0025
18.423226,66660295262,nan,nan,0.0062,nan,nan,nan,418.47,1.50,0x0025
18.923273,66660795999,nan,nan,0.0060,nan,nan,nan,422.87,1.49,0x0025
19.425643,66661290541,nan,nan,0.0061,nan,nan,nan,427.09,1.49,0x0025
19.922776,66661789868,nan,nan,0.0066,nan,nan,nan,431.64,1.49,0x0025
20.423485,66662294103,nan,nan,0.0064,nan,nan,nan,436.49,1.50,0x0025
20.923519,66662790908,nan,nan,0.0064,nan,nan,nan,440.99,1.49,0x0025
21.423005,66663295443,nan,nan,0.0067,nan,nan,nan,445.40,1.49,0x0025
21.924642,66663795398,nan,nan,0.0065,nan,nan,nan,449.58,1.49,0x0025
22.422702,66664295009,nan,nan,0.0061,nan,nan,nan,454.13,1.50,0x0025
22.921655,66664795801,nan,nan,0.0060,nan,nan,nan,458.69,1.51,0x0025
23.423031,66665290974,nan,nan,0.0061,nan,nan,nan,463.43,1.49,0x0025
