t_wall_s,cpu_load_permille,voltage_mV,current_cA,battery_pct,drop_rate,errors_comm
2.255201,360,65535,-1,-1,0,0
2.255201,480,65535,-1,-1,0,0
2.255201,480,65535,-1,-1,0,0
2.255201,380,65535,-1,-1,0,0
2.255201,420,65535,-1,-1,0,0
2.360810,340,65535,-1,-1,0,0
2.860566,380,65535,-1,-1,0,0
3.456927,440,65535,-1,-1,0,0
3.862968,400,65535,-1,-1,0,0
4.362330,380,65535,-1,-1,0,0
4.858719,400,65535,-1,-1,0,0
5.454260,460,65535,-1,-1,0,0
5.859788,360,65535,-1,-1,0,0
6.456528,420,65535,-1,-1,0,0
6.859997,360,65535,-1,-1,0,0
7.456637,380,65535,-1,-1,0,0
7.860030,400,65535,-1,-1,0,0
8.456108,400,65535,-1,-1,0,0
8.860295,380,65535,-1,-1,0,0
9.456050,340,65535,-1,-1,0,0
9.860284,400,65535,-1,-1,0,0
10.361603,400,65535,-1,-1,0,0
10.861501,380,65535,-1,-1,0,0
11.455702,380,65535,-1,-1,0,0
11.861151,360,65535,-1,-1,0,0
12.455965,360,65535,-1,-1,0,0
12.860284,320,65535,-1,-1,0,0
13.454109,420,65535,-1,-1,0,0
13.859032,360,65535,-1,-1,0,0
14.455356,420,65535,-1,-1,0,0
14.858579,400,65535,-1,-1,0,0
15.454177,400,65535,-1,-1,0,0
15.860372,480,65535,-1,-1,0,0
16.360532,400,65535,-1,-1,0,0
16.859567,340,65535,-1,-1,0,0
17.454692,400,65535,-1,-1,0,0
17.860268,400,65535,-1,-1,0,0
18.455460,360,65535,-1,-1,0,0
18.859576,400,65535,-1,-1,0,0
19.456001,380,65535,-1,-1,0,0
19.859984,380,65535,-1,-1,0,0
20.455039,380,65535,-1,-1,0,0
20.860516,400,65535,-1,-1,0,0
21.455137,380,65535,-1,-1,0,0
21.860260,400,65535,-1,-1,0,0
22.359824,400,65535,-1,-1,0,0
22.861948,400,65535,-1,-1,0,0
23.454606,400,65535,-1,-1,0,0
23.860629,420,65535,-1,-1,0,0
24.360903,380,65535,-1,-1,0,0
24.859046,360,65535,-1,-1,0,0
25.454831,400,65535,-1,-1,0,0
25.860375,400,65535,-1,-1,0,0
26.454499,340,65535,-1,-1,0,0
26.859437,380,65535,-1,-1,0,0
27.454229,380,65535,-1,-1,0,0
27.859892,380,65535,-1,-1,0,0
28.359464,400,65535,-1,-1,0,0
28.859647,400,65535,-1,-1,0,0
29.452667,360,65535,-1,-1,0,0
29.860143,420,65535,-1,-1,0,0
30.359956,400,65535,-1,-1,0,0
30.860606,360,65535,-1,-1,0,0
31.456163,400,65535,-1,-1,0,0
31.860465,400,65535,-1,-1,0,0
32.456555,380,65535,-1,-1,0,0
32.859309,360,65535,-1,-1,0,0
