t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
88.047558,9303684,778.8103,0.0000,39.40
88.128200,9303805,778.8110,0.0000,39.40
88.260501,9303884,778.8098,0.0000,39.40
88.328794,9304003,778.8079,0.0000,39.40
88.449163,9304084,778.8083,0.0000,39.40
88.526972,9304205,778.8071,0.0000,39.00
88.648752,9304282,778.8103,0.0000,39.00
88.728324,9304404,778.8010,0.0000,39.00
88.847021,9304483,778.8105,0.0000,39.00
88.928468,9304604,778.8066,0.0000,39.00
89.048066,9304684,778.8047,0.0000,39.00
89.127604,9304803,778.8054,0.0000,39.00
89.247825,9304883,778.8123,0.0000,39.00
89.328620,9305004,778.8064,0.0000,39.00
89.448118,9305083,778.8140,0.0000,39.00
89.527052,9305204,778.8066,0.0000,39.00
89.646649,9305284,778.8042,0.0000,39.00
89.727329,9305407,778.8044,0.0000,39.00
89.848337,9305484,778.7883,0.0000,39.00
89.928480,9305603,778.7961,0.0000,39.00
90.046720,9305684,778.8062,0.0000,39.00
90.127796,9305802,778.7995,0.0000,39.00
90.252143,9305882,778.7966,0.0000,39.00
90.330483,9306005,778.7949,0.0000,39.00
90.448770,9306085,778.8034,0.0000,39.00
90.527375,9306204,778.8154,0.0000,39.00
90.648589,9306281,778.8066,0.0000,39.00
90.728434,9306404,778.8005,0.0000,39.00
90.847191,9306483,778.8034,0.0000,39.00
90.927820,9306602,778.8232,0.0000,39.00
91.047835,9306683,778.8120,0.0000,39.00
91.128852,9306803,778.8047,0.0000,39.00
91.260401,9306885,778.7917,0.0000,39.00
91.327988,9307002,778.8118,0.0000,39.00
91.447501,9307085,778.8159,0.0000,39.00
91.528438,9307205,778.8062,0.0000,39.00
91.647531,9307284,778.8059,0.0000,39.00
91.730552,9307404,778.8066,0.0000,39.00
91.848395,9307484,778.8149,0.0000,39.00
91.927963,9307604,778.8093,0.0000,39.00
92.049291,9307684,778.8066,0.0000,39.00
92.128420,9307804,778.8079,0.0000,39.00
92.249651,9307885,778.8103,0.0000,39.00
92.328493,9308002,778.8066,0.0000,39.00
92.448818,9308085,778.8073,0.0000,39.00
92.527642,9308203,778.8008,0.0000,39.00
92.648207,9308284,778.8022,0.0000,39.00
92.728330,9308404,778.8079,0.0000,39.00
92.848364,9308483,778.8112,0.0000,39.00
92.929036,9308604,778.8167,0.0000,39.00
93.049464,9308683,778.8066,0.0000,39.00
93.128423,9308803,778.8083,0.0000,39.00
93.248759,9308881,778.8118,0.0000,39.00
93.329780,9309004,778.8171,0.0000,39.00
93.448553,9309083,778.8083,0.0000,39.00
93.527965,9309203,778.8098,0.0000,39.00
93.648777,9309284,778.8049,0.0000,39.00
93.727866,9309404,778.8069,0.0000,39.00
93.849630,9309486,778.8081,0.0000,39.00
93.928402,9309604,778.8037,0.0000,39.00
94.059133,9309684,778.7991,0.0000,39.00
94.128193,9309804,778.8159,0.0000,39.00
94.262350,9309885,778.8134,0.0000,39.00
94.328446,9310003,778.8071,0.0000,39.00
94.449576,9310083,778.8140,0.0000,39.00
94.526668,9310204,778.8142,0.0000,39.00
94.647576,9310282,778.8181,0.0000,39.00
94.728040,9310404,778.8105,0.0000,39.00
94.847914,9310484,778.8093,0.0000,39.00
94.928514,9310602,778.8083,0.0000,39.00
95.050713,9310684,778.8140,0.0000,39.00
95.126682,9310805,778.8042,0.0000,39.00
95.248738,9310883,778.8015,0.0000,39.00
95.328891,9311004,778.8042,0.0000,39.00
95.448000,9311083,778.8012,0.0000,39.00
95.527351,9311204,778.8012,0.0000,39.00
95.649271,9311284,778.8034,0.0000,39.00
95.728313,9311403,778.7981,0.0000,39.00
95.849064,9311483,778.8042,0.0000,39.00
95.927923,9311603,778.8257,0.0000,39.00
96.049308,9311684,778.8127,0.0000,39.00
96.127422,9311806,778.8108,0.0000,39.00
96.247618,9311885,778.8049,0.0000,39.00
96.328370,9312005,778.8147,0.0000,39.00
