t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
2.253712,0,0,95
2.253712,0,0,380
2.253712,0,0,65
2.253942,0,0,15
2.253942,0,0,116
2.253942,0,0,125
2.253942,0,0,72
2.253942,0,0,102
2.254011,0,0,12
2.254011,0,0,13
2.254011,0,0,12
2.254011,0,0,12
2.254086,0,0,64
2.254086,0,0,11
2.254086,0,0,100
2.254086,0,0,231
2.254153,0,0,61
2.254153,0,0,60
2.254153,0,0,12
2.254153,0,0,132
2.254153,0,0,11
2.254224,0,0,18
2.254224,0,0,27
2.254224,0,0,96
2.254224,0,0,84
2.254296,0,0,178
2.254296,0,0,168
2.254296,0,0,93
2.254296,0,0,11
2.254358,0,0,63
2.254358,0,0,13
2.254358,0,0,14
2.254358,0,0,92
2.254358,0,0,14
2.254425,0,0,65
2.254425,0,0,12
2.254425,0,0,532
2.254425,0,0,91
2.254490,0,0,130
2.254490,0,0,15
2.254490,0,0,97
2.254490,0,0,124
2.254553,0,0,58
2.254553,0,0,80
2.254553,0,0,95
2.254553,0,0,61
2.254553,0,0,235
2.254631,0,0,105
2.254631,0,0,131
2.254631,0,0,14
2.254631,0,0,193
2.254631,0,0,103
2.254695,0,0,91
2.254695,0,0,934
2.254695,0,0,336
2.254695,0,0,99
2.254761,0,0,64
2.254788,0,0,134
2.294799,0,0,341
2.331200,0,0,63
2.359293,0,0,322
2.399218,0,0,90
2.434926,0,0,76
2.465737,0,0,56
2.500594,0,0,86
2.539427,0,0,13
2.571499,0,0,26
2.610525,0,0,109
2.657234,0,0,115
2.699027,0,0,64
2.737414,0,0,15
2.772329,0,0,56
2.798083,0,0,64
2.839417,0,0,103
2.882687,0,0,95
2.917833,0,0,100
2.970935,0,0,319
2.999769,0,0,98
3.037481,0,0,94
3.081384,0,0,15
3.133148,0,0,226
3.164793,0,0,61
3.197818,0,0,57
3.237229,0,0,130
3.264631,0,0,79
3.332132,0,0,311
3.366130,0,0,97
3.400615,0,0,13
3.438273,0,0,116
3.481440,0,0,9
3.531549,0,0,65
3.558414,0,0,83
3.593984,0,0,152
3.631451,0,0,51
3.651251,0,0,106
3.671842,0,0,89
3.697962,0,0,61
3.738111,0,0,287
3.774407,0,0,86
3.810996,0,0,162
3.838538,0,0,11
3.872501,0,0,15
3.898208,0,0,64
3.939144,0,0,272
3.981746,0,0,92
4.031983,0,0,61
4.065066,0,0,80
4.099220,0,0,13
4.137820,0,0,56
4.182046,0,0,13
4.217923,0,0,336
4.263884,0,0,66
4.304888,0,0,12
4.338174,0,0,71
4.381955,0,0,981
4.417589,0,0,13
4.436939,0,0,375
4.482914,0,0,13
4.532968,0,0,529
4.565102,0,0,415
4.615400,0,0,788
4.657154,0,0,58
4.691655,0,0,103
4.717849,0,0,378
4.758706,0,0,10
4.799167,0,0,372
4.838620,0,0,505
4.871119,0,0,58
4.900863,0,0,104
4.938066,0,0,84
4.991385,0,0,59
5.039054,0,0,246
5.082125,0,0,1728
5.118378,0,0,13
5.165224,0,0,84
5.198450,0,0,100
5.237834,0,0,63
5.270270,0,0,17
5.334010,0,0,424
5.370632,0,0,64
5.411688,0,0,79
5.453753,0,0,43
5.499395,0,0,86
5.537257,0,0,57
5.582100,0,0,11
5.617088,0,0,14
5.657773,0,0,12
5.699562,0,0,107
5.718454,0,0,67
5.759758,0,0,60
5.797684,0,0,200
5.817771,0,0,94
5.866068,0,0,284
5.913896,0,0,93
5.952383,0,0,699
5.991349,0,0,12
6.011237,0,0,135
6.058337,0,0,62
6.098048,0,0,380
6.138005,0,0,557
6.181138,0,0,64
6.227294,0,0,8
6.272176,0,0,159
6.279420,0,0,207
6.341096,0,0,114
6.382047,0,0,164
6.418015,0,0,133
6.457707,0,0,388
6.499456,0,0,92
6.538214,0,0,15
6.578456,0,0,14
6.600192,0,0,103
6.652925,0,0,14
6.692283,0,0,275
6.718264,0,0,296
6.757279,0,0,215
6.791465,0,0,12
6.817846,0,0,233
6.837691,0,0,16
6.881181,0,0,70
6.938091,0,0,603
6.977919,0,0,161
7.018847,0,0,137
7.057724,0,0,272
7.099049,0,0,15
7.138470,0,0,102
7.181014,0,0,97
7.211944,0,0,13
7.251756,0,0,202
7.277026,0,0,991
7.334891,0,0,92
7.371456,0,0,11
7.418648,0,0,104
7.466332,0,0,287
7.498085,0,0,276
7.538480,0,0,65
7.582661,0,0,13
7.618237,0,0,12
7.664567,0,0,15
7.718648,0,0,21
7.772694,0,0,11
7.810820,0,0,12
7.858583,0,0,110
7.898429,0,0,98
7.938040,0,0,13
7.981066,0,0,11
8.018192,0,0,137
8.065356,0,0,122
8.111325,0,0,2160
8.138442,0,0,14
8.182686,0,0,14
8.217924,0,0,62
8.257885,0,0,58
8.277391,0,0,13
