wall_time,cpu_temp_c,cpu0_freq_mhz,cpu4_freq_mhz,cpu7_freq_mhz
1779245377.501,39.20,2016,614,864
1779245381.213,40.80,2016,614,864
1779245384.917,39.60,2016,1286,1248
1779245388.402,44.40,1344,1286,1248
1779245391.162,41.20,902,1286,1248
1779245393.787,40.80,1344,1286,1248
1779245396.565,41.20,2016,1785,1248
1779245399.335,42.40,902,1286,1248
1779245402.097,42.40,1785,1401,1248
1779245404.984,42.80,1900,1286,1248
1779245407.807,44.00,2016,2323,1248
1779245410.606,46.30,2016,2457,1248
1779245413.649,51.50,2016,2592,1248
1779245416.637,46.70,2016,1651,1248
1779245419.634,54.30,2016,2803,1248
