t_sim,cmd_1_deg,cmd_2_deg,cmd_3_deg,cmd_4_deg,fb_1_deg,fb_2_deg,fb_3_deg,fb_4_deg,err_1_deg,err_2_deg,err_3_deg,err_4_deg,online_mask,tx_fail
68746.668639,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68746.705618,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0556,0.1667,0.0556,0.1111,-0.0556,15,0
68746.737389,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68746.774349,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68746.811566,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
68746.848642,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68746.880282,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68746.917087,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.0556,-0.0556,0.0000,0.1111,0.0556,0.0556,0.0000,15,0
68746.954097,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68746.985861,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.022462,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.059751,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.0556,-0.0556,0.0000,0.1111,0.0556,0.0556,0.0000,15,0
68747.096840,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68747.128531,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68747.166275,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.0556,-0.1111,0.0000,0.1111,0.0556,0.1111,0.0000,15,0
68747.198569,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.235224,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.0556,-0.1111,0.0000,0.1111,0.0556,0.1111,0.0000,15,0
68747.272154,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.308888,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,-0.0556,0.1667,0.0556,0.0556,0.0556,15,0
68747.340520,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,-0.0556,0.1667,0.0556,0.0556,0.0556,15,0
68747.377670,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.0556,-0.1111,0.0000,0.1111,0.0556,0.1111,0.0000,15,0
68747.414792,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,-0.0556,0.1667,0.0556,0.0556,0.0556,15,0
68747.446238,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.483552,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.520362,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68747.556988,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.0556,-0.0556,0.0000,0.1111,0.0556,0.0556,0.0000,15,0
68747.588467,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68747.625306,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.0556,-0.0556,0.0000,0.1111,0.0556,0.0556,0.0000,15,0
68747.662480,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,-0.0556,0.1667,0.0556,0.1111,0.0556,15,0
68747.694395,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,-0.0556,0.1667,0.0556,0.1111,0.0556,15,0
68747.731475,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.768153,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.804988,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,-0.0556,0.1667,0.0556,0.1111,0.0556,15,0
68747.836836,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.873892,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0556,0.1667,0.0556,0.0556,-0.0556,15,0
68747.910798,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,-0.0556,0.1667,0.0556,0.0556,0.0556,15,0
68747.942439,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68747.979221,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68748.015931,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,-0.0556,0.1667,0.0556,0.1111,0.0556,15,0
68748.052716,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68748.084419,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68748.121242,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68748.158018,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68748.189782,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68748.226479,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68748.263237,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68748.304013,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68748.331119,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68748.368060,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,0.0000,0.1667,0.0556,0.1111,0.0000,15,0
68748.405109,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
68748.441969,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.0556,-0.0556,0.1111,0.1111,0.0556,0.0556,15,0
68748.473721,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.0556,0.0000,0.1667,0.0556,0.0556,0.0000,15,0
