wall_time,cpu_temp_c,cpu0_freq_mhz,cpu4_freq_mhz,cpu7_freq_mhz
1779245596.813,48.70,902,1286,1248
1779245599.995,42.40,902,1286,1248
1779245602.581,42.40,2016,614,864
1779245605.325,43.60,1344,1536,1248
1779245608.164,42.00,2016,1286,1248
1779245610.996,42.80,1670,1286,1248
1779245613.820,42.40,1344,1286,1248
1779245616.613,43.60,1228,1286,1248
1779245619.365,50.70,2016,1785,1248
1779245622.364,51.50,1459,1536,1248
1779245625.377,66.60,1785,2592,1248
1779245628.023,50.30,2016,1286,1248
1779245631.020,46.30,1785,1286,1248
