wall_time,cpu_temp_c,cpu0_freq_mhz,cpu4_freq_mhz,cpu7_freq_mhz
1779245475.169,42.80,1459,1286,1248
1779245477.968,42.80,2016,1286,1248
1779245480.810,42.00,1785,1286,1248
1779245483.848,43.20,2016,1286,1248
1779245486.614,42.40,2016,1286,1248
1779245489.354,48.30,2016,1651,1248
1779245492.283,55.50,2016,2592,1248
1779245495.230,58.60,1344,2707,1248
1779245498.363,59.00,1459,2803,1248
