t_sim,cmd_1_deg,cmd_2_deg,cmd_3_deg,cmd_4_deg,fb_1_deg,fb_2_deg,fb_3_deg,fb_4_deg,err_1_deg,err_2_deg,err_3_deg,err_4_deg,online_mask,tx_fail
77422.827427,0.0000,0.0000,0.0000,0.0000,-15.5000,-5.4444,0.0000,0.0000,15.5000,5.4444,0.0000,0.0000,15,0
77422.854117,0.0000,0.0000,0.0000,0.0000,-0.1667,-5.4444,0.0000,0.0000,0.1667,5.4444,0.0000,0.0000,15,0
77422.880632,0.0000,0.0000,0.0000,0.0000,-0.1667,-5.4444,-0.1111,0.0000,0.1667,5.4444,0.1111,0.0000,15,0
77422.906996,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77422.933309,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8333,-0.1111,0.0000,0.1667,-0.8333,0.1111,0.0000,15,0
77422.959624,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8333,-0.1111,-0.0556,0.1667,-0.8333,0.1111,0.0556,15,0
77422.991127,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.012086,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.043612,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.074984,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.106498,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.132892,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.164303,0.0000,0.0000,0.0000,0.0000,-0.1111,0.8889,-0.1111,0.0000,0.1111,-0.8889,0.1111,0.0000,15,0
77423.196168,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8333,-0.1111,-0.0556,0.1667,-0.8333,0.1111,0.0556,15,0
77423.222449,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.254386,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.286274,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.312984,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8333,-0.1111,0.0000,0.1667,-0.8333,0.1111,0.0000,15,0
77423.344805,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.371596,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8333,-0.1111,-0.0556,0.1667,-0.8333,0.1111,0.0556,15,0
77423.403979,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8333,-0.1111,-0.0556,0.1667,-0.8333,0.1111,0.0556,15,0
77423.436207,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.463162,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.495032,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.522671,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.555801,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.582017,0.0000,0.0000,0.0000,0.0000,-0.1111,0.8333,-0.1111,-0.0556,0.1111,-0.8333,0.1111,0.0556,15,0
77423.613542,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.644921,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.671192,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.702694,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.734148,0.0000,0.0000,0.0000,0.0000,-0.1111,0.8889,-0.1111,0.0000,0.1111,-0.8889,0.1111,0.0000,15,0
77423.765521,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8333,-0.1111,0.0000,0.1667,-0.8333,0.1111,0.0000,15,0
77423.791692,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8333,-0.1111,0.0000,0.1667,-0.8333,0.1111,0.0000,15,0
77423.828355,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.865010,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8333,-0.1111,0.0000,0.1667,-0.8333,0.1111,0.0000,15,0
77423.901890,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77423.933817,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77423.970746,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,-0.0556,0.1667,-0.8889,0.1111,0.0556,15,0
77424.007737,0.0000,0.0000,0.0000,0.0000,-0.1667,0.8889,-0.1111,0.0000,0.1667,-0.8889,0.1111,0.0000,15,0
77424.039203,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1667,-0.1111,-0.0556,0.1667,0.1667,0.1111,0.0556,15,0
77424.076383,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1667,-0.1111,-0.0556,0.1667,0.1667,0.1111,0.0556,15,0
77424.113526,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1667,-0.1111,0.0000,0.1667,0.1667,0.1111,0.0000,15,0
77424.145171,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1667,-0.1111,-0.0556,0.1667,0.1667,0.1111,0.0556,15,0
77424.181893,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.218798,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.255450,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77424.286960,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.323662,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77424.360590,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77424.397389,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.428820,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.465525,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.502119,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.538982,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.572519,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.609763,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.642089,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.679407,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.711614,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.748970,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.786174,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.818207,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77424.855568,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.892876,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.924792,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77424.962637,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1667,0.0000,0.1667,0.1111,0.1667,0.0000,15,0
77424.995009,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.031864,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.068985,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.105681,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.137271,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77425.174252,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77425.211502,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77425.243154,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.279933,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.316913,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.353745,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.385177,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77425.422240,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77425.459535,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77425.491590,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
77425.528575,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.565279,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.597117,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,0.0000,0.1667,0.1111,0.1111,0.0000,15,0
77425.633875,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.1111,-0.1111,-0.0556,0.1667,0.1111,0.1111,0.0556,15,0
