t_sim,cmd_1_deg,cmd_2_deg,cmd_3_deg,cmd_4_deg,fb_1_deg,fb_2_deg,fb_3_deg,fb_4_deg,err_1_deg,err_2_deg,err_3_deg,err_4_deg,online_mask,tx_fail
801999.147258,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,-14.8333,0.0000,0.0000,-20.0000,14.8333,0.0000,14,0
801999.173361,0.0000,0.0000,0.0000,0.0000,-0.1111,20.0000,-14.8333,0.0000,0.1111,-20.0000,14.8333,0.0000,15,0
801999.199164,0.0000,0.0000,0.0000,0.0000,-0.1111,20.0000,-14.8333,-0.1111,0.1111,-20.0000,14.8333,0.1111,15,0
801999.225062,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.250848,0.0000,0.0000,0.0000,0.0000,-0.0556,0.8889,0.0556,-0.1111,0.0556,-0.8889,-0.0556,0.1111,15,0
801999.276655,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1111,0.0556,-0.9444,-0.0556,0.1111,15,0
801999.302473,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.328276,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.354004,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.379791,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1111,0.0556,-0.9444,-0.0556,0.1111,15,0
801999.410612,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.436548,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.467638,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.498844,0.0000,0.0000,0.0000,0.0000,-0.0556,0.8889,0.0556,-0.1667,0.0556,-0.8889,-0.0556,0.1667,15,0
801999.529978,0.0000,0.0000,0.0000,0.0000,-0.0556,0.8889,0.0556,-0.1667,0.0556,-0.8889,-0.0556,0.1667,15,0
801999.555848,0.0000,0.0000,0.0000,0.0000,-0.0556,0.8889,0.0556,-0.1667,0.0556,-0.8889,-0.0556,0.1667,15,0
801999.587133,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.618793,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1111,0.0556,-0.9444,-0.0556,0.1111,15,0
801999.650108,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.676955,0.0000,0.0000,0.0000,0.0000,-0.0556,0.8889,0.0556,-0.1667,0.0556,-0.8889,-0.0556,0.1667,15,0
801999.708163,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.739437,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1667,0.0556,-0.9444,-0.0556,0.1667,15,0
801999.765544,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1111,0.0556,-0.9444,-0.0556,0.1111,15,0
801999.796738,0.0000,0.0000,0.0000,0.0000,-0.0556,0.9444,0.0556,-0.1111,0.0556,-0.9444,-0.0556,0.1111,15,0
