t_sim,cmd_1_deg,cmd_2_deg,cmd_3_deg,cmd_4_deg,fb_1_deg,fb_2_deg,fb_3_deg,fb_4_deg,err_1_deg,err_2_deg,err_3_deg,err_4_deg,online_mask,tx_fail
73535.190574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,0
73535.218278,0.0000,0.0000,0.0000,0.0000,-0.1667,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,15,0
73535.240492,0.0000,0.0000,0.0000,0.0000,-0.1667,0.0000,-0.1111,-0.1667,0.1667,0.0000,0.1111,0.1667,15,0
73535.267168,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.293576,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.320196,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.351711,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.378229,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.410308,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1667,-0.1667,0.1667,-1.1111,0.1667,0.1667,15,0
73535.442118,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.468784,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.500679,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.527115,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.559139,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.591156,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.617708,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.649625,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
73535.681230,0.0000,0.0000,0.0000,0.0000,-0.2222,1.1111,-0.1667,-0.1667,0.2222,-1.1111,0.1667,0.1667,15,0
