t_sim,cmd_1_deg,cmd_2_deg,cmd_3_deg,cmd_4_deg,fb_1_deg,fb_2_deg,fb_3_deg,fb_4_deg,err_1_deg,err_2_deg,err_3_deg,err_4_deg,online_mask,tx_fail
68580.190308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,0
68580.216811,0.0000,0.0000,0.0000,0.0000,-0.1667,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,15,0
68580.243630,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.0556,-0.1111,0.1667,-1.1111,0.0556,0.1111,15,0
68580.265231,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.0556,-0.1111,0.1667,-1.1111,0.0556,0.1111,15,0
68580.291744,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.0556,-0.1111,0.1667,-1.1111,0.0556,0.1111,15,0
68580.318440,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1111,0.1667,-1.1111,0.1111,0.1111,15,0
68580.345109,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
68580.377101,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1111,0.1667,-1.1111,0.1111,0.1111,15,0
68580.403705,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.0556,-0.1667,0.1667,-1.1111,0.0556,0.1667,15,0
68580.435596,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.0556,-0.1111,0.1667,-1.1111,0.0556,0.1111,15,0
68580.467463,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
68580.494171,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1111,0.1667,-1.1111,0.1111,0.1111,15,0
68580.525985,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1111,0.1667,-1.1111,0.1111,0.1111,15,0
