t_sim,cmd_1_deg,cmd_2_deg,cmd_3_deg,cmd_4_deg,fb_1_deg,fb_2_deg,fb_3_deg,fb_4_deg,err_1_deg,err_2_deg,err_3_deg,err_4_deg,online_mask,tx_fail
718365.295887,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.0556,0.0000,0.0556,0.1111,0.0556,14,0
718365.322339,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,-0.0556,0.1667,0.0556,0.1111,0.0556,15,0
718365.348601,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.0556,-0.1111,-0.0556,0.1667,0.0556,0.1111,0.0556,15,0
718365.374789,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1111,0.1667,-1.1111,0.1111,0.1111,15,0
718365.401113,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
718365.427327,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
718365.453642,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
718365.479933,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
718365.511444,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
718365.532446,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
718365.558725,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
718365.590593,0.0000,0.0000,0.0000,0.0000,-0.1667,1.1111,-0.1111,-0.1667,0.1667,-1.1111,0.1111,0.1667,15,0
