time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q0,q1,q2,q3,omega_x,omega_y,omega_z,mass,altitude,ground_range,alpha,beta,mach,fin_cmd_1,fin_cmd_2,fin_cmd_3,fin_cmd_4,fin_act_1,fin_act_2,fin_act_3,fin_act_4,fin_can_1,fin_can_2,fin_can_3,fin_can_4,fin_source,force_x,force_y,force_z,lat,lon,alt_msl
7.320000,4393338.764517,4259732.865619,1796990.138540,-40.562037,-39.142938,212.317830,0.99998764,0.00006466,0.00495166,-0.00044173,-0.00048671,-0.00396749,-0.00078395,11.1100,1336.3924,1328.6065,-0.01864607,0.00149995,0.641490,-0.01158444,-0.00976713,0.01158962,0.00977231,-0.01158444,-0.00976713,0.01158962,0.00977231,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-118.1159,-5.8870,111.3900,16.46947774,44.11540707,1336.3924
7.330000,4393338.358353,4259732.473628,1796992.260939,-40.670296,-39.254909,212.162124,0.99998771,0.00006170,0.00493819,-0.00044484,-0.00054629,-0.00209852,-0.00052129,11.1100,1336.4547,1330.8024,-0.01782841,0.00148654,0.641167,-0.01158444,-0.00976713,0.01158962,0.00977231,-0.01158444,-0.00976713,0.01158962,0.00977231,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-117.9728,-5.8120,107.2199,16.46949758,44.11540708,1336.4547
7.340000,4393337.951120,4259732.080530,1796994.381787,-40.775980,-39.364265,212.007593,0.99998778,0.00005847,0.00492396,-0.00044686,-0.00060182,-0.00423835,-0.00034577,11.1100,1336.5151,1332.9973,-0.01698812,0.00147043,0.640845,-0.00883468,-0.00697302,0.00883244,0.00697078,-0.01158444,-0.00976713,0.01158962,0.00977231,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-117.8304,-5.7242,102.9239,16.46951742,44.11540709,1336.5151
7.350000,4393337.542857,4259731.686365,1796996.501101,-40.876193,-39.468145,211.855399,0.99998769,0.00005530,0.00494213,-0.00044863,-0.00052306,0.01077498,-0.00042563,11.1100,1336.5736,1335.1911,-0.01616599,0.00145248,0.640524,-0.00883468,-0.00697302,0.00883244,0.00697078,-0.00883468,-0.00697302,0.00883244,0.00697078,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-117.6885,-5.5895,93.8843,16.46953724,44.11540711,1336.5736
7.360000,4393337.133605,4259731.291176,1796998.618899,-40.973673,-39.569260,211.704453,0.99998728,0.00005255,0.00502396,-0.00045101,-0.00044956,0.02115616,-0.00058549,11.1100,1336.6303,1337.3839,-0.01531507,0.00143458,0.640204,-0.00883468,-0.00697302,0.00883244,0.00697078,-0.00883468,-0.00697302,0.00883244,0.00697078,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-117.5473,-5.4953,89.6398,16.46955706,44.11540712,1336.6303
7.370000,4393336.723394,4259730.894990,1797000.735194,-41.068153,-39.667363,211.554865,0.99998666,0.00005016,0.00514545,-0.00045437,-0.00038097,0.02660929,-0.00081457,11.1100,1336.6851,1339.5756,-0.01435461,0.00141821,0.639885,-0.00633616,-0.00452592,0.00634020,0.00452996,-0.00883468,-0.00697302,0.00883244,0.00697078,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-117.4067,-5.4095,84.8368,16.46957686,44.11540713,1336.6851
7.380000,4393336.312266,4259730.497852,1797002.850006,-41.156802,-39.759777,211.407746,0.99998570,0.00004785,0.00532829,-0.00045854,-0.00042671,0.04558680,-0.00091025,11.1100,1336.7382,1341.7663,-0.01333439,0.00140409,0.639567,-0.00633616,-0.00452592,0.00634020,0.00452996,-0.00633616,-0.00452592,0.00634020,0.00452996,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-117.2666,-5.3798,75.4520,16.46959666,44.11540714,1336.7382
7.390000,4393335.900269,4259730.099806,1797004.963354,-41.241942,-39.848708,211.262192,0.99998426,0.00004535,0.00559133,-0.00046331,-0.00046936,0.05859958,-0.00105933,11.1100,1336.7896,1343.9559,-0.01222953,0.00139168,0.639251,-0.00633616,-0.00452592,0.00634020,0.00452996,-0.00633616,-0.00452592,0.00634020,0.00452996,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-117.1271,-5.3134,70.0156,16.46961644,44.11540715,1336.7896
7.400000,4393335.487440,4259729.700890,1797007.075256,-41.323239,-39.933843,211.118332,0.99998246,0.00004267,0.00590369,-0.00046895,-0.00050911,0.06528524,-0.00125258,11.1100,1336.8394,1346.1445,-0.01098722,0.00138074,0.638935,-0.00633616,-0.00452592,0.00634020,0.00452996,-0.00633616,-0.00452592,0.00634020,0.00452996,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-116.9882,-5.2547,63.8801,16.46963622,44.11540716,1336.8394
7.410000,4393335.073818,4259729.301143,1797009.185727,-41.400553,-40.015059,210.976217,0.99998046,0.00003979,0.00623350,-0.00047564,-0.00054616,0.06559424,-0.00147915,11.1100,1336.8876,1348.3321,-0.00967138,0.00137171,0.638620,-0.00633616,-0.00452592,0.00634020,0.00452996,-0.00633616,-0.00452592,0.00634020,0.00452996,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-116.8498,-5.2059,57.3604,16.46965599,44.11540717,1336.8876
7.420000,4393334.659442,4259728.900602,1797011.294786,-41.473930,-40.092415,210.835818,0.99997844,0.00003673,0.00654938,-0.00048351,-0.00058068,0.05977830,-0.00172708,11.1100,1336.9343,1350.5185,-0.00834674,0.00136496,0.638306,-0.00324042,-0.00135585,0.00324126,0.00135669,-0.00633616,-0.00452592,0.00634020,0.00452996,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-116.7120,-5.1685,50.7759,16.46967575,44.11540718,1336.9343
