t_sim,cmd_1_deg,cmd_2_deg,cmd_3_deg,cmd_4_deg,fb_1_deg,fb_2_deg,fb_3_deg,fb_4_deg,err_1_deg,err_2_deg,err_3_deg,err_4_deg,online_mask,tx_fail
727727.452652,0.0000,0.0000,0.0000,0.0000,1.5556,-0.7222,-1.2222,0.0000,-1.5556,0.7222,1.2222,0.0000,15,0
727727.478911,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.7222,-1.2222,0.0000,0.1667,0.7222,1.2222,0.0000,15,0
727727.507609,0.0000,0.0000,0.0000,0.0000,-0.1667,-0.7222,-1.2222,0.0000,0.1667,0.7222,1.2222,0.0000,15,0
727727.528626,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1667,0.1667,-1.0556,0.1667,0.1667,15,0
727727.555116,0.0000,0.0000,0.0000,0.0000,-0.1111,1.0556,-0.1667,-0.1667,0.1111,-1.0556,0.1667,0.1667,15,0
727727.581520,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1667,0.1667,-1.0556,0.1667,0.1667,15,0
727727.607961,0.0000,0.0000,0.0000,0.0000,-0.1111,1.0556,-0.1667,-0.1667,0.1111,-1.0556,0.1667,0.1667,15,0
727727.634163,0.0000,0.0000,0.0000,0.0000,-0.1111,1.0556,-0.1667,-0.1667,0.1111,-1.0556,0.1667,0.1667,15,0
727727.660493,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1111,0.1667,-1.0556,0.1667,0.1111,15,0
727727.687005,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1667,0.1667,-1.0556,0.1667,0.1667,15,0
727727.713191,0.0000,0.0000,0.0000,0.0000,-0.1111,1.0556,-0.1667,-0.1667,0.1111,-1.0556,0.1667,0.1667,15,0
727727.739425,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1111,0.1667,-1.0556,0.1667,0.1111,15,0
727727.771238,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1111,0.1667,-1.0556,0.1667,0.1111,15,0
727727.803008,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1111,0.1667,-1.0556,0.1667,0.1111,15,0
727727.829295,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1667,0.1667,-1.0556,0.1667,0.1667,15,0
727727.861242,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1667,0.1667,-1.0556,0.1667,0.1667,15,0
727727.893084,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1667,0.1667,-1.0556,0.1667,0.1667,15,0
727727.919621,0.0000,0.0000,0.0000,0.0000,-0.1111,1.0556,-0.1667,-0.1667,0.1111,-1.0556,0.1667,0.1667,15,0
727727.951277,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1667,0.1667,-1.0556,0.1667,0.1667,15,0
727727.983427,0.0000,0.0000,0.0000,0.0000,-0.1667,1.0556,-0.1667,-0.1667,0.1667,-1.0556,0.1667,0.1667,15,0
727728.010117,0.0000,0.0000,0.0000,0.0000,-0.1111,1.0556,-0.1667,-0.1667,0.1111,-1.0556,0.1667,0.1667,15,0
727728.042082,0.0000,0.0000,0.0000,0.0000,-0.1111,1.1111,-0.1667,-0.1667,0.1111,-1.1111,0.1667,0.1667,15,0
