t_rel_ns,kind,slot,value_deg
10660,CMD,0,0.0000
10660,CMD,1,0.0000
10660,CMD,2,0.0000
10660,CMD,3,0.0000
6560240,CMD,0,0.0000
6560240,CMD,1,0.0000
6560240,CMD,2,0.0000
6560240,CMD,3,0.0000
12462312,CMD,0,0.0000
12462312,CMD,1,0.0000
12462312,CMD,2,0.0000
12462312,CMD,3,0.0000
17465876,CMD,0,0.0000
17465876,CMD,1,0.0000
17465876,CMD,2,0.0000
17465876,CMD,3,0.0000
23454767,CMD,0,0.0000
23454767,CMD,1,0.0000
23454767,CMD,2,0.0000
23454767,CMD,3,0.0000
29452670,CMD,0,0.0000
29452670,CMD,1,0.0000
29452670,CMD,2,0.0000
29452670,CMD,3,0.0000
33444484,CMD,0,0.0000
33444484,CMD,1,0.0000
33444484,CMD,2,0.0000
33444484,CMD,3,0.0000
39449223,CMD,0,0.0000
39449223,CMD,1,0.0000
39449223,CMD,2,0.0000
39449223,CMD,3,0.0000
45454475,CMD,0,0.0000
45454475,CMD,1,0.0000
45454475,CMD,2,0.0000
45454475,CMD,3,0.0000
51466928,CMD,0,0.0000
51466928,CMD,1,0.0000
51466928,CMD,2,0.0000
51466928,CMD,3,0.0000
56450222,CMD,0,0.0000
56450222,CMD,1,0.0000
56450222,CMD,2,0.0000
56450222,CMD,3,0.0000
61454081,CMD,0,0.0000
61454081,CMD,1,0.0000
61454081,CMD,2,0.0000
61454081,CMD,3,0.0000
65450740,CMD,0,0.0000
65450740,CMD,1,0.0000
65450740,CMD,2,0.0000
65450740,CMD,3,0.0000
69451669,CMD,0,0.0000
69451669,CMD,1,0.0000
69451669,CMD,2,0.0000
69451669,CMD,3,0.0000
73452477,CMD,0,0.0000
73452477,CMD,1,0.0000
73452477,CMD,2,0.0000
73452477,CMD,3,0.0000
77442209,CMD,0,0.0000
77442209,CMD,1,0.0000
77442209,CMD,2,0.0000
77442209,CMD,3,0.0000
81452512,CMD,0,0.0000
81452512,CMD,1,0.0000
81452512,CMD,2,0.0000
81452512,CMD,3,0.0000
85458256,CMD,0,0.0000
85458256,CMD,1,0.0000
85458256,CMD,2,0.0000
85458256,CMD,3,0.0000
90000282,CMD,0,0.0000
90000282,CMD,1,0.0000
90000282,CMD,2,0.0000
90000282,CMD,3,0.0000
96447719,CMD,0,0.0000
96447719,CMD,1,0.0000
96447719,CMD,2,0.0000
96447719,CMD,3,0.0000
102457714,CMD,0,0.0000
102457714,CMD,1,0.0000
102457714,CMD,2,0.0000
102457714,CMD,3,0.0000
113488676,CMD,0,0.0000
113488676,CMD,1,0.0000
113488676,CMD,2,0.0000
113488676,CMD,3,0.0000
118459434,CMD,0,0.0000
118459434,CMD,1,0.0000
118459434,CMD,2,0.0000
118459434,CMD,3,0.0000
122454084,CMD,0,0.0000
122454084,CMD,1,0.0000
122454084,CMD,2,0.0000
122454084,CMD,3,0.0000
128455258,CMD,0,0.0000
128455258,CMD,1,0.0000
128455258,CMD,2,0.0000
128455258,CMD,3,0.0000
134451021,CMD,0,0.0000
134451021,CMD,1,0.0000
134451021,CMD,2,0.0000
134451021,CMD,3,0.0000
142459417,CMD,0,0.0000
142459417,CMD,1,0.0000
142459417,CMD,2,0.0000
