t_rel_ns,kind,slot,value_deg
17204,CMD,0,0.0000
17204,CMD,1,0.0000
17204,CMD,2,0.0000
17204,CMD,3,0.0000
5001194,CMD,0,0.0000
5001194,CMD,1,0.0000
5001194,CMD,2,0.0000
5001194,CMD,3,0.0000
11467453,CMD,0,0.0000
11467453,CMD,1,0.0000
11467453,CMD,2,0.0000
11467453,CMD,3,0.0000
16445095,CMD,0,0.0000
16445095,CMD,1,0.0000
16445095,CMD,2,0.0000
16445095,CMD,3,0.0000
20458060,CMD,0,0.0000
20458060,CMD,1,0.0000
20458060,CMD,2,0.0000
20458060,CMD,3,0.0000
25001254,CMD,0,0.0000
25001254,CMD,1,0.0000
25001254,CMD,2,0.0000
25001254,CMD,3,0.0000
31445354,CMD,0,0.0000
31445354,CMD,1,0.0000
31445354,CMD,2,0.0000
31445354,CMD,3,0.0000
37442252,CMD,0,0.0000
37442252,CMD,1,0.0000
37442252,CMD,2,0.0000
37442252,CMD,3,0.0000
45451664,CMD,0,0.0000
45451664,CMD,1,0.0000
45451664,CMD,2,0.0000
45451664,CMD,3,0.0000
51442144,CMD,0,0.0000
51442144,CMD,1,0.0000
51442144,CMD,2,0.0000
51442144,CMD,3,0.0000
57446136,CMD,0,0.0000
57446136,CMD,1,0.0000
57446136,CMD,2,0.0000
57446136,CMD,3,0.0000
63440265,CMD,0,0.0000
63440265,CMD,1,0.0000
63440265,CMD,2,0.0000
63440265,CMD,3,0.0000
69518970,CMD,0,0.0000
69518970,CMD,1,0.0000
69518970,CMD,2,0.0000
69518970,CMD,3,0.0000
73531250,CMD,0,0.0000
73531250,CMD,1,0.0000
73531250,CMD,2,0.0000
73531250,CMD,3,0.0000
77464815,CMD,0,0.0000
77464815,CMD,1,0.0000
77464815,CMD,2,0.0000
77464815,CMD,3,0.0000
81444963,CMD,0,0.0000
81444963,CMD,1,0.0000
81444963,CMD,2,0.0000
81444963,CMD,3,0.0000
85442754,CMD,0,0.0000
85442754,CMD,1,0.0000
85442754,CMD,2,0.0000
85442754,CMD,3,0.0000
90462946,CMD,0,0.0000
90462946,CMD,1,0.0000
90462946,CMD,2,0.0000
90462946,CMD,3,0.0000
96438535,CMD,0,0.0000
96438535,CMD,1,0.0000
96438535,CMD,2,0.0000
96438535,CMD,3,0.0000
102485870,CMD,0,0.0000
102485870,CMD,1,0.0000
102485870,CMD,2,0.0000
102485870,CMD,3,0.0000
111445618,CMD,0,0.0000
111445618,CMD,1,0.0000
111445618,CMD,2,0.0000
111445618,CMD,3,0.0000
117456347,CMD,0,0.0000
117456347,CMD,1,0.0000
117456347,CMD,2,0.0000
117456347,CMD,3,0.0000
123459765,CMD,0,0.0000
123459765,CMD,1,0.0000
123459765,CMD,2,0.0000
123459765,CMD,3,0.0000
127462464,CMD,0,0.0000
127462464,CMD,1,0.0000
127462464,CMD,2,0.0000
127462464,CMD,3,0.0000
132458240,CMD,0,0.0000
132458240,CMD,1,0.0000
132458240,CMD,2,0.0000
132458240,CMD,3,0.0000
137447271,CMD,0,0.0000
137447271,CMD,1,0.0000
137447271,CMD,2,0.0000
137447271,CMD,3,0.0000
143456077,CMD,0,0.0000
143456077,CMD,1,0.0000
143456077,CMD,2,0.0000
143456077,CMD,3,0.0000
149447927,CMD,0,0.0000
149447927,CMD,1,0.0000
149447927,CMD,2,0.0000
149447927,CMD,3,0.0000
155441039,CMD,0,0.0000
155441039,CMD,1,0.0000
155441039,CMD,2,0.0000
155441039,CMD,3,0.0000
161470065,CMD,0,0.0000
161470065,CMD,1,0.0000
161470065,CMD,2,0.0000
161470065,CMD,3,0.0000
167446842,CMD,0,0.0000
167446842,CMD,1,0.0000
167446842,CMD,2,0.0000
167446842,CMD,3,0.0000
173438154,CMD,0,0.0000
173438154,CMD,1,0.0000
173438154,CMD,2,0.0000
173438154,CMD,3,0.0000
179472908,CMD,0,0.0000
179472908,CMD,1,0.0000
179472908,CMD,2,0.0000
179472908,CMD,3,0.0000
185464704,CMD,0,0.0000
185464704,CMD,1,0.0000
185464704,CMD,2,0.0000
185464704,CMD,3,0.0000
191538817,CMD,0,0.0000
191538817,CMD,1,0.0000
191538817,CMD,2,0.0000
191538817,CMD,3,0.0000
197461201,CMD,0,0.0000
197461201,CMD,1,0.0000
197461201,CMD,2,0.0000
197461201,CMD,3,0.0000
202471047,CMD,0,0.0000
202471047,CMD,1,0.0000
202471047,CMD,2,0.0000
202471047,CMD,3,0.0000
208457706,CMD,0,0.0000
208457706,CMD,1,0.0000
208457706,CMD,2,0.0000
208457706,CMD,3,0.0000
214487690,CMD,0,0.0000
214487690,CMD,1,0.0000
214487690,CMD,2,0.0000
214487690,CMD,3,0.0000
218467230,CMD,0,0.0000
218467230,CMD,1,0.0000
218467230,CMD,2,0.0000
218467230,CMD,3,0.0000
222456338,CMD,0,0.0000
222456338,CMD,1,0.0000
222456338,CMD,2,0.0000
222456338,CMD,3,0.0000
226462579,CMD,0,0.0000
226462579,CMD,1,0.0000
226462579,CMD,2,0.0000
226462579,CMD,3,0.0000
232452149,CMD,0,0.0000
232452149,CMD,1,0.0000
232452149,CMD,2,0.0000
232452149,CMD,3,0.0000
238455401,CMD,0,0.0000
