t_wall_s,t_boot_ms,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
2.527022,16950561,-0.025172,0.064163,-1.845877,0.002268,-0.000794,-0.000408
2.560432,16950599,-0.025176,0.064186,-1.846028,0.001576,0.000333,0.000162
2.593073,16950632,-0.025172,0.064189,-1.846155,0.001551,-0.000235,-0.000482
2.628352,16950668,-0.025178,0.064194,-1.846244,0.001118,0.000410,-0.000593
2.658369,16950699,-0.025172,0.064193,-1.846352,0.000053,-0.000612,0.000109
2.690325,16950730,-0.025160,0.064215,-1.846468,0.000845,0.000763,-0.001534
2.728509,16950766,-0.025167,0.064235,-1.846608,0.001119,0.000660,0.000457
2.758784,16950801,-0.025167,0.064259,-1.846755,0.001211,0.000451,0.000054
2.795164,16950832,-0.025163,0.064256,-1.846888,0.001469,-0.000521,-0.000527
2.828219,16950865,-0.025186,0.064277,-1.847001,-0.001279,0.000910,-0.000166
2.862131,16950898,-0.025195,0.064292,-1.847103,-0.001399,0.001635,0.000068
2.891204,16950931,-0.025201,0.064312,-1.847242,0.001796,0.000379,-0.000466
2.928337,16950966,-0.025191,0.064338,-1.847388,0.001010,-0.000269,0.000261
2.960801,16950999,-0.025213,0.064355,-1.847513,0.000556,-0.000561,-0.000363
2.992031,16951034,-0.025234,0.064401,-1.847695,0.000367,0.000457,-0.000234
3.028641,16951066,-0.025228,0.064428,-1.847798,0.000930,0.001440,-0.000138
3.062036,16951101,-0.025226,0.064464,-1.847897,0.000678,0.000087,0.000143
3.091460,16951134,-0.025236,0.064488,-1.848020,0.001163,0.000812,-0.000815
3.128535,16951167,-0.025242,0.064525,-1.848159,0.000363,0.000738,0.000386
3.159155,16951201,-0.025247,0.064566,-1.848297,0.000660,0.000862,-0.000641
3.191113,16951233,-0.025284,0.064595,-1.848437,0.000587,0.000537,-0.000760
3.227971,16951268,-0.025301,0.064621,-1.848551,0.000069,-0.000090,0.000114
3.258232,16951301,-0.025313,0.064636,-1.848636,-0.001074,0.001443,-0.000529
3.263762,16951334,-0.025354,0.064667,-1.848756,0.001118,-0.000374,-0.000140
3.328305,16951362,-0.025352,0.064686,-1.848876,0.002212,0.000275,-0.000275
3.357937,16951398,-0.025335,0.064721,-1.848993,0.000188,0.000148,-0.000857
3.392686,16951431,-0.025359,0.064754,-1.849134,0.000583,0.000467,-0.000303
3.429149,16951460,-0.025359,0.064764,-1.849248,-0.000469,-0.000631,0.000146
3.457755,16951499,-0.025339,0.064775,-1.849339,0.002740,-0.001174,-0.000352
3.490122,16951531,-0.025363,0.064806,-1.849437,0.000793,0.000216,0.000064
3.528829,16951567,-0.025371,0.064834,-1.849528,-0.000078,0.000357,0.000113
3.558648,16951600,-0.025368,0.064856,-1.849622,0.000665,0.000566,0.000310
3.593993,16951631,-0.025361,0.064885,-1.849698,0.000711,0.000750,-0.000558
3.629086,16951669,-0.025349,0.064884,-1.849778,0.000658,0.000946,0.000470
3.661584,16951699,-0.025339,0.064874,-1.849838,0.002339,0.000824,0.000229
3.691516,16951729,-0.025331,0.064872,-1.849902,0.000500,0.000704,-0.000225
3.729257,16951764,-0.025322,0.064867,-1.850012,0.001032,0.001115,-0.000888
3.758245,16951797,-0.025315,0.064864,-1.850098,0.000800,0.001328,0.000214
3.791598,16951832,-0.025328,0.064831,-1.850202,0.001073,0.000053,-0.000228
3.827582,16951865,-0.025326,0.064813,-1.850270,0.000731,0.000559,0.000018
3.859150,16951900,-0.025331,0.064765,-1.850361,0.000510,-0.001315,-0.000010
3.890100,16951932,-0.025328,0.064754,-1.850433,0.001261,0.000073,0.000072
3.928473,16951969,-0.025327,0.064714,-1.850523,0.000808,0.000176,-0.000759
3.962964,16951999,-0.025329,0.064703,-1.850609,0.000402,0.000028,-0.000544
3.993231,16952036,-0.025334,0.064700,-1.850699,0.000891,0.000572,0.000680
4.027866,16952066,-0.025360,0.064705,-1.850752,0.000480,-0.000248,-0.000812
4.059370,16952102,-0.025360,0.064693,-1.850834,0.001158,-0.000270,0.000268
4.093990,16952134,-0.025405,0.064693,-1.850899,-0.001044,0.000536,0.000605
4.129212,16952169,-0.025424,0.064663,-1.850999,0.000078,-0.000412,0.000177
