t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
13.745430,16961658,780.1218,0.0000,42.00
13.844749,16961740,780.1230,0.0000,42.00
13.944887,16961859,780.1252,0.0000,42.00
14.044859,16961938,780.1296,0.0000,42.00
14.145701,16962058,780.1259,0.0000,42.00
14.239715,16962139,780.1272,0.0000,42.00
14.347584,16962258,780.1343,0.0000,42.00
14.446888,16962339,780.1445,0.0000,42.00
14.544648,16962461,780.1337,0.0000,42.00
14.643644,16962539,780.1318,0.0000,42.00
14.744760,16962660,780.1313,0.0000,41.70
14.845479,16962738,780.1292,0.0000,41.70
14.944364,16962860,780.1365,0.0000,41.70
15.044553,16962938,780.1418,0.0000,41.70
15.143967,16963058,780.1460,0.0000,41.70
15.241939,16963140,780.1382,0.0000,41.70
15.345050,16963259,780.1428,0.0000,41.70
15.444245,16963338,780.1382,0.0000,41.70
15.544608,16963458,780.1357,0.0000,41.70
15.644121,16963539,780.1292,0.0000,41.70
15.744161,16963659,780.1423,0.0000,41.70
15.846407,16963738,780.1438,0.0000,41.70
15.944136,16963858,780.1484,0.0000,41.70
16.045284,16963941,780.1454,0.0000,41.70
16.145149,16964060,780.1360,0.0000,41.70
16.243628,16964140,780.1311,0.0000,41.70
16.344233,16964265,780.1370,0.0000,41.70
16.440601,16964340,780.1450,0.0000,41.70
16.545047,16964459,780.1438,0.0000,41.70
16.640115,16964538,780.1409,0.0000,41.70
16.745534,16964658,780.1389,0.0000,41.30
16.844816,16964739,780.1374,0.0000,41.30
16.944816,16964859,780.1298,0.0000,41.30
17.044400,16964939,780.1315,0.0000,41.30
17.144290,16965058,780.1250,0.0000,41.30
17.244235,16965139,780.1257,0.0000,41.30
17.345204,16965258,780.1296,0.0000,41.30
17.444205,16965341,780.1220,0.0000,41.30
17.544961,16965460,780.1181,0.0000,41.30
17.646896,16965539,780.1254,0.0000,41.30
17.745473,16965660,780.1279,0.0000,41.30
17.844481,16965740,780.1331,0.0000,41.30
17.944646,16965859,780.1270,0.0000,41.30
18.044947,16965939,780.1304,0.0000,41.30
18.145201,16966059,780.1350,0.0000,41.30
18.244124,16966137,780.1274,0.0000,41.30
18.344296,16966259,780.1292,0.0000,41.30
18.445202,16966339,780.1345,0.0000,41.30
18.545360,16966459,780.1304,0.0000,41.30
18.643558,16966540,780.1318,0.0000,41.30
18.743781,16966658,780.1409,0.0000,41.70
18.843946,16966738,780.1418,0.0000,41.70
18.945175,16966858,780.1340,0.0000,41.70
19.045022,16966942,780.1169,0.0000,41.70
19.144935,16967059,780.1230,0.0000,41.70
