t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
13.755261,9795243,778.8804,0.0000,43.00
13.854516,9795369,778.8850,0.0000,43.00
13.955573,9795442,778.8826,0.0000,43.00
14.053911,9795565,778.8997,0.0000,42.70
14.154246,9795644,778.8982,0.0000,42.70
14.254082,9795765,778.8852,0.0000,42.70
14.354790,9795844,778.8882,0.0000,42.70
14.453815,9795964,778.8845,0.0000,42.70
14.554672,9796042,778.8904,0.0000,42.70
14.655088,9796164,778.8969,0.0000,42.70
14.753814,9796243,778.8938,0.0000,42.70
14.853263,9796365,778.8921,0.0000,42.70
14.954687,9796443,778.9047,0.0000,42.70
15.055578,9796562,778.8962,0.0000,42.70
15.154836,9796643,778.9001,0.0000,42.70
15.253241,9796763,778.9030,0.0000,42.70
15.354565,9796842,778.9036,0.0000,42.70
15.452725,9796964,778.8999,0.0000,42.70
15.553991,9797043,778.9055,0.0000,42.70
15.653042,9797164,778.8987,0.0000,42.70
15.754196,9797243,778.9089,0.0000,42.70
15.854525,9797363,778.9092,0.0000,42.70
15.954539,9797443,778.9092,0.0000,42.70
16.055745,9797566,778.9036,0.0000,42.30
16.152540,9797646,778.8969,0.0000,42.30
16.255197,9797765,778.9116,0.0000,42.30
16.353401,9797845,778.9177,0.0000,42.30
16.453727,9797964,778.9086,0.0000,42.30
16.552875,9798045,778.9067,0.0000,42.30
16.647060,9798165,778.9131,0.0000,42.30
16.754478,9798243,778.9094,0.0000,42.30
16.855051,9798364,778.9147,0.0000,42.30
16.954241,9798444,778.9228,0.0000,42.30
17.054731,9798565,778.9275,0.0000,42.30
17.154920,9798648,778.9231,0.0000,42.30
17.247679,9798764,778.9214,0.0000,42.30
17.355545,9798844,778.9150,0.0000,42.30
17.447164,9798965,778.9245,0.0000,42.30
17.554046,9799052,778.9309,0.0000,42.30
17.654681,9799164,778.9304,0.0000,42.30
17.754214,9799243,778.9260,0.0000,42.30
17.854560,9799365,778.9250,0.0000,42.30
17.953630,9799444,778.9214,0.0000,42.30
18.053695,9799562,778.9158,0.0000,42.30
18.154328,9799644,778.9133,0.0000,42.30
18.254683,9799764,778.9128,0.0000,42.30
18.357042,9799843,778.9055,0.0000,42.30
18.454018,9799964,778.9194,0.0000,42.30
18.552754,9800043,778.9136,0.0000,42.30
18.654873,9800164,778.9180,0.0000,42.30
18.753718,9800243,778.9143,0.0000,42.30
18.853441,9800363,778.9199,0.0000,42.30
18.953043,9800443,778.9167,0.0000,42.30
19.046727,9800562,778.9211,0.0000,42.30
19.154925,9800645,778.9189,0.0000,42.30
19.246210,9800763,778.9141,0.0000,42.30
19.354635,9800844,778.9041,0.0000,42.30
19.454645,9800963,778.9084,0.0000,42.30
19.553369,9801045,778.9072,0.0000,42.30
19.655711,9801164,778.9102,0.0000,42.30
19.753215,9801243,778.9214,0.0000,42.30
19.854679,9801363,778.9004,0.0000,42.30
19.954169,9801443,778.9125,0.0000,42.30
20.046382,9801562,778.9004,0.0000,42.30
20.155816,9801643,778.8938,0.0000,42.30
20.253880,9801764,778.8906,0.0000,42.30
20.355681,9801842,778.8845,0.0000,42.30
20.454819,9801963,778.8915,0.0000,42.30
20.554580,9802043,778.8984,0.0000,42.30
20.656842,9802163,778.8972,0.0000,42.30
20.754187,9802243,778.8948,0.0000,42.30
20.853688,9802367,778.8899,0.0000,42.30
20.954917,9802444,778.8906,0.0000,42.30
21.054769,9802563,778.8923,0.0000,42.30
21.155003,9802644,778.8967,0.0000,42.30
21.254664,9802764,778.8852,0.0000,42.30
21.356632,9802844,778.8837,0.0000,42.30
21.455054,9802966,778.8826,0.0000,42.30
