t_wall_s,t_boot_ms,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
4.259179,9784081,0.000040,0.066039,-1.178462,-0.000009,-0.000131,-0.000442
4.259278,9784113,0.000038,0.066025,-1.178466,-0.000289,0.001503,-0.000192
4.259278,9784145,0.000022,0.066020,-1.178459,-0.001138,0.000846,-0.000193
4.259278,9784180,0.000022,0.065998,-1.178445,0.000309,0.000153,0.000368
4.259278,9784214,0.000037,0.065985,-1.178459,-0.000399,0.000031,-0.000581
4.259425,9784248,0.000025,0.065993,-1.178455,-0.000266,0.000758,0.000682
4.259425,9784283,0.000041,0.065964,-1.178442,0.000720,0.000221,-0.000058
4.259425,9784314,0.000040,0.065969,-1.178457,0.000136,0.001603,-0.000728
4.259425,9784348,0.000036,0.065977,-1.178459,-0.000117,0.001563,0.000099
4.259425,9784382,0.000048,0.065963,-1.178460,0.000851,0.000782,-0.000364
4.259526,9784413,0.000044,0.065959,-1.178459,-0.000221,0.000346,0.000020
4.259526,9784450,0.000043,0.065936,-1.178442,0.000399,0.000210,0.000286
4.259526,9784478,0.000045,0.065929,-1.178433,-0.000112,0.001659,0.001224
4.259526,9784518,0.000042,0.065919,-1.178430,-0.001213,0.000941,-0.000031
4.259626,9784547,0.000053,0.065918,-1.178427,0.000015,-0.000019,-0.000191
4.259626,9784576,0.000038,0.065917,-1.178454,0.000113,0.001864,-0.000157
4.259626,9784611,0.000036,0.065918,-1.178450,0.000188,0.000766,-0.000056
4.259626,9784646,0.000034,0.065928,-1.178439,0.000485,0.000918,0.000757
4.259723,9784683,0.000028,0.065916,-1.178440,-0.000429,0.000195,-0.000895
4.259723,9784718,0.000024,0.065911,-1.178446,-0.001171,0.001188,-0.000265
4.259723,9784750,0.000026,0.065922,-1.178438,-0.000691,0.001443,0.000385
4.259723,9784784,0.000026,0.065939,-1.178426,0.000585,0.000754,0.000185
4.259818,9784817,0.000037,0.065941,-1.178421,-0.000052,0.001340,0.000149
4.259818,9784849,0.000030,0.065961,-1.178423,-0.000058,0.000212,-0.000038
4.259818,9784884,0.000026,0.065987,-1.178416,0.000133,-0.000068,-0.000892
4.259818,9784917,0.000008,0.066001,-1.178410,-0.000567,0.000743,0.000300
4.259818,9784949,-0.000009,0.066010,-1.178424,-0.000579,0.000640,-0.000609
4.259918,9784979,-0.000018,0.066025,-1.178421,-0.000031,0.000982,0.000109
4.259918,9785013,-0.000019,0.066045,-1.178411,0.000284,0.000301,0.000337
4.259918,9785046,-0.000031,0.066075,-1.178406,-0.000305,0.001365,-0.000777
4.259918,9785081,-0.000034,0.066095,-1.178399,0.000260,0.000976,0.000562
4.260012,9785113,-0.000029,0.066085,-1.178384,-0.000016,0.001272,0.000159
4.260012,9785151,-0.000033,0.066095,-1.178372,-0.000703,0.000408,0.000634
4.260012,9785178,-0.000048,0.066074,-1.178355,0.000040,0.001069,-0.000312
4.260012,9785213,-0.000051,0.066071,-1.178350,0.000377,0.000838,0.000789
4.260012,9785250,-0.000040,0.066075,-1.178330,0.000161,0.000492,0.000898
4.260103,9785279,-0.000042,0.066065,-1.178329,-0.000361,0.000519,-0.000260
4.260103,9785314,-0.000060,0.066071,-1.178305,-0.000225,0.001035,0.001353
4.260103,9785346,-0.000060,0.066069,-1.178292,-0.000495,-0.000065,-0.000386
4.260103,9785383,-0.000074,0.066052,-1.178306,-0.000409,0.001058,-0.000258
4.260200,9785415,-0.000057,0.066081,-1.178293,0.000029,0.001452,0.000055
4.260200,9785450,-0.000052,0.066085,-1.178284,0.000022,0.000651,0.000467
4.260200,9785483,-0.000056,0.066080,-1.178278,0.000610,-0.000186,0.000603
4.260200,9785515,-0.000046,0.066099,-1.178278,0.000066,0.001828,-0.000018
4.260298,9785547,-0.000045,0.066085,-1.178284,0.000368,0.000355,0.000651
4.260298,9785583,-0.000063,0.066072,-1.178275,-0.001288,0.000720,-0.000142
4.260298,9785615,-0.000045,0.066055,-1.178266,-0.000120,0.001536,-0.000664
4.260298,9785652,-0.000021,0.066037,-1.178265,0.000090,0.001014,0.000661
4.260298,9785682,-0.000027,0.066019,-1.178268,-0.000615,0.000929,0.000394
4.260395,9785714,-0.000024,0.065984,-1.178266,0.000395,0.000682,0.000691
4.260395,9785748,-0.000020,0.065986,-1.178277,0.000765,0.000845,-0.000050
4.260395,9785781,-0.000012,0.065975,-1.178287,-0.000446,0.000684,-0.000011
4.260395,9785818,-0.000023,0.065952,-1.178286,-0.000809,-0.000422,0.000136
4.260495,9785846,-0.000025,0.065936,-1.178311,-0.000485,0.000049,-0.000229
4.260495,9785885,-0.000039,0.065939,-1.178296,0.000201,0.001206,0.001020
4.261912,9785915,-0.000033,0.065919,-1.178289,-0.000207,0.000005,-0.000110
4.314585,9785951,-0.000036,0.065908,-1.178300,-0.000444,0.000899,-0.000519
4.352662,9785985,-0.000023,0.065913,-1.178312,-0.000136,0.000762,0.000371
4.383313,9786012,-0.000018,0.065930,-1.178304,-0.000111,0.000526,0.000316
4.414044,9786050,-0.000033,0.065914,-1.178352,0.000102,0.000902,-0.000532
4.452323,9786080,-0.000034,0.065926,-1.178359,-0.000578,0.001300,0.000060
4.481781,9786115,-0.000033,0.065945,-1.178372,-0.000226,-0.000190,0.000043
4.512992,9786148,-0.000043,0.065955,-1.178383,0.000383,0.000708,-0.000509
