t_wall_s,cpu_silver_max_C,cpu_gold_max_C,gpu_max_C,ddr_max_C,modem_max_C,dcvs_max_C,hal_cpu_C,hal_skin_C,hal_usb_C,hal_pa_C,thermal_status,battery_C,battery_level_pct,battery_voltage_mV,battery_status,throttle_ratio_gold,throttle_ratio_silver,cpu0_cur_khz,cpu0_scmax_khz,cpu0_hwmax_khz,cpu1_cur_khz,cpu1_scmax_khz,cpu1_hwmax_khz,cpu2_cur_khz,cpu2_scmax_khz,cpu2_hwmax_khz,cpu3_cur_khz,cpu3_scmax_khz,cpu3_hwmax_khz,cpu4_cur_khz,cpu4_scmax_khz,cpu4_hwmax_khz,cpu5_cur_khz,cpu5_scmax_khz,cpu5_hwmax_khz,cpu6_cur_khz,cpu6_scmax_khz,cpu6_hwmax_khz,cpu7_cur_khz,cpu7_scmax_khz,cpu7_hwmax_khz
1777822195.539,59.70,63.40,45.30,45.80,46.10,75.00,41.30,34.80,35.60,37.80,0,34.8,100,4222,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822196.539,70.90,77.80,47.30,51.00,48.70,75.00,41.30,34.80,35.60,37.80,0,34.8,100,4222,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822197.539,74.20,81.10,49.60,53.30,50.70,75.00,41.30,34.80,35.60,37.80,0,34.8,100,4222,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822198.539,76.50,83.40,50.90,54.90,52.30,75.00,41.30,34.80,35.60,37.80,0,34.8,100,4222,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822199.539,77.80,84.40,52.20,56.20,53.60,75.00,41.30,34.80,35.60,37.80,0,34.8,100,4222,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822200.539,78.10,84.70,53.20,57.20,54.60,75.00,41.30,34.80,35.60,37.80,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822201.539,78.50,85.00,53.80,57.90,55.30,75.00,41.30,34.80,35.60,37.80,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822202.539,78.80,85.40,54.50,57.90,55.60,75.00,41.30,34.80,35.60,37.80,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822203.539,78.50,85.00,54.80,58.50,55.90,75.00,41.30,34.80,35.60,37.80,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822204.539,79.10,85.00,55.50,59.20,56.60,75.00,41.30,34.80,35.60,37.80,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822205.539,80.40,86.00,56.10,59.50,57.20,75.00,41.30,34.80,35.60,37.80,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822206.539,79.10,84.70,56.10,59.50,56.90,75.00,41.30,34.80,35.60,37.80,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822207.539,80.10,84.70,56.10,59.50,57.20,75.00,41.30,34.80,35.60,37.80,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822208.539,79.80,85.70,56.50,59.50,56.90,75.00,41.30,34.80,35.60,37.80,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822209.539,80.40,84.70,56.80,59.80,57.50,75.00,53.90,37.10,35.90,39.50,0,34.9,100,4142,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822210.539,79.80,85.00,56.50,59.80,57.50,75.00,53.90,37.10,35.90,39.50,0,34.9,100,4131,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822211.539,79.80,84.70,56.80,59.80,57.90,75.00,53.90,37.10,35.90,39.50,0,34.9,100,4131,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822212.539,80.80,84.10,57.10,60.80,58.90,75.00,53.90,37.10,35.90,39.50,0,34.9,100,4131,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822213.539,79.80,84.70,57.10,60.20,58.20,75.00,53.90,37.10,35.90,39.50,0,34.9,100,4131,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822214.539,80.10,84.70,57.10,60.50,58.20,75.00,53.90,37.10,35.90,39.50,0,34.9,100,4131,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822215.539,80.10,84.70,57.10,60.20,57.90,75.00,53.90,37.10,35.90,39.50,0,34.9,100,4131,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822216.539,80.80,84.70,57.40,60.50,58.20,75.00,53.90,37.10,35.90,39.50,0,34.9,100,4131,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
1777822217.539,80.10,85.70,57.10,60.50,58.20,75.00,53.90,37.10,35.90,39.50,0,34.9,100,4131,5,0.9452,1.0000,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,1766400,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200,2649600,2649600,2803200
