t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
13.750508,18646340,780.1946,0.0000,41.30
13.852311,18646458,780.1845,0.0000,41.30
13.952477,18646539,780.1858,0.0000,41.30
14.053828,18646660,780.1956,0.0000,41.30
14.151904,18646740,780.2034,0.0000,41.30
14.250491,18646860,780.2055,0.0000,41.30
14.354040,18646939,780.1968,0.0000,41.30
14.453707,18647060,780.2046,0.0000,41.30
14.554138,18647138,780.2026,0.0000,41.30
14.648261,18647259,780.1953,0.0000,41.30
14.753260,18647341,780.1957,0.0000,41.30
14.853546,18647458,780.1992,0.0000,41.30
14.953849,18647540,780.1956,0.0000,41.00
15.054085,18647659,780.2034,0.0000,41.00
15.152506,18647739,780.1936,0.0000,41.00
15.253522,18647858,780.1912,0.0000,41.00
15.352366,18647937,780.1892,0.0000,41.00
15.453373,18648060,780.2016,0.0000,41.00
15.548844,18648139,780.1996,0.0000,41.00
15.652045,18648259,780.2107,0.0000,41.00
15.753504,18648340,780.1977,0.0000,41.00
15.852329,18648458,780.1938,0.0000,41.00
15.955038,18648539,780.1870,0.0000,41.00
16.053085,18648658,780.1865,0.0000,41.00
16.154172,18648741,780.1951,0.0000,41.00
16.253042,18648858,780.2051,0.0000,41.00
16.353969,18648940,780.1992,0.0000,41.00
16.453599,18649061,780.1851,0.0000,41.00
16.552261,18649140,780.1929,0.0000,41.00
16.653059,18649259,780.1868,0.0000,41.00
16.753878,18649341,780.1816,0.0000,41.00
16.854316,18649462,780.1829,0.0000,41.00
16.953956,18649538,780.1801,0.0000,41.30
17.053213,18649660,780.1845,0.0000,41.30
17.154027,18649739,780.1912,0.0000,41.30
17.252863,18649859,780.1797,0.0000,41.30
17.354097,18649939,780.1775,0.0000,41.30
17.444203,18650060,780.1760,0.0000,41.30
17.552915,18650140,780.1873,0.0000,41.30
17.653522,18650260,780.1823,0.0000,41.30
17.753614,18650339,780.1829,0.0000,41.30
17.853497,18650458,780.1848,0.0000,41.30
