time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,accel_meas_x,accel_meas_y,accel_meas_z,gyro_meas_x,gyro_meas_y,gyro_meas_z,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0117,0.0000,8.3617,4.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0704,0.3634,-0.0043,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,4.0000,0.0000,-0.7131,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-6.3445,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-4.0000,-0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.100,-0.7633,-0.7459,4.8712,4.9868,4393519.0298,4259900.7930,1795675.2060,1200.0133,0.2319,0.190241,10.9000,-0.676544,-38.7631,0.0186,0.1000,21.3753,6.3954,0.991445,-0.000004,0.130526,0.000000,-0.0004,15.0000,-0.0000,-0.000000,-0.000044,-0.000061,-0.0000,-0.0025,-0.0035,771.6687,-0.6123,-0.2735,771.6578,-0.6345,-0.2565,-0.0000,-0.0024,-0.0033,12.7107,LAUNCH,-2.570795,-1.830432,4.110522,-2.567278,0.000000,0.000000,-0.000627,0.002281,-0.000468,0.001703,-0.000000,-0.002346,-0.003290,-0.000068,0.981680,0.572017,0.2319,0.0133,-0.0002,4.9740,0.3565,-0.0042,5.9749,0.6068,-0.0038,6.1886,-0.0049,-0.0022,0.000084,0.000472,-0.000440,0.000396,-0.000150,-0.000112,0.000128,-0.0000,4.0000,-0.0000,-0.7131,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-2.2449,-0.0483,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.1907,6.1907,6.1907,-0.0049,-0.0022,343.0559,1,0.551908,4.9740,-0.0042,-0.3565,4.9740,-0.0042,-0.3565,4.9740,-4.0042,-0.3565,-0.000003,-0.002060,-0.002899,-0.0001,-0.1180,-0.1661,-0.000000,-0.002383,-0.003350,16.45747410,44.11536100,1200.0133,60.754264,-0.009286,-0.018213,0.002254,0.000892,-0.001779,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.200,-1.5430,-1.5071,10.6611,10.8771,4393518.9146,4259900.6804,1795675.9801,1200.0781,1.0197,0.174141,9.9775,-0.352993,-20.2250,0.0338,0.1000,70.2242,11.5920,0.991447,-0.000010,0.130510,-0.000023,-0.0016,14.9981,-0.0028,-0.000001,-0.000902,-0.001331,-0.0001,-0.0517,-0.0763,791.1349,-0.2132,-0.5107,791.1866,-0.6505,-0.2630,-0.0000,-0.0239,-0.0359,12.6763,LAUNCH,-2.373737,-1.683926,4.110306,-2.566667,0.000000,0.000000,-0.000757,0.002755,-0.000576,0.002093,-0.000001,-0.023292,-0.035503,-0.000147,0.960191,0.571938,1.0199,0.0781,-0.0008,10.8354,0.9518,-0.0079,6.4022,0.7252,0.0012,6.3620,-0.0017,-0.0041,0.000103,0.000569,-0.000534,0.000482,-0.000181,-0.000138,0.000155,-0.0000,4.0000,-0.0000,-0.7108,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-1.3244,-0.0419,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.3641,6.3641,6.3641,-0.0017,-0.0041,343.0557,1,0.483038,10.8354,-0.0079,-0.9518,10.8354,-0.0079,-0.9518,10.8354,-4.0079,-0.9518,-0.000033,-0.020640,-0.031120,-0.0019,-1.1826,-1.7830,-0.000001,-0.023837,-0.035907,16.45748121,44.11536099,1200.0781,62.454701,0.022071,-0.036986,0.002253,0.000033,-0.003050,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.300,-2.3314,-2.2699,16.8859,17.1966,4393518.7209,4259900.4915,1795677.3545,1200.2080,2.4141,0.164580,9.4298,-0.228443,-13.0888,0.0515,0.1000,162.9324,17.6572,0.991466,-0.000042,0.130365,-0.000236,-0.0086,14.9814,-0.0284,-0.000019,-0.006315,-0.009083,-0.0011,-0.3618,-0.5204,849.4483,1.0303,-1.5450,849.7211,-0.6987,-0.2824,-0.0000,-0.1214,-0.1604,12.6395,LAUNCH,-2.247388,-1.588654,3.018504,-2.134532,0.000000,0.000000,-0.000766,0.002786,-0.000583,0.002122,-0.000018,-0.118295,-0.158942,-0.000231,0.937188,0.571853,2.4146,0.2080,-0.0016,17.1160,1.6632,-0.0067,6.5536,0.7762,0.0098,6.8507,0.0083,-0.0125,0.000105,0.000576,-0.000541,0.000488,-0.000183,-0.000139,0.000157,-0.0000,4.0000,-0.0000,-0.7084,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.7942,-0.0225,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.8531,6.8531,6.8531,0.0083,-0.0125,343.0553,1,0.472848,17.1160,-0.0067,-1.6632,17.1160,-0.0067,-1.6633,17.1160,-4.0067,-1.6632,-0.000515,-0.105011,-0.139042,-0.0295,-6.0167,-7.9665,-0.000018,-0.121087,-0.160179,16.45749381,44.11536098,1200.2080,67.249755,0.120403,-0.118935,0.002236,-0.005380,-0.010801,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.400,-3.1215,-3.0225,23.2673,23.6696,4393518.4482,4259900.2267,1795679.3635,1200.4126,4.4481,0.157334,9.0146,-0.164931,-9.4499,0.0700,0.1000,301.1252,24.0047,0.991560,-0.000174,0.129646,-0.001186,-0.0387,14.8983,-0.1421,-0.000106,-0.025782,-0.032791,-0.0061,-1.4772,-1.8788,819.5338,3.7137,-4.5354,820.4584,-0.6746,-0.2727,-0.0000,-0.3309,-0.4041,12.6020,LAUNCH,-2.221339,-1.264385,2.242909,-1.573933,0.152633,-0.554985,-0.069120,0.251388,-0.003951,0.014368,-0.000023,-0.321593,-0.400326,-0.000318,0.913671,0.571767,4.4490,0.4126,-0.0019,23.5450,2.4247,0.0029,6.2957,0.7271,0.0144,6.6292,0.0300,-0.0367,0.016996,0.016152,-0.017944,-0.015010,-0.016526,-0.000945,0.000048,-0.0000,4.0000,-0.0000,-0.7043,6.3442,0.0000,-0.033737,-0.002415,-0.000288,2.4960,0,1,-0.4644,0.0070,0.035863,0.031033,-0.036440,-0.031610,1.000000,[],6.6316,6.6314,6.6314,0.0301,-0.0367,343.0546,1,0.469200,23.5450,0.0029,-2.4247,23.5450,0.0029,-2.4248,23.5450,-3.9971,-2.4247,-0.000622,-0.286142,-0.350289,-0.0356,-16.3947,-20.0701,-0.000023,-0.329420,-0.402888,16.45751220,44.11536098,1200.4126,65.076128,0.333580,-0.356594,0.002148,-0.024847,-0.034509,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.500,-3.8964,-3.7541,29.3925,29.8864,4393518.0971,4259899.8878,1795681.9983,1200.6910,7.1128,0.150287,8.6108,-0.124710,-7.1454,0.0879,0.1000,475.0450,30.1506,0.991834,-0.000538,0.127473,-0.003903,-0.1221,14.6468,-0.4666,0.000168,-0.065369,-0.081604,0.0096,-3.7454,-4.6755,788.9294,7.5685,-10.8616,791.1823,-0.6505,-0.2630,0.0003,-0.5670,-0.7286,12.5659,LAUNCH,-2.219172,-0.866316,1.687895,-1.139931,0.284356,-1.031279,-0.157580,0.572872,-0.013125,0.047737,0.000345,-0.548394,-0.721597,-0.000401,0.891121,0.571684,7.1141,0.6910,-0.0009,29.7211,3.1381,0.0170,6.1928,0.7250,-0.0078,6.3999,0.0614,-0.0881,0.039954,0.034719,-0.041489,-0.034172,-0.037584,-0.003138,-0.000247,-0.0000,4.0000,-0.0000,-0.6981,6.3440,0.0000,-0.060288,-0.006021,-0.000581,2.5190,0,1,-0.3168,0.0328,0.065728,0.053685,-0.066890,-0.054848,1.000000,[],6.4030,6.4021,6.4021,0.0614,-0.0881,343.0537,1,0.459359,29.7211,0.0170,-3.1381,29.7211,0.0170,-3.1381,29.7211,-3.9830,-3.1381,0.009851,-0.489534,-0.631804,0.5644,-28.0483,-36.1997,0.000345,-0.562685,-0.725572,16.45753627,44.11536099,1200.6910,62.827139,0.641189,-0.861067,0.002423,-0.064434,-0.083322,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.600,-4.6370,-4.4829,35.4202,36.0026,4393517.6701,4259899.4761,1795685.2382,1201.0401,10.3874,0.139133,7.9717,-0.090952,-5.2111,0.1056,0.1056,685.6456,36.2231,0.992364,-0.001254,0.122952,-0.009741,-0.2886,14.1229,-1.1605,0.002549,-0.115176,-0.156648,0.1460,-6.5991,-8.9753,796.8099,10.2850,-19.7189,800.9165,-0.6585,-0.2662,0.0014,-0.4590,-0.8999,12.5305,POWERED_ASCENT,-2.179836,-0.367599,1.202785,-0.752932,0.356906,-1.295364,-0.263382,0.955501,-0.027635,0.100494,0.001426,-0.434798,-0.890573,-0.000483,0.868961,0.571602,10.3893,1.0401,0.0009,35.7962,3.8493,0.0094,6.2610,0.7250,-0.1083,6.4821,0.0837,-0.1604,0.067549,0.055414,-0.069687,-0.055414,-0.062016,-0.006602,-0.000534,0.0000,4.0000,0.0000,-0.6904,6.3439,-0.0000,-0.073471,-0.009283,-0.000781,2.6620,0,1,-0.2062,0.0151,0.081973,0.063407,-0.083535,-0.064969,1.000000,[],6.4869,6.4844,6.4844,0.0837,-0.1605,343.0526,1,0.448121,35.7962,0.0094,-3.8493,35.7962,0.0094,-3.8494,35.7962,-3.9906,-3.8493,0.040601,-0.392024,-0.780199,2.3263,-22.4613,-44.7021,0.001426,-0.449488,-0.894942,16.45756586,44.11536101,1201.0401,63.633748,0.859690,-1.570374,0.004803,-0.114241,-0.158366,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.700,-5.3225,-5.2956,41.5122,42.1857,4393517.1716,4259898.9883,1795689.0842,1201.4608,14.2726,0.124840,7.1528,-0.058199,-3.3345,0.1236,0.1236,938.6750,42.3840,0.993002,-0.002256,0.116480,-0.019325,-0.5290,13.3702,-2.2918,0.007899,-0.138905,-0.224750,0.4526,-7.9587,-12.8772,795.4816,8.4654,-25.1992,800.9481,-0.6586,-0.2662,0.0024,-0.0679,-0.6191,12.4947,POWERED_ASCENT,-2.040812,-0.028327,0.732481,-0.377513,0.383130,-1.390889,-0.319383,1.158873,-0.041873,0.152205,0.002355,-0.045871,-0.611310,-0.000565,0.846540,0.571519,14.2753,1.4607,-0.0023,41.9383,4.5606,-0.0969,6.3495,0.6996,-0.2809,6.4899,0.0691,-0.2056,0.083671,0.064625,-0.085946,-0.065077,-0.074830,-0.009979,-0.000682,-0.0000,4.0000,-0.0000,-0.6897,6.3437,0.0000,-0.077684,-0.010900,-0.000840,2.6910,0,1,-0.1374,-0.1324,0.087744,0.065944,-0.089424,-0.067623,1.000000,[],6.4957,6.4921,6.4921,0.0691,-0.2057,343.0512,1,0.435718,41.9383,-0.0969,-4.5606,41.9383,-0.0969,-4.5607,41.9383,-4.0969,-4.5606,0.067076,-0.048574,-0.535499,3.8432,-2.7831,-30.6818,0.002355,-0.053694,-0.614307,16.45760097,44.11536098,1201.4608,63.709581,0.716408,-2.013493,0.010154,-0.137970,-0.226469,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.800,-5.9251,-6.2636,47.6802,48.4535,4393516.6083,4259898.4118,1795693.5437,1201.9515,18.7768,0.111000,6.3598,-0.026921,-1.5425,0.1418,0.1418,1236.6216,48.6490,0.993463,-0.003243,0.109667,-0.031537,-0.7844,12.5737,-3.7229,0.015298,-0.128511,-0.258039,0.8765,-7.3631,-14.7845,784.2142,4.3023,-30.1700,791.1927,-0.6505,-0.2630,0.0027,0.2519,-0.1354,12.4585,POWERED_ASCENT,-1.858148,0.127807,0.301819,-0.061498,0.347136,-1.260004,-0.327510,1.188648,-0.043272,0.157224,0.002716,0.272649,-0.131194,-0.000649,0.823846,0.571436,18.7804,1.9515,-0.0242,48.1671,5.2469,-0.3724,6.4208,0.6707,-0.4950,6.4165,0.0352,-0.2469,0.085835,0.066011,-0.087920,-0.066596,-0.076590,-0.010287,-0.000667,-0.0000,4.0000,-0.0000,-0.6931,6.3435,0.0005,-0.072836,-0.007473,-0.000763,2.6450,0,1,-0.1268,-0.4434,0.079546,0.064600,-0.081073,-0.066126,1.000000,[],6.4236,6.4187,6.4187,0.0352,-0.2469,343.0496,1,0.422220,48.1671,-0.3724,-5.2469,48.1671,-0.3724,-5.2470,48.1671,-4.3724,-5.2469,0.077268,0.233465,-0.114116,4.4271,13.3765,-6.5383,0.002716,0.271497,-0.132627,16.45764168,44.11536077,1201.9515,62.990164,0.384220,-2.418343,0.017553,-0.127576,-0.259758,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.900,-6.4152,-7.4152,53.9074,54.7919,4393515.9903,4259897.7294,1795698.6220,1202.5091,23.9065,0.100090,5.7348,0.000292,0.0167,0.1603,0.1603,1580.4947,55.0001,0.993590,-0.003883,0.103913,-0.044337,-0.9914,11.8968,-5.2134,0.022540,-0.098143,-0.246644,1.2914,-5.6232,-14.1317,811.8563,-1.6013,-34.8870,820.4757,-0.6746,-0.2727,0.0024,0.3540,0.3669,12.4219,POWERED_ASCENT,-1.682697,0.138256,-0.044183,0.134286,0.279503,-1.014576,-0.303896,1.103091,-0.025224,0.091607,0.002358,0.376956,0.366133,-0.000733,0.800965,0.571351,23.9109,2.5091,-0.0838,54.4660,5.9048,-0.8580,6.4936,0.6611,-0.7158,6.6623,-0.0131,-0.2863,0.076219,0.064913,-0.077962,-0.065343,-0.071109,-0.005981,-0.000543,-0.0000,4.0000,-0.0000,-0.6998,6.3432,0.0018,-0.064309,0.000521,-0.000660,2.4850,0,1,-0.1563,-0.9043,0.063128,0.064170,-0.064448,-0.065490,1.000000,[],6.6707,6.6645,6.6645,-0.0131,-0.2864,343.0478,1,0.408036,54.4660,-0.8580,-5.9048,54.4660,-0.8580,-5.9050,54.4660,-4.8580,-5.9048,0.066967,0.326923,0.322606,3.8369,18.7313,18.4840,0.002358,0.379618,0.365749,16.45768803,44.11536022,1202.5091,65.400681,-0.090019,-2.805199,0.024794,-0.097208,-0.248363,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
