time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,accel_meas_x,accel_meas_y,accel_meas_z,gyro_meas_x,gyro_meas_y,gyro_meas_z,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0117,0.0000,8.3617,4.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0704,0.3634,-0.0043,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,4.0000,0.0000,-0.7131,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-6.3445,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-4.0000,-0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.100,-0.7633,-0.7459,4.8712,4.9868,4393519.0298,4259900.7930,1795675.2060,1200.0133,0.2319,0.190241,10.9000,-0.676544,-38.7631,0.0186,0.1000,21.3753,6.3954,0.991445,-0.000004,0.130526,0.000000,-0.0004,15.0000,-0.0000,-0.000000,-0.000044,-0.000061,-0.0000,-0.0025,-0.0035,771.6687,-0.6123,-0.2735,771.6578,-0.6345,-0.2565,-0.0000,-0.0024,-0.0033,12.7107,LAUNCH,-2.570795,-1.830432,4.110522,-2.567278,0.000000,0.000000,-0.000627,0.002281,-0.000468,0.001703,-0.000000,-0.002346,-0.003290,-0.000068,0.981680,0.572017,0.2319,0.0133,-0.0002,4.9740,0.3565,-0.0042,5.9749,0.6068,-0.0038,6.1886,-0.0049,-0.0022,0.000084,0.000472,-0.000440,0.000396,-0.000150,-0.000112,0.000128,-0.0000,4.0000,-0.0000,-0.7131,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-2.2449,-0.0483,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.1907,6.1907,6.1907,-0.0049,-0.0022,343.0559,1,0.551908,4.9740,-0.0042,-0.3565,4.9740,-0.0042,-0.3565,4.9740,-4.0042,-0.3565,-0.000003,-0.002060,-0.002899,-0.0001,-0.1180,-0.1661,-0.000000,-0.002383,-0.003350,16.45747410,44.11536100,1200.0133,60.754264,-0.009286,-0.018213,0.002254,0.000892,-0.001779,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.200,-1.5430,-1.5071,10.6611,10.8771,4393518.9146,4259900.6804,1795675.9801,1200.0781,1.0197,0.174141,9.9775,-0.352993,-20.2250,0.0338,0.1000,70.2242,11.5920,0.991447,-0.000010,0.130510,-0.000023,-0.0016,14.9981,-0.0028,-0.000001,-0.000902,-0.001331,-0.0001,-0.0517,-0.0763,791.1349,-0.2132,-0.5107,791.1866,-0.6505,-0.2630,-0.0000,-0.0239,-0.0359,12.6763,LAUNCH,-2.373737,-1.683926,4.110306,-2.566667,0.000000,0.000000,-0.000757,0.002755,-0.000576,0.002093,-0.000001,-0.023292,-0.035503,-0.000147,0.960191,0.571938,1.0199,0.0781,-0.0008,10.8354,0.9518,-0.0079,6.4022,0.7252,0.0012,6.3620,-0.0017,-0.0041,0.000103,0.000569,-0.000534,0.000482,-0.000181,-0.000138,0.000155,-0.0000,4.0000,-0.0000,-0.7108,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-1.3244,-0.0419,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.3641,6.3641,6.3641,-0.0017,-0.0041,343.0557,1,0.483038,10.8354,-0.0079,-0.9518,10.8354,-0.0079,-0.9518,10.8354,-4.0079,-0.9518,-0.000033,-0.020640,-0.031120,-0.0019,-1.1826,-1.7830,-0.000001,-0.023837,-0.035907,16.45748121,44.11536099,1200.0781,62.454701,0.022071,-0.036986,0.002253,0.000033,-0.003050,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.300,-2.3314,-2.2699,16.8859,17.1966,4393518.7209,4259900.4915,1795677.3545,1200.2080,2.4141,0.164580,9.4298,-0.228443,-13.0888,0.0515,0.1000,162.9324,17.6572,0.991466,-0.000042,0.130365,-0.000236,-0.0086,14.9814,-0.0284,-0.000019,-0.006315,-0.009083,-0.0011,-0.3618,-0.5204,849.4483,1.0303,-1.5450,849.7211,-0.6987,-0.2824,-0.0000,-0.1214,-0.1604,12.6395,LAUNCH,-2.247388,-1.588654,3.018504,-2.134532,0.000000,0.000000,-0.000766,0.002786,-0.000583,0.002122,-0.000018,-0.118295,-0.158942,-0.000231,0.937188,0.571853,2.4146,0.2080,-0.0016,17.1160,1.6632,-0.0067,6.5536,0.7762,0.0098,6.8507,0.0083,-0.0125,0.000105,0.000576,-0.000541,0.000488,-0.000183,-0.000139,0.000157,-0.0000,4.0000,-0.0000,-0.7084,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.7942,-0.0225,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.8531,6.8531,6.8531,0.0083,-0.0125,343.0553,1,0.472848,17.1160,-0.0067,-1.6632,17.1160,-0.0067,-1.6633,17.1160,-4.0067,-1.6632,-0.000515,-0.105011,-0.139042,-0.0295,-6.0167,-7.9665,-0.000018,-0.121087,-0.160179,16.45749381,44.11536098,1200.2080,67.249755,0.120403,-0.118935,0.002236,-0.005380,-0.010801,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.400,-3.1215,-3.0225,23.2673,23.6696,4393518.4482,4259900.2267,1795679.3635,1200.4126,4.4481,0.157330,9.0143,-0.164931,-9.4498,0.0700,0.1000,301.1256,24.0047,0.991560,-0.000174,0.129642,-0.001186,-0.0387,14.8978,-0.1421,-0.000130,-0.026259,-0.032801,-0.0075,-1.5045,-1.8793,819.5338,3.7152,-4.4853,820.4584,-0.6746,-0.2727,-0.0001,-0.3554,-0.4048,12.6020,LAUNCH,-2.195227,-1.359182,2.243661,-1.576681,0.100812,-0.366652,-0.043008,0.156419,-0.003194,0.011616,-0.000060,-0.345705,-0.401025,-0.000318,0.913671,0.571767,4.4490,0.4126,-0.0019,23.5451,2.4246,0.0029,6.2962,0.7255,0.0144,6.6292,0.0301,-0.0363,0.010703,0.010110,-0.011390,-0.008928,-0.010283,-0.000764,0.000124,-0.0000,4.0000,-0.0000,-0.7042,6.3442,0.0000,-0.022035,-0.001777,-0.000291,2.4960,0,1,-0.4646,0.0071,0.023521,0.019968,-0.024103,-0.020550,1.000000,[],6.6316,6.6314,6.6314,0.0301,-0.0363,343.0546,1,0.469200,23.5451,0.0029,-2.4246,23.5451,0.0029,-2.4247,23.5451,-3.9971,-2.4246,-0.001659,-0.307430,-0.350898,-0.0951,-17.6144,-20.1050,-0.000060,-0.353928,-0.403588,16.45751220,44.11536098,1200.4126,65.076128,0.333698,-0.352619,0.002124,-0.025324,-0.034519,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.500,-3.8976,-3.7553,29.3925,29.8866,4393518.0971,4259899.8877,1795681.9983,1200.6910,7.1128,0.150080,8.5989,-0.124700,-7.1448,0.0879,0.1000,475.0533,30.1509,0.991851,-0.000544,0.127342,-0.003907,-0.1228,14.6317,-0.4671,0.000010,-0.071342,-0.081854,0.0006,-4.0876,-4.6899,788.9292,7.5809,-10.6062,791.1823,-0.6505,-0.2630,0.0003,-0.6848,-0.7347,12.5659,LAUNCH,-2.165619,-1.049396,1.690395,-1.149460,0.210606,-0.764609,-0.106239,0.386389,-0.010462,0.038050,0.000319,-0.664310,-0.727655,-0.000401,0.891121,0.571684,7.1141,0.6910,-0.0009,29.7216,3.1364,0.0171,6.1951,0.7163,-0.0078,6.3999,0.0615,-0.0860,0.027190,0.023157,-0.028613,-0.022641,-0.025400,-0.002501,-0.000226,-0.0000,4.0000,-0.0000,-0.6972,6.3440,0.0000,-0.044252,-0.004944,-0.000646,2.5770,0,1,-0.3201,0.0329,0.048550,0.038663,-0.049842,-0.039954,1.000000,[],6.4030,6.4021,6.4021,0.0615,-0.0861,343.0537,1,0.459376,29.7216,0.0171,-3.1364,29.7216,0.0171,-3.1364,29.7216,-3.9829,-3.1364,0.009135,-0.592032,-0.637093,0.5234,-33.9209,-36.5027,0.000319,-0.680516,-0.731635,16.45753627,44.11536099,1200.6910,62.827126,0.642180,-0.840741,0.002264,-0.070407,-0.083572,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.600,-4.6445,-4.4902,35.4199,36.0042,4393517.6697,4259899.4757,1795685.2382,1201.0395,10.3875,0.137813,7.8961,-0.090877,-5.2069,0.1056,0.1056,685.7068,36.2247,0.992462,-0.001275,0.122155,-0.009776,-0.2905,14.0308,-1.1644,0.002425,-0.138477,-0.157848,0.1389,-7.9342,-9.0440,796.8090,10.3120,-18.9955,800.9165,-0.6585,-0.2662,0.0016,-0.7204,-0.9160,12.5305,POWERED_ASCENT,-2.098581,-0.585237,1.205645,-0.766477,0.298769,-1.083542,-0.198432,0.720577,-0.023645,0.085984,0.001552,-0.692285,-0.906676,-0.000483,0.868961,0.571602,10.3895,1.0395,0.0009,35.7990,3.8391,0.0094,6.2683,0.6976,-0.1093,6.4821,0.0839,-0.1545,0.051547,0.041302,-0.053753,-0.041404,-0.047001,-0.005649,-0.000577,0.0000,4.0000,0.0000,-0.6872,6.3439,-0.0000,-0.060730,-0.008516,-0.000947,2.7980,0,1,-0.2228,0.0150,0.068299,0.051266,-0.070194,-0.053161,1.000000,[],6.4867,6.4843,6.4843,0.0839,-0.1546,343.0526,1,0.448183,35.7990,0.0094,-3.8391,35.7990,0.0094,-3.8392,35.7990,-3.9906,-3.8391,0.044236,-0.620052,-0.794210,2.5345,-35.5264,-45.5049,0.001552,-0.711218,-0.911055,16.45756587,44.11536101,1201.0395,63.633673,0.861846,-1.512640,0.004680,-0.137542,-0.159567,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.700,-5.3494,-5.3230,41.5110,42.1914,4393517.1696,4259898.9863,1795689.0841,1201.4580,14.2733,0.120663,6.9135,-0.057940,-3.3197,0.1236,0.1236,938.9323,42.3898,0.993292,-0.002283,0.113958,-0.019454,-0.5276,13.0793,-2.3046,0.008956,-0.184155,-0.227286,0.5132,-10.5513,-13.0225,795.4784,8.4445,-23.9864,800.9481,-0.6586,-0.2662,0.0032,-0.2605,-0.6254,12.4947,POWERED_ASCENT,-1.941011,-0.145768,0.730606,-0.381290,0.369048,-1.339635,-0.273791,0.993384,-0.039987,0.145352,0.003199,-0.236108,-0.617596,-0.000565,0.846540,0.571519,14.2760,1.4580,-0.0024,41.9481,4.5234,-0.0978,6.3646,0.6390,-0.2842,6.4898,0.0689,-0.1957,0.072465,0.054394,-0.075272,-0.055224,-0.064339,-0.009530,-0.000909,-0.0000,4.0000,-0.0000,-0.6833,6.3437,0.0000,-0.073185,-0.011838,-0.001177,2.5400,0,1,-0.1890,-0.1336,0.083846,0.060171,-0.086200,-0.062524,1.000000,[],6.4954,6.4921,6.4921,0.0689,-0.1958,343.0512,1,0.435855,41.9481,-0.0978,-4.5234,41.9481,-0.0978,-4.5235,41.9481,-4.0978,-4.5234,0.091099,-0.217437,-0.540448,5.2196,-12.4582,-30.9654,0.003199,-0.246915,-0.620586,16.45760098,44.11536098,1201.4580,63.709322,0.714739,-1.916430,0.011211,-0.183220,-0.229004,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.800,-5.9937,-6.3360,47.6765,48.4677,4393516.6018,4259898.4050,1795693.5434,1201.9424,18.7792,0.102907,5.8961,-0.026478,-1.5171,0.1419,0.1419,1237.3607,48.6635,0.993999,-0.003172,0.104623,-0.031779,-0.7588,11.9928,-3.7421,0.019780,-0.180351,-0.258600,1.1333,-10.3334,-14.8167,784.2060,4.0855,-28.2629,791.1926,-0.6505,-0.2630,0.0041,0.3494,-0.0686,12.4585,POWERED_ASCENT,-1.738618,0.171881,0.288435,-0.030254,0.377416,-1.370094,-0.316048,1.146978,-0.050642,0.184002,0.004150,0.366893,-0.064578,-0.000649,0.823846,0.571436,18.7828,1.9424,-0.0245,48.1918,5.1503,-0.3766,6.4446,0.5712,-0.5001,6.4165,0.0334,-0.2313,0.084588,0.061375,-0.087434,-0.062492,-0.073972,-0.012039,-0.000991,-0.0000,4.0000,-0.0000,-0.6854,6.3435,0.0005,-0.075095,-0.011904,-0.000988,2.9070,0,1,-0.2434,-0.4482,0.086011,0.062203,-0.087988,-0.064179,1.000000,[],6.4229,6.4187,6.4187,0.0334,-0.2313,343.0496,1,0.422460,48.1918,-0.3766,-5.1503,48.1918,-0.3766,-5.1505,48.1918,-4.3766,-5.1503,0.117953,0.316486,-0.054248,6.7582,18.1333,-3.1082,0.004150,0.367781,-0.065967,16.45764170,44.11536077,1201.9424,62.989506,0.366818,-2.265264,0.022034,-0.179416,-0.260319,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.900,-6.5523,-7.5609,53.8984,54.8191,4393515.9737,4259897.7120,1795698.6211,1202.4858,23.9124,0.089271,5.1149,0.000314,0.0180,0.1604,0.1604,1582.0988,55.0279,0.994315,-0.003472,0.096714,-0.044400,-0.9045,11.0707,-5.2012,0.030729,-0.127637,-0.235704,1.7606,-7.3131,-13.5049,811.8422,-2.0323,-32.1201,820.4755,-0.6746,-0.2727,0.0032,0.7771,0.5701,12.4219,POWERED_ASCENT,-1.546621,0.289612,-0.064666,0.208459,0.323040,-1.172619,-0.316137,1.147548,-0.046078,0.167343,0.003188,0.790431,0.568942,-0.000733,0.800965,0.571351,23.9168,2.4858,-0.0848,54.5140,5.7106,-0.8672,6.5231,0.5371,-0.7128,6.6621,-0.0167,-0.2636,0.083718,0.062595,-0.085930,-0.063348,-0.073898,-0.010926,-0.000741,-0.0000,4.0000,-0.0000,-0.6972,6.3432,0.0018,-0.068253,-0.006594,-0.000624,3.0240,0,1,-0.3635,-0.9132,0.074224,0.061035,-0.075471,-0.062282,1.000000,[],6.6696,6.6644,6.6644,-0.0167,-0.2637,343.0479,1,0.408281,54.5140,-0.8672,-5.7106,54.5140,-0.8672,-5.7108,54.5140,-4.8672,-5.7106,0.090446,0.693866,0.502006,5.1822,39.7556,28.7628,0.003188,0.800668,0.568610,16.45768808,44.11536021,1202.4858,65.399544,-0.124713,-2.582457,0.032983,-0.126702,-0.237423,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
