time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,mhe_quality,mhe_solve_ms,mhe_V_m_s,mhe_gamma_rad,mhe_chi_rad,mhe_p_rad_s,mhe_q_rad_s,mhe_r_rad_s,mhe_alpha_rad,mhe_beta_rad,mhe_phi_rad,mhe_h_scaled,mhe_xg_scaled,mhe_yg_scaled,mhe_bgx_rad_s,mhe_bgy_rad_s,mhe_bgz_rad_s,mhe_wn_m_s,mhe_we_m_s
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7479,0.8111,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7058,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.28723707,0.76995830,1200.0000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100,-0.7986,-0.7743,6.5739,6.6673,4393519.0282,4259900.7917,1795675.2854,1200.0338,0.3086,0.142173,8.1459,0.000000,0.0000,0.0194,0.1000,23.2315,6.6673,0.991445,-0.000004,0.130526,0.000001,-0.0004,15.0000,0.0000,-0.000000,-0.000024,0.000000,-0.0000,-0.0014,0.0000,1026.0144,-0.0000,-0.0227,1026.0213,0.0000,0.0000,0.0000,-0.0021,0.0000,12.7011,LAUNCH,-1.947857,-1.374849,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002081,0.000000,-0.000068,0.981680,0.572017,0.3086,0.0338,0.0000,6.6197,0.7957,0.0000,7.9543,1.1357,0.0000,8.2346,-0.0000,-0.0002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7058,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],8.2374,8.2374,8.2374,-0.0000,-0.0002,343.0558,1,0.592597,6.6197,0.0000,-0.7957,6.6197,0.0000,-0.7957,6.6197,0.0000,-0.7957,-0.000000,-0.001799,0.000000,-0.0000,-0.1031,0.0000,0.000000,-0.002080,0.000000,0.28723712,0.76995830,1200.0338,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200,-1.6186,-1.5694,14.3730,14.5487,4393518.9074,4259900.6746,1795676.3294,1200.1682,1.3572,0.130110,7.4547,0.000000,0.0000,0.0424,0.1000,110.6152,14.5487,0.991448,-0.000007,0.130505,0.000001,-0.0008,14.9976,0.0000,-0.000000,-0.001387,0.000000,-0.0000,-0.0795,0.0000,1051.7810,-0.0000,-0.4708,1051.9129,0.0000,0.0000,0.0000,-0.0432,0.0000,12.6555,LAUNCH,-1.783413,-1.258517,-0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.043193,0.000000,-0.000147,0.960191,0.571938,1.3575,0.1682,0.0000,14.4228,1.9098,0.0000,8.5274,1.2973,0.0000,8.4718,-0.0000,-0.0038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7057,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],8.4747,8.4747,8.4747,-0.0000,-0.0038,343.0554,1,0.499752,14.4228,0.0000,-1.9098,14.4228,0.0000,-1.9098,14.4228,0.0000,-1.9098,-0.000000,-0.037373,0.000000,-0.0000,-2.1413,0.0000,0.000000,-0.043124,0.000000,0.28723729,0.76995830,1200.1682,0.060000,4.1045,46.326166,-0.533119,0.000461,0.002942,-0.136094,-0.004897,0.159426,0.008356,0.063904,0.009591,4393.530269,4259.903661,0.003243,0.030000,-0.000139,-4.996612,0.019444
0.300,-2.4439,-2.3694,22.7562,23.0093,4393518.7043,4259900.4776,1795678.1817,1200.4216,3.2135,0.122467,7.0168,0.000000,0.0000,0.0671,0.1000,276.6704,23.0093,0.991482,-0.000011,0.130240,0.000002,-0.0012,14.9669,0.0000,-0.000000,-0.012291,0.000000,-0.0000,-0.7042,0.0000,1128.7240,-0.0000,-2.7741,1129.5180,0.0000,0.0000,0.0000,-0.2539,0.0000,12.6068,LAUNCH,-1.679598,-1.182329,-0.000004,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.253862,0.000001,-0.000231,0.937188,0.571853,3.2141,0.4216,0.0000,22.7882,3.1824,0.0001,8.7296,1.3735,0.0001,9.1267,-0.0000,-0.0224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7039,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],9.1299,9.1298,9.1298,-0.0000,-0.0224,343.0546,1,0.480750,22.7882,0.0001,-3.1824,22.7882,0.0001,-3.1824,22.7882,0.0001,-3.1824,-0.000000,-0.219910,0.000000,-0.0000,-12.5999,0.0000,0.000000,-0.253220,0.000001,0.28723758,0.76995830,1200.4216,0.300000,3.0298,45.137149,0.229590,0.854667,0.001139,-0.171687,0.024053,0.083345,0.022188,1.340021,0.022235,4393.526375,4259.911618,0.002034,0.030000,-0.029950,-4.999997,-4.999997
0.400,-3.2580,-3.1587,31.3508,31.6775,4393518.4190,4259900.2010,1795680.8889,1200.8075,5.9218,0.114743,6.5743,0.000000,0.0000,0.0923,0.1000,524.3729,31.6775,0.991676,-0.000014,0.128759,0.000002,-0.0017,14.7958,0.0001,0.000002,-0.054822,0.000000,0.0001,-3.1411,0.0000,1087.9863,-0.0000,-9.5450,1090.7228,0.0000,0.0000,0.0000,-0.7590,0.0000,12.5570,LAUNCH,-1.608738,-0.983999,-0.000004,0.000002,0.064175,-0.233404,-0.031771,0.115552,0.000000,-0.000001,0.000003,-0.758975,0.000002,-0.000318,0.913671,0.571767,5.9229,0.8075,0.0000,31.3519,4.5299,0.0001,8.3894,1.2981,0.0001,8.8322,-0.0000,-0.0775,0.007595,0.007595,-0.007597,-0.007598,-0.007596,0.000000,-0.000001,0.0000,0.0000,0.0000,-0.6973,7.4418,-0.0000,-0.015341,0.000000,-0.000002,2.7270,0,1,0.0000,0.0000,0.015338,0.015338,-0.015343,-0.015343,1.000000,[],8.8355,8.8352,8.8352,-0.0000,-0.0775,343.0533,1,0.461206,31.3519,0.0001,-4.5299,31.3519,0.0001,-4.5299,31.3519,0.0001,-4.5299,0.000070,-0.657899,0.000002,0.0040,-37.6948,0.0001,0.000003,-0.755939,0.000002,0.28723801,0.76995830,1200.8075,0.300004,1.6556,43.815849,0.039610,0.255636,0.000618,-0.031864,-0.019955,-0.002717,0.030827,1.598938,-0.001917,4393.526284,4259.900396,0.004506,0.018065,0.029999,-4.999997,-4.999997
0.500,-4.0552,-3.9315,39.6044,40.0051,4393518.0534,4259899.8466,1795684.4390,1201.3249,9.4701,0.103210,5.9135,0.000000,0.0000,0.1166,0.1166,836.2730,40.0051,0.992273,-0.000018,0.124073,0.000003,-0.0020,14.2545,0.0001,0.000017,-0.136385,0.000000,0.0010,-7.8143,0.0000,1046.9992,-0.0001,-16.8065,1051.9100,0.0000,0.0000,0.0000,-0.9385,0.0000,12.5092,LAUNCH,-1.514464,-0.650509,-0.000005,0.000000,0.134648,-0.489519,-0.090064,0.327431,0.000001,-0.000005,0.000009,-0.938460,0.000000,-0.000401,0.891121,0.571684,9.4719,1.3249,0.0000,39.5820,5.8033,0.0002,8.2891,1.1992,0.0001,8.5319,-0.0000,-0.1370,0.021481,0.021482,-0.021486,-0.021487,-0.021484,0.000000,-0.000003,0.0000,0.0000,0.0000,-0.6866,6.3440,-0.0000,-0.032116,0.000001,-0.000003,2.7630,0,1,0.0000,0.0000,0.032113,0.032114,-0.032118,-0.032119,1.000000,[],8.5359,8.5348,8.5348,-0.0000,-0.1370,343.0516,1,0.442520,39.5820,0.0002,-5.8033,39.5820,0.0002,-5.8034,39.5820,0.0002,-5.8033,0.000239,-0.812542,0.000002,0.0137,-46.5552,0.0001,0.000009,-0.931717,0.000000,0.28723857,0.76995830,1201.3249,0.300000,1.4643,56.459734,-0.042656,0.253302,0.003549,-0.091611,0.030763,0.033383,0.002786,0.182901,-0.006958,4393.534321,4259.902456,0.000268,0.029999,-0.030000,-4.999997,-4.999997
0.600,-4.8992,-4.7497,47.7362,48.2214,4393517.6064,4259899.4132,1795688.8051,1201.9647,13.8328,0.086121,4.9343,0.000001,0.0000,0.1406,0.1406,1214.9790,48.2214,0.993316,-0.000020,0.115430,0.000004,-0.0022,13.2568,0.0001,0.000046,-0.206731,0.000001,0.0026,-11.8448,0.0000,1057.9799,-0.0001,-21.5919,1064.8170,0.0000,0.0000,0.0000,-0.5778,-0.0000,12.4622,POWERED_ASCENT,-1.339216,-0.275653,-0.000008,-0.000003,0.179841,-0.653133,-0.147257,0.535049,0.000003,-0.000011,0.000011,-0.577757,-0.000006,-0.000483,0.868961,0.571602,13.8354,1.9647,0.0001,47.7136,6.9798,0.0003,8.4178,1.0837,0.0001,8.6539,-0.0000,-0.1766,0.035006,0.035008,-0.035011,-0.035013,-0.035010,0.000001,-0.000003,0.0000,0.0000,0.0000,-0.6801,6.3439,-0.0000,-0.042539,0.000001,-0.000002,2.7210,0,1,0.0000,0.0000,0.042536,0.042538,-0.042540,-0.042542,1.000000,[],8.6587,8.6569,8.6569,-0.0000,-0.1767,343.0495,1,0.424065,47.7136,0.0003,-6.9798,47.7136,0.0003,-6.9799,47.7136,0.0003,-6.9798,0.000305,-0.495764,0.000004,0.0175,-28.4052,0.0002,0.000011,-0.567332,-0.000006,0.28723925,0.76995830,1201.9647,0.300000,1.6032,54.693003,0.102707,0.160959,-0.003149,-0.135954,0.023635,0.050472,0.000307,0.094838,0.021318,4393.531304,4259.902610,0.009346,0.016079,-0.030000,-4.999998,-4.999998
0.700,-5.8468,-5.6684,55.9569,56.5463,4393517.0701,4259898.8933,1795693.9888,1202.7170,19.0148,0.066402,3.8045,0.000001,0.0001,0.1648,0.1648,1670.5756,56.5463,0.994538,-0.000020,0.104370,0.000004,-0.0023,11.9818,0.0002,0.000073,-0.227067,0.000001,0.0042,-13.0100,0.0001,1055.8747,-0.0003,-24.5863,1064.8605,0.0000,0.0000,0.0000,0.1841,-0.0000,12.4148,POWERED_ASCENT,-1.109063,0.063879,-0.000013,-0.000005,0.204688,-0.743151,-0.189802,0.689132,0.000005,-0.000017,0.000007,0.184094,-0.000014,-0.000565,0.846540,0.571519,19.0184,2.7170,0.0001,55.9714,8.0429,0.0005,8.5718,0.9393,0.0002,8.6697,-0.0000,-0.2019,0.044730,0.044732,-0.044733,-0.044735,-0.044733,0.000001,-0.000002,0.0000,0.0000,0.0000,-0.6802,6.3437,-0.0000,-0.048172,0.000001,-0.000001,2.7930,0,1,0.0000,0.0000,0.048169,0.048172,-0.048171,-0.048174,1.000000,[],8.6750,8.6727,8.6727,-0.0000,-0.2019,343.0471,1,0.405339,55.9714,0.0005,-8.0429,55.9714,0.0005,-8.0431,55.9714,0.0005,-8.0429,0.000189,0.173373,0.000004,0.0108,9.9335,0.0002,0.000007,0.197997,-0.000014,0.28724007,0.76995830,1202.7170,0.300000,1.5978,72.998627,0.099982,0.159337,-0.005110,-0.106160,0.005461,0.048500,-0.000015,0.018353,0.021776,4393.543891,4259.904622,0.013080,-0.030000,-0.012909,-4.999994,-4.999994
0.800,-6.9228,-6.7114,64.2823,65.0014,4393516.4326,4259898.2753,1795700.0006,1203.5687,25.0307,0.050184,2.8753,0.000002,0.0001,0.1895,0.1895,2207.3301,65.0014,0.995560,-0.000020,0.094128,0.000005,-0.0022,10.8023,0.0003,0.000082,-0.172251,0.000001,0.0047,-9.8693,0.0001,1040.6264,-0.0005,-26.2107,1051.9284,0.0000,0.0000,-0.0000,0.9977,-0.0000,12.3668,POWERED_ASCENT,-0.894830,0.262004,-0.000018,-0.000006,0.193953,-0.704110,-0.203194,0.737689,0.000007,-0.000024,-0.000002,0.997676,-0.000023,-0.000649,0.823846,0.571436,25.0354,3.5686,0.0002,64.3803,8.9644,0.0006,8.7008,0.8303,0.0002,8.5777,-0.0000,-0.2160,0.047712,0.047715,-0.047713,-0.047716,-0.047714,0.000002,-0.000000,0.0000,0.0000,0.0000,-0.6878,6.3435,-0.0000,-0.045576,0.000002,0.000000,2.8130,0,1,0.0000,0.0000,0.045574,0.045578,-0.045574,-0.045578,1.000000,[],8.5833,8.5806,8.5806,-0.0000,-0.2161,343.0444,1,0.385850,64.3803,0.0006,-8.9644,64.3803,0.0006,-8.9646,64.3803,0.0006,-8.9644,-0.000046,0.890332,-0.000007,-0.0027,51.0122,-0.0004,-0.000002,1.014689,-0.000024,0.28724102,0.76995830,1203.5687,0.300000,1.5142,70.681880,0.143347,0.082077,0.005691,-0.128423,0.004995,0.050700,0.000013,0.017290,0.019704,4393.529092,4259.900117,-0.002925,-0.030000,-0.011939,-4.999998,-4.999998
0.900,-8.0982,-7.8508,72.6988,73.5686,4393515.6822,4259897.5478,1795706.8480,1204.5062,31.8924,0.043108,2.4699,0.000002,0.0001,0.2145,0.2145,2827.2661,73.5686,0.996112,-0.000019,0.088098,0.000005,-0.0022,10.1084,0.0004,0.000070,-0.066302,-0.000000,0.0040,-3.7988,-0.0000,1076.5610,-0.0009,-29.0490,1090.7532,0.0000,0.0000,-0.0000,1.2173,-0.0000,12.3183,POWERED_ASCENT,-0.774271,0.249591,-0.000023,-0.000006,0.157900,-0.572860,-0.184953,0.671211,0.000008,-0.000029,-0.000005,1.217335,-0.000029,-0.000733,0.800965,0.571351,31.8984,4.5061,0.0002,72.9158,9.7789,0.0008,8.8204,0.8325,0.0002,8.9088,-0.0000,-0.2404,0.043331,0.043334,-0.043331,-0.043334,-0.043333,0.000002,0.000000,0.0000,0.0000,0.0000,-0.7154,6.3432,-0.0000,-0.037088,0.000002,-0.000000,2.8330,0,1,0.0000,0.0000,0.037086,0.037090,-0.037086,-0.037091,1.000000,[],8.9151,8.9118,8.9118,-0.0000,-0.2405,343.0414,1,0.378279,72.9158,0.0008,-9.7789,72.9157,0.0008,-9.7793,72.9158,0.0008,-9.7789,-0.000149,1.089104,-0.000022,-0.0085,62.4011,-0.0012,-0.000005,1.238639,-0.000030,0.28724210,0.76995830,1204.5062,0.300000,1.6108,88.495661,0.150462,0.062987,-0.002473,-0.046050,-0.035736,0.051197,-0.000642,-0.316525,0.033738,4393.544718,4259.901074,0.008727,-0.030000,0.029999,-4.999996,-4.999996
