time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,mhe_quality,mhe_solve_ms,mhe_V_m_s,mhe_gamma_rad,mhe_chi_rad,mhe_p_rad_s,mhe_q_rad_s,mhe_r_rad_s,mhe_alpha_rad,mhe_beta_rad,mhe_phi_rad,mhe_h_scaled,mhe_xg_scaled,mhe_yg_scaled,mhe_bgx_rad_s,mhe_bgy_rad_s,mhe_bgz_rad_s,mhe_wn_m_s,mhe_we_m_s
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.100000,0.000000,0.000000,5.7296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1729,0.3891,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7127,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.28723707,0.76995830,1200.0000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100,-0.7694,-0.7460,4.9748,5.0889,4393519.0296,4259900.7930,1795675.2109,1200.0145,0.2365,0.186722,10.6984,0.001857,0.1064,0.0148,0.1000,13.5340,5.0889,0.991432,0.004954,0.130525,-0.000652,0.5725,15.0000,0.0000,0.100000,-0.000001,0.000000,5.7296,-0.0001,0.0000,787.1446,-0.0001,-0.0100,787.1470,0.0000,0.0000,-0.0000,-0.0009,0.0000,12.7101,LAUNCH,-2.527102,-1.800992,-0.024944,0.018190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,-0.000925,0.000009,-0.000068,0.981680,0.572017,0.2366,0.0145,0.0000,5.0746,0.3817,0.0000,6.0957,0.6369,0.0000,6.3130,-0.0000,-0.0001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7127,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.3151,6.3151,6.3151,-0.0000,-0.0001,343.0559,1,0.622124,5.0746,0.0000,-0.3817,5.0746,0.0000,-0.3817,5.0746,0.0000,-0.3817,-0.000263,-0.000799,0.000008,-0.0151,-0.0458,0.0005,-0.000009,-0.000925,0.000009,0.28723711,0.76995830,1200.0145,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200,-1.5555,-1.5081,10.8868,11.1002,4393518.9134,4259900.6804,1795676.0014,1200.0832,1.0403,0.170951,9.7947,0.003402,0.1949,0.0324,0.1000,64.3922,11.1002,0.991397,0.009905,0.130511,-0.001304,1.1449,14.9990,0.0000,0.099876,-0.000608,0.000012,5.7225,-0.0349,0.0007,807.0159,-0.0041,-0.2085,807.0633,0.0000,0.0000,-0.0001,-0.0193,0.0004,12.6751,LAUNCH,-2.330519,-1.655656,-0.045709,0.033325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000101,-0.019255,0.000388,-0.000147,0.960191,0.571938,1.0405,0.0832,0.0000,11.0545,1.0065,0.0000,6.5321,0.7576,0.0000,6.4902,-0.0000,-0.0017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7104,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.4925,6.4925,6.4925,-0.0000,-0.0017,343.0557,1,0.530345,11.0545,0.0000,-1.0065,11.0545,0.0000,-1.0065,11.0545,0.0000,-1.0065,-0.002848,-0.016646,0.000394,-0.1632,-0.9537,0.0226,-0.000101,-0.019225,0.000387,0.28723724,0.76995830,1200.0832,0.060000,2.2068,38.496049,-0.543889,0.012393,0.070292,-0.136913,-0.003482,0.161383,0.016241,0.129254,0.008497,4393.528733,4259.903695,0.024909,0.030000,-0.000776,-4.996612,0.019960
0.300,-2.3471,-2.2756,17.2428,17.5499,4393518.7183,4259900.4912,1795677.4047,1200.2202,2.4630,0.161606,9.2594,0.004822,0.2763,0.0512,0.1000,160.9586,17.5499,0.991350,0.014840,0.130385,-0.001951,1.7152,14.9854,0.0000,0.099230,-0.005470,0.000164,5.6855,-0.3134,0.0094,866.4846,-0.0362,-1.2337,866.7591,0.0000,0.0000,-0.0004,-0.1136,0.0034,12.6376,LAUNCH,-2.206982,-1.562663,-0.064759,0.047163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000407,-0.113558,0.003427,-0.000231,0.937188,0.571853,2.4634,0.2202,0.0000,17.4625,1.7497,0.0001,6.6867,0.8103,0.0001,6.9892,-0.0003,-0.0100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7081,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.9916,6.9916,6.9916,-0.0003,-0.0100,343.0552,1,0.491083,17.4625,0.0001,-1.7497,17.4625,0.0001,-1.7497,17.4625,0.0001,-1.7497,-0.011422,-0.098226,0.003495,-0.6545,-5.6279,0.2002,-0.000407,-0.113272,0.003419,0.28723746,0.76995830,1200.2202,0.300000,2.0866,37.234045,0.252340,0.942927,0.065156,-0.152943,0.020113,0.104153,0.024355,1.403660,0.021335,4393.524841,4259.910888,0.030000,0.030000,-0.029952,-4.999992,-4.999992
0.400,-3.1340,-3.0385,23.7588,24.1565,4393518.4441,4259900.2254,1795679.4562,1200.4351,4.5382,0.154536,8.8543,0.006130,0.3512,0.0704,0.1000,304.9456,24.1565,0.991353,0.019715,0.129704,-0.002579,2.2786,14.9079,0.0001,0.097263,-0.025490,0.001017,5.5728,-1.4605,0.0583,835.9601,-0.1602,-4.3477,836.9159,0.0000,0.0000,-0.0076,-0.3391,0.0133,12.5993,LAUNCH,-2.166848,-1.299959,-0.079855,0.051082,0.222247,-0.806703,-0.051838,0.188533,0.002366,-0.008605,-0.007589,-0.339085,0.013324,-0.000318,0.913671,0.571767,4.5390,0.4351,0.0000,24.0221,2.5446,0.0002,6.4237,0.7601,0.0001,6.7635,-0.0013,-0.0352,0.022290,0.023421,-0.001366,-0.002498,-0.012394,0.000566,0.010462,0.0000,0.0000,0.0000,-0.7038,6.3442,-0.0000,-0.034142,0.001381,0.017009,5.0170,0,1,0.0000,0.0000,0.049771,0.052533,-0.015752,-0.018514,1.000000,[],6.7659,6.7658,6.7658,-0.0013,-0.0352,343.0545,1,0.476370,24.0221,0.0002,-2.5446,24.0221,0.0002,-2.5447,24.0221,0.0002,-2.5446,-0.213177,-0.293277,0.013947,-12.2142,-16.8035,0.7991,-0.007589,-0.337702,0.013273,0.28723779,0.76995830,1200.4351,0.300000,1.8975,35.950789,-0.005641,0.305479,0.067353,-0.034082,-0.026130,-0.005174,0.034531,1.601372,-0.004341,4393.525099,4259.900392,0.030000,0.025111,0.030000,-4.999997,-4.999997
0.500,-3.9024,-3.7834,30.0136,30.5017,4393518.0921,4259899.8841,1795682.1467,1200.7272,7.2568,0.147337,8.4418,0.007133,0.4087,0.0889,0.1000,486.1733,30.5017,0.991549,0.024221,0.127410,-0.003087,2.7990,14.6443,0.0030,0.085694,-0.073565,0.005041,4.9099,-4.2150,0.2888,804.7014,-0.5386,-11.6268,807.0590,0.0000,0.0000,-0.0037,-0.3167,0.0702,12.5625,LAUNCH,-2.279678,-0.477678,-0.105596,0.105934,0.339474,-1.231805,-0.256573,0.930821,-0.010313,0.037508,-0.003682,-0.316713,0.070237,-0.000401,0.891121,0.571684,7.2582,0.7272,0.0000,30.3238,3.2903,0.0002,6.3215,0.7467,0.0013,6.5296,-0.0044,-0.0943,0.062187,0.060985,-0.063680,-0.055019,-0.060468,-0.002466,0.001119,0.0000,0.0000,0.0000,-0.6962,6.3440,-0.0000,-0.061702,0.001965,0.015900,4.9640,0,1,0.0000,0.0000,0.075637,0.079567,-0.043836,-0.047766,1.000000,[],6.5325,6.5319,6.5319,-0.0044,-0.0944,343.0536,1,0.462264,30.3238,0.0002,-3.2903,30.3238,0.0002,-3.2903,30.3238,0.0002,-3.2903,-0.103451,-0.271096,0.067097,-5.9273,-15.5326,3.8443,-0.003682,-0.312049,0.070021,0.28723822,0.76995830,1200.7272,0.300000,2.5273,41.185015,-0.136902,0.312033,-0.048733,-0.056234,0.035085,0.049142,0.013729,0.346188,-0.011324,4393.529768,4259.901911,0.030000,0.029998,-0.030000,-1.483103,-3.905863
0.600,-4.6602,-4.5164,36.1684,36.7460,4393517.6641,4259899.4692,1795685.4551,1201.0928,10.5979,0.134417,7.7015,0.007267,0.4164,0.1071,0.1071,705.5803,36.7460,0.992148,0.028192,0.121807,-0.003264,3.2580,13.9978,0.0231,0.071912,-0.163851,0.014802,4.1203,-9.3880,0.8481,812.7854,-0.9987,-19.7760,816.9865,0.0000,0.0000,-0.0058,-0.4106,0.1281,12.5264,POWERED_ASCENT,-2.112131,-0.337369,-0.106662,0.105243,0.409941,-1.488587,-0.256715,0.931404,-0.010323,0.037539,-0.005763,-0.410645,0.128101,-0.000483,0.868961,0.571602,10.5999,1.0928,0.0001,36.5251,4.0228,0.0015,6.4052,0.6988,0.0062,6.6142,-0.0081,-0.1609,0.062187,0.060985,-0.063680,-0.055019,-0.060468,-0.002466,0.001119,0.0000,0.0000,0.0000,-0.6838,6.3439,-0.0000,-0.079509,0.002384,0.013800,4.9740,0,1,0.0000,0.0000,0.090924,0.095693,-0.063324,-0.068093,1.000000,[],6.6185,6.6165,6.6165,-0.0081,-0.1610,343.0524,1,0.448690,36.5251,0.0015,-4.0228,36.5251,0.0015,-4.0229,36.5251,0.0015,-4.0228,-0.161954,-0.348504,0.122744,-9.2793,-19.9678,7.0327,-0.005763,-0.401096,0.127619,0.28723874,0.76995830,1201.0928,0.300000,2.8415,36.404695,0.081454,0.200460,-0.045433,-0.085387,0.027384,0.082188,0.005447,0.117644,0.015001,4393.528122,4259.902353,0.030000,0.029978,-0.030000,1.367718,-3.714620
0.700,-5.4705,-5.2936,42.3887,43.0668,4393517.1584,4259898.9794,1795689.3823,1201.5302,14.5629,0.113066,6.4782,0.006089,0.3489,0.1255,0.1255,969.1530,43.0668,0.993309,0.031320,0.111119,-0.002900,3.6199,12.7638,0.0704,0.045468,-0.273794,0.026889,2.6051,-15.6872,1.5406,811.4232,-1.0796,-23.6232,817.0187,0.0000,0.0000,-0.0163,-0.1327,0.1157,12.4899,POWERED_ASCENT,-1.836859,-0.079372,-0.083947,0.069189,0.456745,-1.658702,-0.267786,0.971666,-0.004092,0.014872,-0.016291,-0.132701,0.115677,-0.000565,0.846540,0.571519,14.5656,1.5302,0.0005,42.8086,4.7084,0.0076,6.5277,0.5602,0.0153,6.6225,-0.0088,-0.1928,0.064154,0.068915,-0.063680,-0.055019,-0.062942,-0.000975,0.003593,0.0000,0.0000,0.0000,-0.6698,6.3437,-0.0000,-0.092023,0.003143,0.011085,4.7820,0,1,0.0000,0.0000,0.099966,0.106251,-0.077795,-0.084080,1.000000,[],6.6276,6.6247,6.6247,-0.0088,-0.1929,343.0510,1,0.435093,42.8086,0.0076,-4.7084,42.8086,0.0076,-4.7085,42.8086,0.0076,-4.7084,-0.457838,-0.102981,0.112598,-26.2322,-5.9004,6.4514,-0.016291,-0.119343,0.115066,0.28723937,0.76995830,1201.5302,0.300000,2.8238,45.278321,0.125095,-0.005248,-0.106787,-0.073067,0.030373,0.104428,0.005408,0.119576,0.013621,4393.534857,4259.901113,0.030000,-0.030000,-0.026251,4.999996,0.845941
0.800,-6.4050,-6.1788,48.6857,49.4924,4393516.5660,4259898.4070,1795693.9359,1202.0303,19.1624,0.084375,4.8343,0.003496,0.2003,0.1443,0.1443,1279.8613,49.4924,0.994939,0.031862,0.095275,-0.001871,3.6816,10.9356,0.1370,-0.039676,-0.367045,0.035816,-2.2733,-21.0301,2.0521,799.9165,-0.7553,-24.9493,807.0698,0.0000,0.0000,-0.0384,0.6354,0.0601,12.4529,POWERED_ASCENT,-1.469011,0.287789,-0.044472,0.027243,0.440950,-1.601055,-0.291298,1.057108,0.000215,-0.000782,-0.038414,0.635407,0.060150,-0.000649,0.823846,0.571436,19.1661,2.0302,0.0019,49.2123,5.2579,0.0226,6.6545,0.3271,0.0276,6.5480,-0.0062,-0.2042,0.072799,0.079191,-0.063680,-0.057492,-0.068290,0.000051,0.007704,0.0000,0.0000,0.0000,-0.6532,6.3435,-0.0000,-0.093167,0.003585,0.005725,4.7980,0,1,0.0000,0.0000,0.095307,0.102478,-0.083857,-0.091028,1.000000,[],6.5534,6.5502,6.5502,-0.0062,-0.2043,343.0493,1,0.421182,49.2123,0.0226,-5.2579,49.2123,0.0226,-5.2580,49.2123,0.0226,-5.2579,-1.079427,0.568256,0.038080,-61.8466,32.5587,2.1818,-0.038414,0.651601,0.059660,0.28724010,0.76995830,1202.0303,0.300000,2.6540,44.031774,0.168694,-0.013488,-0.088360,-0.170916,0.015207,0.117933,0.006297,0.047860,0.007705,4393.524325,4259.899073,0.030000,-0.030000,0.000981,4.999997,-0.351654
0.900,-7.5308,-7.2326,55.0372,56.0189,4393515.8711,4259897.7382,1795699.1210,1202.5744,24.4074,0.052333,2.9984,0.000247,0.0141,0.1633,0.1633,1639.5767,56.0189,0.996733,0.027439,0.075956,-0.000331,3.1693,8.7101,0.2034,-0.140639,-0.411053,0.031204,-8.0580,-23.5516,1.7879,828.0881,0.1217,-22.5172,836.9335,0.0000,0.0000,-0.0342,1.7828,-0.0796,12.4156,POWERED_ASCENT,-1.034932,0.630313,0.005594,-0.028144,0.373239,-1.354935,-0.299281,1.086382,0.007059,-0.025637,-0.034153,1.782798,-0.079602,-0.000733,0.800965,0.571351,24.4120,2.5743,0.0054,55.7404,5.5787,0.0497,6.7943,0.0327,0.0368,6.7989,0.0010,-0.1849,0.073062,0.079698,-0.063680,-0.063738,-0.070044,0.001673,0.006336,0.0000,0.0000,0.0000,-0.6200,6.3432,-0.0001,-0.083112,0.003005,-0.000771,4.9830,0,1,0.0000,0.0000,0.079336,0.085346,-0.080878,-0.086888,1.000000,[],6.8038,6.8013,6.8013,0.0010,-0.1849,343.0476,1,0.406554,55.7404,0.0497,-5.5787,55.7403,0.0497,-5.5790,55.7404,0.0497,-5.5787,-0.959722,1.571237,-0.125747,-54.9880,90.0252,-7.2047,-0.034153,1.799312,-0.079513,0.28724092,0.76995830,1202.5744,0.300000,2.5579,56.822523,0.207641,-0.001639,-0.156540,-0.210219,0.008733,0.103386,0.006672,0.046735,0.019279,4393.533930,4259.899139,0.030000,-0.030000,0.021141,4.999994,-0.685199
