time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,mhe_quality,mhe_solve_ms,mhe_V_m_s,mhe_gamma_rad,mhe_chi_rad,mhe_p_rad_s,mhe_q_rad_s,mhe_r_rad_s,mhe_alpha_rad,mhe_beta_rad,mhe_phi_rad,mhe_h_scaled,mhe_xg_scaled,mhe_yg_scaled,mhe_bgx_rad_s,mhe_bgy_rad_s,mhe_bgz_rad_s,mhe_wn_m_s,mhe_we_m_s
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.100000,0.000000,0.000000,5.7296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1729,0.3891,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7127,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.28723707,0.76995830,1200.0000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100,-0.7694,-0.7460,4.9748,5.0889,4393519.0296,4259900.7930,1795675.2109,1200.0145,0.2365,0.186722,10.6984,0.001857,0.1064,0.0148,0.1000,13.5340,5.0889,0.991432,0.004954,0.130525,-0.000652,0.5725,15.0000,0.0000,0.100000,-0.000001,0.000000,5.7296,-0.0001,0.0000,787.1446,-0.0001,-0.0100,787.1470,0.0000,0.0000,-0.0000,-0.0009,0.0000,12.7101,LAUNCH,-2.527102,-1.800992,-0.024944,0.018190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,-0.000925,0.000009,-0.000068,0.981680,0.572017,0.2366,0.0145,0.0000,5.0746,0.3817,0.0000,6.0957,0.6369,0.0000,6.3130,-0.0000,-0.0001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7127,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.3151,6.3151,6.3151,-0.0000,-0.0001,343.0559,1,0.622124,5.0746,0.0000,-0.3817,5.0746,0.0000,-0.3817,5.0746,0.0000,-0.3817,-0.000263,-0.000799,0.000008,-0.0151,-0.0458,0.0005,-0.000009,-0.000925,0.000009,0.28723711,0.76995830,1200.0145,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200,-1.5555,-1.5081,10.8868,11.1002,4393518.9134,4259900.6804,1795676.0014,1200.0832,1.0403,0.170951,9.7947,0.003402,0.1949,0.0324,0.1000,64.3922,11.1002,0.991397,0.009905,0.130511,-0.001304,1.1449,14.9990,0.0000,0.099876,-0.000608,0.000012,5.7225,-0.0349,0.0007,807.0159,-0.0041,-0.2085,807.0633,0.0000,0.0000,-0.0001,-0.0193,0.0004,12.6751,LAUNCH,-2.330519,-1.655656,-0.045709,0.033325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000101,-0.019255,0.000388,-0.000147,0.960191,0.571938,1.0405,0.0832,0.0000,11.0545,1.0065,0.0000,6.5321,0.7576,0.0000,6.4902,-0.0000,-0.0017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7104,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.4925,6.4925,6.4925,-0.0000,-0.0017,343.0557,1,0.530345,11.0545,0.0000,-1.0065,11.0545,0.0000,-1.0065,11.0545,0.0000,-1.0065,-0.002848,-0.016646,0.000394,-0.1632,-0.9537,0.0226,-0.000101,-0.019225,0.000387,0.28723724,0.76995830,1200.0832,0.060000,5.7935,38.496049,-0.543889,0.012393,0.070292,-0.136913,-0.003482,0.161383,0.016241,0.129254,0.008497,4393.528733,4259.903695,0.024909,0.030000,-0.000776,-4.996612,0.019960
0.300,-2.3471,-2.2756,17.2428,17.5499,4393518.7183,4259900.4912,1795677.4047,1200.2202,2.4630,0.161606,9.2594,0.004822,0.2763,0.0512,0.1000,160.9586,17.5499,0.991350,0.014840,0.130385,-0.001951,1.7152,14.9854,0.0000,0.099230,-0.005470,0.000164,5.6855,-0.3134,0.0094,866.4846,-0.0362,-1.2337,866.7591,0.0000,0.0000,-0.0004,-0.1136,0.0034,12.6376,LAUNCH,-2.206982,-1.562663,-0.064759,0.047163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000407,-0.113558,0.003427,-0.000231,0.937188,0.571853,2.4634,0.2202,0.0000,17.4625,1.7497,0.0001,6.6867,0.8103,0.0001,6.9892,-0.0003,-0.0100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7081,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.9916,6.9916,6.9916,-0.0003,-0.0100,343.0552,1,0.491083,17.4625,0.0001,-1.7497,17.4625,0.0001,-1.7497,17.4625,0.0001,-1.7497,-0.011422,-0.098226,0.003495,-0.6545,-5.6279,0.2002,-0.000407,-0.113272,0.003419,0.28723746,0.76995830,1200.2202,0.300000,4.8749,37.234045,0.252340,0.942927,0.065156,-0.152943,0.020113,0.104153,0.024355,1.403660,0.021335,4393.524841,4259.910888,0.030000,0.030000,-0.029952,-4.999992,-4.999992
0.400,-3.1340,-3.0385,23.7588,24.1565,4393518.4441,4259900.2254,1795679.4562,1200.4351,4.5382,0.154536,8.8543,0.006129,0.3512,0.0704,0.1000,304.9455,24.1565,0.991353,0.019713,0.129704,-0.002579,2.2783,14.9080,0.0001,0.096639,-0.025355,0.001011,5.5370,-1.4527,0.0579,835.9601,-0.1635,-4.2747,836.9159,0.0000,0.0000,-0.0031,-0.3736,0.0149,12.5993,LAUNCH,-2.130427,-1.432409,-0.081507,0.057115,0.061348,-0.223123,-0.015431,0.056121,0.000706,-0.002568,-0.003099,-0.373633,0.014898,-0.000318,0.913671,0.571767,4.5390,0.4351,0.0000,24.0221,2.5447,0.0002,6.4240,0.7592,0.0002,6.7635,-0.0013,-0.0346,0.006803,0.007140,-0.000238,-0.000576,-0.003689,0.000169,0.003282,0.0000,0.0000,0.0000,-0.7038,6.3441,-0.0000,-0.008212,0.000352,0.006104,6.3550,0,1,0.0000,0.0000,0.013963,0.014668,-0.001756,-0.002460,1.000000,[],6.7659,6.7658,6.7658,-0.0013,-0.0346,343.0545,1,0.476370,24.0221,0.0002,-2.5447,24.0221,0.0002,-2.5447,24.0221,0.0002,-2.5447,-0.087044,-0.323312,0.015286,-4.9873,-18.5244,0.8758,-0.003099,-0.372274,0.014846,0.28723779,0.76995830,1200.4351,0.300000,4.3550,35.950789,-0.005641,0.305479,0.067353,-0.034082,-0.026130,-0.005174,0.034531,1.601372,-0.004341,4393.525099,4259.900392,0.030000,0.025111,0.030000,-4.999997,-4.999997
0.500,-3.9032,-3.7839,30.0135,30.5019,4393518.0921,4259899.8841,1795682.1467,1200.7272,7.2568,0.147190,8.4334,0.007163,0.4104,0.0889,0.1000,486.1778,30.5019,0.991562,0.024167,0.127323,-0.003102,2.7923,14.6343,0.0001,0.078913,-0.076892,0.003769,4.5214,-4.4056,0.2160,804.7013,-0.4804,-10.5072,807.0590,0.0000,0.0000,-0.0123,-0.8392,0.0419,12.5625,LAUNCH,-2.060115,-1.265723,-0.094195,0.063139,0.113992,-0.414588,-0.038652,0.140576,0.001637,-0.005953,-0.012333,-0.839224,0.041863,-0.000401,0.891121,0.571684,7.2582,0.7272,0.0000,30.3240,3.2894,0.0004,6.3227,0.7422,0.0006,6.5296,-0.0039,-0.0853,0.015499,0.016281,-0.002201,-0.002984,-0.009241,0.000391,0.006649,0.0000,0.0000,0.0000,-0.6957,6.3440,-0.0000,-0.017972,0.000568,0.008715,7.1030,0,1,0.0000,0.0000,0.026118,0.027254,-0.008689,-0.009825,1.000000,[],6.5324,6.5319,6.5319,-0.0039,-0.0853,343.0536,1,0.462272,30.3240,0.0004,-3.2894,30.3240,0.0004,-3.2894,30.3240,0.0004,-3.2894,-0.346451,-0.726253,0.042177,-19.8502,-41.6112,2.4165,-0.012333,-0.835008,0.041671,0.28723822,0.76995830,1200.7272,0.300000,3.5512,44.935242,-0.129776,0.309960,0.024331,-0.076432,0.043944,0.033006,0.018812,0.584342,-0.011425,4393.531207,4259.902352,0.030000,0.030000,-0.030000,-4.999998,-4.999998
0.600,-4.6638,-4.5206,36.1683,36.7469,4393517.6638,4259899.4690,1795685.4551,1201.0924,10.5980,0.133564,7.6526,0.007244,0.4151,0.1071,0.1071,705.6130,36.7469,0.992244,0.026926,0.121310,-0.003284,3.1089,13.9405,0.0009,0.024378,-0.169992,0.009602,1.3967,-9.7398,0.5501,812.7848,-0.8795,-18.0334,816.9865,0.0000,0.0000,-0.0269,-1.1712,0.0723,12.5264,POWERED_ASCENT,-1.925924,-0.962132,-0.093930,0.059369,0.167501,-0.608688,-0.081738,0.297229,0.002574,-0.009360,-0.026853,-1.171158,0.072267,-0.000483,0.868961,0.571602,10.6000,1.0924,0.0001,36.5266,4.0175,0.0010,6.4072,0.6915,0.0016,6.6142,-0.0072,-0.1468,0.027791,0.029020,-0.010026,-0.011256,-0.019523,0.000615,0.008882,0.0000,0.0000,0.0000,-0.6829,6.3439,-0.0000,-0.029793,0.000828,0.009223,7.9200,0,1,0.0000,0.0000,0.038187,0.039844,-0.019741,-0.021398,1.000000,[],6.6181,6.6165,6.6165,-0.0072,-0.1468,343.0524,1,0.448725,36.5266,0.0010,-4.0175,36.5266,0.0010,-4.0176,36.5266,0.0010,-4.0175,-0.754357,-1.012789,0.066684,-43.2215,-58.0286,3.8207,-0.026853,-1.162451,0.071842,0.28723874,0.76995830,1201.0924,0.300000,3.8744,42.413608,0.048190,0.200391,-0.008469,-0.114417,0.029358,0.051146,0.005188,0.175195,0.014600,4393.529303,4259.902591,0.030000,0.029991,-0.030000,-4.403562,-4.878207
0.700,-5.4762,-5.3061,42.3884,43.0688,4393517.1575,4259898.9783,1795689.3822,1201.5289,14.5632,0.111937,6.4135,0.005834,0.3343,0.1255,0.1255,969.2427,43.0688,0.993539,0.026137,0.110407,-0.002852,3.0145,12.6818,0.0062,-0.061157,-0.265088,0.015556,-3.5040,-15.1884,0.8913,811.4221,-0.9470,-21.6863,817.0187,0.0000,0.0000,-0.0330,-0.9329,0.0682,12.4899,POWERED_ASCENT,-1.686096,-0.557939,-0.073630,0.040764,0.213161,-0.773871,-0.133086,0.483737,0.003680,-0.013377,-0.033023,-0.932896,0.068159,-0.000565,0.846540,0.571519,14.5660,1.5289,0.0003,42.8120,4.6959,0.0025,6.5274,0.5626,0.0036,6.6225,-0.0077,-0.1770,0.039697,0.041450,-0.021966,-0.023719,-0.031708,0.000877,0.008865,0.0000,0.0000,0.0000,-0.6707,6.3437,-0.0000,-0.042219,0.001097,0.006998,8.7610,0,1,0.0000,0.0000,0.048120,0.050314,-0.034123,-0.036318,1.000000,[],6.6271,6.6247,6.6247,-0.0077,-0.1771,343.0510,1,0.435132,42.8120,0.0025,-4.6959,42.8120,0.0025,-4.6960,42.8120,0.0025,-4.6959,-0.927724,-0.804464,0.043355,-53.1547,-46.0924,2.4841,-0.033023,-0.920633,0.067624,0.28723937,0.76995830,1201.5289,0.300000,3.7250,49.908609,0.044374,0.200968,-0.089920,-0.155533,0.031620,0.057564,0.002851,0.123564,0.012004,4393.536411,4259.904031,0.030000,-0.002546,-0.030000,1.960760,-3.595365
0.800,-6.4011,-6.1980,48.6858,49.4944,4393516.5648,4259898.4042,1795693.9358,1202.0275,19.1632,0.085260,4.8850,0.003338,0.1913,0.1443,0.1443,1279.9655,49.4944,0.995198,0.020888,0.095613,-0.001826,2.4068,10.9752,0.0210,-0.149001,-0.319463,0.016890,-8.5371,-18.3039,0.9677,799.9164,-0.6636,-23.3485,807.0698,0.0000,0.0000,-0.0249,-0.2295,0.0277,12.4529,POWERED_ASCENT,-1.374641,-0.103957,-0.039069,0.012528,0.239370,-0.868883,-0.187680,0.681525,0.004769,-0.017327,-0.024918,-0.229544,0.027663,-0.000649,0.823846,0.571436,19.1668,2.0275,0.0007,49.2154,5.2478,0.0061,6.6457,0.3752,0.0069,6.5480,-0.0054,-0.1911,0.049325,0.051592,-0.037082,-0.039349,-0.044337,0.001133,0.006121,0.0000,0.0000,0.0000,-0.6618,6.3435,-0.0000,-0.052487,0.001262,0.002538,6.8050,0,1,0.0000,0.0000,0.053763,0.056286,-0.048687,-0.051210,1.000000,[],6.5530,6.5502,6.5502,-0.0054,-0.1912,343.0493,1,0.421152,49.2154,0.0061,-5.2478,49.2154,0.0061,-5.2480,49.2154,0.0061,-5.2478,-0.700114,-0.189855,-0.022333,-40.1136,-10.8779,-1.2796,-0.024918,-0.214389,0.027232,0.28724010,0.76995830,1202.0275,0.300000,3.5264,53.575881,0.109478,0.105523,-0.156365,-0.208540,0.026545,0.061292,0.002362,0.083862,0.007035,4393.526206,4259.900145,0.030000,-0.030000,-0.019141,-3.824777,-4.876976
0.900,-7.4785,-7.2330,55.0424,56.0170,4393515.8722,4259897.7339,1795699.1211,1202.5722,24.4081,0.059566,3.4129,0.000922,0.0528,0.1633,0.1633,1639.4712,56.0170,0.996728,0.012172,0.079910,-0.000594,1.4029,9.1670,0.0441,-0.191645,-0.295775,0.011264,-10.9804,-16.9467,0.6454,828.0885,-0.1398,-23.0245,836.9335,0.0000,0.0000,-0.0001,0.8115,-0.0341,12.4156,POWERED_ASCENT,-1.058318,0.286944,-0.006427,-0.012059,0.259388,-0.941630,-0.229457,0.833025,0.005335,-0.019373,-0.000147,0.811550,-0.034107,-0.000733,0.800965,0.571351,24.4127,2.5722,0.0016,55.7348,5.6159,0.0129,6.7701,0.1925,0.0101,6.7989,-0.0011,-0.1890,0.054228,0.056757,-0.051056,-0.053585,-0.053907,0.001264,0.001586,0.0000,0.0000,0.0000,-0.6588,6.3432,-0.0000,-0.057713,0.001226,-0.001887,7.1680,0,1,0.0000,0.0000,0.054600,0.057051,-0.058375,-0.060826,1.000000,[],6.8039,6.8013,6.8013,-0.0011,-0.1891,343.0476,1,0.406558,55.7348,0.0129,-5.6159,55.7348,0.0129,-5.6161,55.7348,0.0129,-5.6159,-0.004242,0.723292,-0.084949,-0.2430,41.4416,-4.8672,-0.000147,0.828436,-0.034209,0.28724092,0.76995830,1202.5722,0.300000,3.2272,62.383795,0.126582,0.104073,-0.201332,-0.215935,0.010458,0.051307,0.001975,0.008257,0.017411,4393.536106,4259.901175,0.030000,-0.030000,0.002985,1.210298,-4.348488
