time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,accel_meas_x,accel_meas_y,accel_meas_z,gyro_meas_x,gyro_meas_y,gyro_meas_z,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z,mhe_quality,mhe_solve_ms,mhe_V_m_s,mhe_gamma_rad,mhe_chi_rad,mhe_p_rad_s,mhe_q_rad_s,mhe_r_rad_s,mhe_alpha_rad,mhe_beta_rad,mhe_phi_rad,mhe_h_scaled,mhe_xg_scaled,mhe_yg_scaled,mhe_bgx_rad_s,mhe_bgy_rad_s,mhe_bgz_rad_s,mhe_wn_m_s,mhe_we_m_s
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8794,0.8318,0.0335,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7057,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.28723707,0.76995830,1200.0000,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100,-0.8337,-0.7626,6.7033,6.7979,4393519.0266,4259900.7923,1795675.2915,1200.0347,0.3146,0.141471,8.1057,0.004830,0.2767,0.0198,0.1000,24.1500,6.7979,0.991445,-0.000004,0.130526,0.000001,-0.0004,15.0000,0.0000,-0.000000,-0.000031,0.000013,-0.0000,-0.0018,0.0007,1045.3911,4.9148,2.0363,1045.3986,4.9157,2.0608,-0.0000,-0.0022,0.0001,12.7004,LAUNCH,-1.939162,-1.365708,-0.065357,0.049008,0.000000,0.000000,-0.000627,0.002281,-0.000468,0.001703,-0.000001,-0.002234,0.000080,-0.000068,0.981680,0.572017,0.3146,0.0347,0.0015,6.7486,0.8160,0.0328,8.1095,1.1602,0.0395,8.3906,0.0394,0.0163,0.000084,0.000472,-0.000440,0.000396,-0.000150,-0.000112,0.000128,0.0000,0.0000,0.0000,-0.7057,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],8.3936,8.3935,8.3935,0.0395,0.0163,343.0558,1,0.590869,6.7486,0.0328,-0.8160,6.7486,0.0328,-0.8160,6.7486,0.0328,-0.8160,-0.000014,-0.002041,0.000357,-0.0008,-0.1170,0.0204,-0.000001,-0.002360,0.000412,0.28723712,0.76995830,1200.0347,82.276545,0.402044,0.141236,-0.004211,0.003213,-0.000543,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200,-1.6950,-1.5438,14.6552,14.8335,4393518.9002,4259900.6770,1795676.3559,1200.1723,1.3837,0.129627,7.4271,0.004816,0.2759,0.0432,0.1000,114.9877,14.8335,0.991448,-0.000007,0.130503,0.000004,-0.0008,14.9973,0.0003,-0.000014,-0.001506,0.000115,-0.0008,-0.0863,0.0066,1071.6300,5.0211,1.6039,1071.7749,5.0397,2.1128,-0.0000,-0.0462,0.0018,12.6539,LAUNCH,-1.777547,-1.251109,-0.065254,0.049207,0.000000,0.000000,-0.000757,0.002755,-0.000576,0.002093,-0.000014,-0.046400,0.001825,-0.000147,0.960191,0.571938,1.3839,0.1723,0.0067,14.7040,1.9542,0.0715,8.6940,1.3243,0.0421,8.6328,0.0404,0.0129,0.000103,0.000569,-0.000534,0.000482,-0.000181,-0.000138,0.000155,0.0000,0.0000,0.0000,-0.7057,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],8.6358,8.6357,8.6357,0.0405,0.0129,343.0554,1,0.499121,14.7040,0.0715,-1.9542,14.7040,0.0715,-1.9542,14.7040,0.0715,-1.9542,-0.000387,-0.040208,0.002226,-0.0221,-2.3037,0.1275,-0.000014,-0.046392,0.002566,0.28723729,0.76995830,1200.1723,84.652441,0.411860,0.107649,-0.004225,0.001738,-0.000440,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.060000,2.9878,46.981355,-0.534371,0.380939,-0.005293,-0.124789,-0.006135,0.164454,-0.004553,-0.050039,0.009635,4393.530392,4259.904968,0.002873,0.030000,0.004873,-4.996612,-0.458053
0.300,-2.5640,-2.3289,23.2026,23.4597,4393518.6872,4259900.4833,1795678.2447,1200.4315,3.2762,0.122051,6.9930,0.004768,0.2732,0.0684,0.1000,287.6077,23.4597,0.991485,-0.000011,0.130218,0.000021,-0.0010,14.9643,0.0023,-0.000131,-0.013196,0.000679,-0.0075,-0.7561,0.0389,1149.9615,5.2962,-0.7313,1150.8328,5.4114,2.2687,-0.0001,-0.2713,0.0113,12.6043,LAUNCH,-1.674731,-1.175363,-0.064544,0.048577,0.000000,0.000000,-0.000766,0.002786,-0.000583,0.002122,-0.000086,-0.272714,0.011271,-0.000231,0.937188,0.571853,3.2768,0.4315,0.0159,23.2328,3.2533,0.1128,8.8997,1.4027,0.0425,9.3003,0.0428,-0.0059,0.000105,0.000576,-0.000541,0.000488,-0.000183,-0.000139,0.000157,0.0000,0.0000,0.0000,-0.7038,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],9.3036,9.3035,9.3035,0.0428,-0.0059,343.0545,1,0.479732,23.2328,0.1128,-3.2533,23.2328,0.1128,-3.2533,23.2328,0.1128,-3.2533,-0.002409,-0.235475,0.010886,-0.1380,-13.4917,0.6237,-0.000086,-0.271114,0.012524,0.28723759,0.76995830,1200.4315,91.200629,0.435254,-0.077118,-0.004342,-0.009952,0.000124,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.300000,2.6145,46.164626,-0.057873,0.568433,-0.000910,-0.080309,-0.024878,0.027644,-0.016066,-1.598929,0.016342,4393.528296,4259.910148,-0.004576,0.030000,0.029940,-4.999995,-4.999995
0.400,-3.4213,-3.1020,31.9654,32.2973,4393518.3878,4259900.2116,1795681.0049,1200.8259,6.0374,0.114153,6.5405,0.004585,0.2627,0.0941,0.1000,545.0910,32.2973,0.991692,-0.000022,0.128636,0.000100,-0.0010,14.7815,0.0114,-0.000676,-0.058041,0.002727,-0.0387,-3.3255,0.1562,1108.3116,4.8380,-8.1927,1111.3113,5.2256,2.1908,-0.0004,-0.7724,0.0343,12.5536,LAUNCH,-1.613675,-0.931084,-0.060453,0.041032,0.092839,-0.337653,-0.044629,0.162313,0.000863,-0.003140,-0.000374,-0.776033,0.034199,-0.000318,0.913671,0.571767,6.0384,0.8259,0.0293,31.9634,4.6294,0.1545,8.5532,1.3259,0.0411,8.9996,0.0393,-0.0665,0.010192,0.011542,-0.010735,-0.010211,-0.010670,0.000206,0.000197,0.0000,0.0000,0.0000,-0.6969,7.4616,-0.0006,-0.021430,0.000707,0.000060,3.7090,0,1,0.0000,0.0000,0.020783,0.022196,-0.020663,-0.022077,1.000000,[],9.0030,9.0027,9.0027,0.0393,-0.0665,343.0533,1,0.459804,31.9634,0.1545,-4.6294,31.9634,0.1545,-4.6294,31.9634,0.1545,-4.6294,-0.010508,-0.670049,0.031177,-0.6021,-38.3910,1.7863,-0.000374,-0.769785,0.035828,0.28723803,0.76995830,1200.8259,88.251289,0.400449,-0.671716,-0.004887,-0.054796,0.002171,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.300003,2.3472,44.528843,0.042955,0.253136,-0.004979,-0.020189,0.007588,-0.000391,-0.034000,-1.555740,-0.001773,4393.526382,4259.900411,0.001922,0.017767,-0.029997,-4.999997,-4.999998
0.500,-4.2604,-3.8595,40.3808,40.7880,4393518.0038,4259899.8636,1795684.6246,1201.3547,9.6549,0.102432,5.8689,0.004111,0.2355,0.1189,0.1189,869.3193,40.7880,0.992301,-0.000063,0.123850,0.000334,-0.0025,14.2287,0.0383,-0.002178,-0.135001,0.006438,-0.1248,-7.7350,0.3689,1066.5984,4.4455,-15.6220,1071.7719,5.0397,2.1128,-0.0006,-0.8097,0.0408,12.5049,LAUNCH,-1.531790,-0.541411,-0.051505,0.027095,0.177052,-0.643164,-0.118317,0.430124,0.003266,-0.011874,-0.000648,-0.811933,0.040634,-0.000401,0.891121,0.571684,9.6566,1.3547,0.0468,40.3541,5.9301,0.1948,8.4501,1.2294,0.0452,8.6946,0.0362,-0.1273,0.027138,0.029702,-0.027734,-0.028286,-0.028215,0.000779,0.000205,0.0000,0.0000,0.0000,-0.6873,6.3616,-0.0010,-0.040668,0.001328,0.000001,3.9600,0,1,0.0000,0.0000,0.039341,0.041998,-0.039338,-0.041995,1.000000,[],8.6986,8.6976,8.6976,0.0363,-0.1274,343.0515,1,0.440735,40.3541,0.1948,-5.9301,40.3541,0.1948,-5.9301,40.3541,0.1948,-5.9301,-0.018220,-0.700825,0.036868,-1.0439,-40.1543,2.1124,-0.000648,-0.803451,0.042555,0.28723860,0.76995831,1201.3547,85.259213,0.370563,-1.268368,-0.006389,-0.131757,0.005882,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.300000,1.8038,57.427741,-0.034007,0.258271,0.001305,-0.071261,-0.042083,0.037535,-0.003715,-0.164556,-0.006613,4393.534548,4259.902577,-0.007530,0.029993,0.030000,-4.999993,-4.999993
0.600,-5.1470,-4.6573,48.6725,49.1649,4393517.5341,4259899.4383,1795689.0763,1202.0086,14.1028,0.086110,4.9338,0.003358,0.1924,0.1433,0.1433,1262.9849,49.1649,0.993292,-0.000166,0.115627,0.000759,-0.0091,13.2796,0.0864,-0.003903,-0.189764,0.009611,-0.2236,-10.8727,0.5507,1077.7257,4.4473,-20.9022,1084.9206,5.1015,2.1387,-0.0005,-0.3589,0.0245,12.4570,POWERED_ASCENT,-1.369795,-0.163551,-0.039036,0.011160,0.215928,-0.783914,-0.179171,0.650689,0.005553,-0.020177,-0.000450,-0.356341,0.024314,-0.000483,0.868961,0.571602,14.1053,2.0086,0.0684,48.6437,7.1361,0.2392,8.5765,1.1309,0.0542,8.8191,0.0364,-0.1710,0.040710,0.044286,-0.041400,-0.043103,-0.042375,0.001320,0.000123,0.0000,0.0000,0.0000,-0.6839,6.3439,-0.0014,-0.049056,0.001715,-0.000100,3.9860,0,1,0.0000,0.0000,0.047241,0.050671,-0.047442,-0.050872,1.000000,[],8.8239,8.8221,8.8221,0.0364,-0.1711,343.0494,1,0.421887,48.6437,0.2392,-7.1361,48.6437,0.2392,-7.1362,48.6437,0.2392,-7.1361,-0.012701,-0.304920,0.022565,-0.7277,-17.4706,1.2929,-0.000450,-0.348818,0.026613,0.28723930,0.76995831,1202.0086,86.480452,0.372070,-1.697052,-0.008114,-0.186520,0.009056,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.300000,2.1048,55.660428,0.107486,0.159324,-0.005232,-0.098112,-0.035041,0.058454,-0.000976,-0.083764,0.021724,4393.531427,4259.902645,0.000774,0.001085,0.030000,-4.999998,-4.999998
0.700,-6.1313,-5.5377,57.0556,57.6507,4393516.9711,4259898.9294,1795694.3618,1202.7786,19.3856,0.068648,3.9332,0.002495,0.1429,0.1681,0.1681,1736.4564,57.6507,0.994378,-0.000320,0.105884,0.001301,-0.0211,12.1562,0.1476,-0.004608,-0.192031,0.010653,-0.2640,-11.0025,0.6104,1075.5205,4.5005,-24.6734,1084.9649,5.1017,2.1388,0.0000,0.3294,-0.0066,12.4087,POWERED_ASCENT,-1.159370,0.112914,-0.026090,-0.002256,0.221914,-0.805665,-0.211138,0.766555,0.006955,-0.025253,0.000019,0.338241,-0.006757,-0.000565,0.846540,0.571519,19.3891,2.7786,0.0949,57.0572,8.2456,0.2923,8.7254,1.0208,0.0651,8.8354,0.0370,-0.2027,0.047620,0.051748,-0.048385,-0.050847,-0.049650,0.001647,0.000034,0.0000,0.0000,0.0000,-0.6893,6.3437,-0.0020,-0.050111,0.001872,-0.000157,4.0290,0,1,0.0000,0.0000,0.048082,0.051826,-0.048397,-0.052141,1.000000,[],8.8408,8.8384,8.8384,0.0370,-0.2028,343.0469,1,0.402793,57.0572,0.2923,-8.2456,57.0572,0.2923,-8.2458,57.0572,0.2923,-8.2456,0.000469,0.300664,-0.004428,0.0269,17.2268,-0.2537,0.000019,0.343331,-0.004072,0.28724013,0.76995832,1202.7786,86.639754,0.377752,-2.007504,-0.008819,-0.188787,0.010097,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.300000,2.1244,74.230139,0.109361,0.157186,-0.000118,-0.067863,-0.026593,0.057527,0.001241,-0.063570,0.022527,4393.544203,4259.904675,-0.002849,-0.030000,0.024067,-4.999994,-4.999994
0.800,-7.2273,-6.5114,65.5483,66.2662,4393516.3040,4259898.3276,1795700.4917,1203.6542,25.5177,0.055398,3.1741,0.001774,0.1016,0.1932,0.1932,2294.0450,66.2662,0.995230,-0.000481,0.097542,0.001823,-0.0352,11.1954,0.2064,-0.004193,-0.135240,0.008809,-0.2402,-7.7487,0.5047,1059.9289,4.5408,-27.4793,1071.7909,5.0398,2.1129,0.0002,0.8453,-0.0375,12.3598,POWERED_ASCENT,-0.968562,0.217032,-0.016392,-0.009506,0.192844,-0.700068,-0.206673,0.750329,0.007135,-0.025893,0.000216,0.858897,-0.037621,-0.000649,0.823846,0.571436,25.5222,3.6541,0.1272,65.6169,9.2470,0.3562,8.8485,0.9502,0.0745,8.7417,0.0374,-0.2266,0.046466,0.050548,-0.047168,-0.049824,-0.048502,0.001684,0.000006,0.0000,0.0000,0.0000,-0.7000,6.3435,-0.0028,-0.043427,0.001731,-0.000146,4.1450,0,1,0.0000,0.0000,0.041550,0.045012,-0.041843,-0.045305,1.000000,[],8.7477,8.7447,8.7447,0.0375,-0.2267,343.0441,1,0.382934,65.6169,0.3562,-9.2470,65.6169,0.3562,-9.2472,65.6169,0.3562,-9.2470,0.006020,0.757570,-0.030909,0.3449,43.4055,-1.7710,0.000216,0.863165,-0.034557,0.28724110,0.76995832,1203.6542,85.721130,0.382441,-2.242386,-0.008404,-0.131995,0.008254,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.300000,2.0535,71.979624,0.146501,0.085254,0.020745,-0.089842,-0.016150,0.058615,0.001545,0.018712,0.020426,4393.529236,4259.900199,-0.030000,-0.030000,0.015361,-4.999996,-4.999997
0.900,-8.4020,-7.5485,74.1371,74.9925,4393515.5230,4259897.6250,1795707.4743,1204.6256,32.5104,0.049710,2.8482,0.001397,0.0801,0.2186,0.2186,2937.7363,74.9925,0.995682,-0.000639,0.092797,0.002193,-0.0504,10.6492,0.2477,-0.003827,-0.056364,0.005026,-0.2193,-3.2294,0.2880,1096.3674,4.7438,-31.3732,1111.3425,5.2257,2.1908,0.0000,0.7647,-0.0490,12.3104,POWERED_ASCENT,-0.857856,0.153620,-0.012363,-0.009697,0.154162,-0.559234,-0.177259,0.643199,0.006344,-0.023010,0.000003,0.778529,-0.049142,-0.000733,0.800965,0.571351,32.5162,4.6255,0.1664,74.2973,10.1791,0.4293,8.9678,0.9651,0.0796,9.0785,0.0393,-0.2598,0.039732,0.043364,-0.040337,-0.042667,-0.041525,0.001491,0.000023,0.0000,0.0000,0.0000,-0.7193,6.3432,-0.0037,-0.034631,0.001439,-0.000129,3.9620,0,1,0.0000,0.0000,0.033063,0.035940,-0.033322,-0.036199,1.000000,[],9.0854,9.0816,9.0816,0.0393,-0.2599,343.0410,1,0.377510,74.2973,0.4293,-10.1791,74.2972,0.4293,-10.1794,74.2973,0.4293,-10.1791,0.000084,0.692799,-0.040312,0.0048,39.6944,-2.3097,0.000003,0.787674,-0.045551,0.28724220,0.76995833,1204.6256,89.025061,0.400409,-2.567614,-0.008038,-0.053120,0.004471,-0.035177,0.015060,-0.019101,-0.004211,0.003244,-0.000556,0.300000,2.1744,90.215468,0.162310,0.065900,0.022515,-0.038766,-0.042378,0.058763,-0.001227,-0.326451,0.035059,4393.545162,4259.901236,-0.028631,-0.030000,0.030000,-4.999995,-4.999995
